Title:               Total Quarterly Wages in Jacksonville, NC (MSA)
Series ID:           ENUC273430010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE            VALUE
1990-01-01  106106746
1990-04-01  112209249
1990-07-01  108190539
1990-10-01  115131154
1991-01-01  104862143
1991-04-01  114956990
1991-07-01  112243737
1991-10-01  117710864
1992-01-01  112762094
1992-04-01  117642934
1992-07-01  120182625
1992-10-01  125205756
1993-01-01  115473909
1993-04-01  124359478
1993-07-01  126298567
1993-10-01  134980635
1994-01-01  126153668
1994-04-01  131864326
1994-07-01  134589230
1994-10-01  138562307
1995-01-01  135419793
1995-04-01  140924288
1995-07-01  141039087
1995-10-01  151277184
1996-01-01  143566170
1996-04-01  149843149
1996-07-01  150684571
1996-10-01  164760047
1997-01-01  161869113
1997-04-01  174072553
1997-07-01  174250244
1997-10-01  189430586
1998-01-01  172880981
1998-04-01  184394734
1998-07-01  185781265
1998-10-01  204122285
1999-01-01  186741155
1999-04-01  195804327
1999-07-01  202415362
1999-10-01  212729253
2000-01-01  208065265
2000-04-01  206574425
2000-07-01  213524563
2000-10-01  219916811
2001-01-01  211180839
2001-04-01  211997523
2001-07-01  209972024
2001-10-01  220778747
2002-01-01  212064523
2002-04-01  219180632
2002-07-01  218889960
2002-10-01  221393824
2003-01-01  218683998
2003-04-01  217620552
2003-07-01  223405668
2003-10-01  233903923
2004-01-01  230197974
2004-04-01  232875640
2004-07-01  245414801
2004-10-01  258616689
2005-01-01  234952098
2005-04-01  253224201
2005-07-01  259686716
2005-10-01  271494629
2006-01-01  261492115
2006-04-01  277181141
2006-07-01  271983977
2006-10-01  296345868
2007-01-01  284294726
2007-04-01  300218266
2007-07-01  298559252
2007-10-01  322322841
2008-01-01  302823264
2008-04-01  320824344
2008-07-01  315420774
2008-10-01  341840895
2009-01-01  315943020
2009-04-01  334117246
2009-07-01  320838754
2009-10-01  365256331
2010-01-01  324936986
2010-04-01  350144643
2010-07-01  343021826
2010-10-01  384359132
2011-01-01  341478894
2011-04-01  367151161
2011-07-01  370389319
2011-10-01  369649097
2012-01-01  367225732
2012-04-01  357430527
2012-07-01  362747095
2012-10-01  380281473
2013-01-01  379711519
2013-04-01  370989741
2013-07-01  373650128
2013-10-01  385550170
2014-01-01  380045347
2014-04-01  377220717
2014-07-01  381191136
2014-10-01  399924905
2015-01-01  383883397
2015-04-01  378381558
2015-07-01  387848510
2015-10-01  420055561
2016-01-01  374134279
2016-04-01  385828349
2016-07-01  405823243
2016-10-01  423335393
2017-01-01  401643971
2017-04-01  407855788
2017-07-01  395222792
2017-10-01  440908944
2018-01-01  412170270
