Title:               Average Weekly Wages for Employees in Federal Government Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   354
1990-04-01   380
1990-07-01   354
1990-10-01   396
1991-01-01   368
1991-04-01   398
1991-07-01   372
1991-10-01   369
1992-01-01   388
1992-04-01   423
1992-07-01   443
1992-10-01   403
1993-01-01   406
1993-04-01   413
1993-07-01   425
1993-10-01   433
1994-01-01   421
1994-04-01   435
1994-07-01   411
1994-10-01   425
1995-01-01   414
1995-04-01   435
1995-07-01   415
1995-10-01   439
1996-01-01   419
1996-04-01   442
1996-07-01   423
1996-10-01   459
1997-01-01   463
1997-04-01   541
1997-07-01   453
1997-10-01   534
1998-01-01   465
1998-04-01   562
1998-07-01   470
1998-10-01   550
1999-01-01   498
1999-04-01   560
1999-07-01   495
1999-10-01   503
2000-01-01   585
2000-04-01   504
2000-07-01   577
2000-10-01   498
2001-01-01   594
2001-04-01   518
2001-07-01   543
2001-10-01   519
2002-01-01   533
2002-04-01   531
2002-07-01   620
2002-10-01   555
2003-01-01   676
2003-04-01   588
2003-07-01   700
2003-10-01   592
2004-01-01   700
2004-04-01   610
2004-07-01   672
2004-10-01   655
2005-01-01   651
2005-04-01   743
2005-07-01   749
2005-10-01   750
2006-01-01   662
2006-04-01   768
2006-07-01   687
2006-10-01   780
2007-01-01   690
2007-04-01   803
2007-07-01   788
2007-10-01   821
2008-01-01   723
2008-04-01   838
2008-07-01   724
2008-10-01   841
2009-01-01   754
2009-04-01   863
2009-07-01   756
2009-10-01   883
2010-01-01   786
2010-04-01   896
2010-07-01   793
2010-10-01   928
2011-01-01   804
2011-04-01   938
2011-07-01   952
2011-10-01   811
2012-01-01   940
2012-04-01   791
2012-07-01   934
2012-10-01   808
2013-01-01   948
2013-04-01   805
2013-07-01   909
2013-10-01   792
2014-01-01   980
2014-04-01   830
2014-07-01   977
2014-10-01   838
2015-01-01  1010
2015-04-01   855
2015-07-01  1023
2015-10-01   907
2016-01-01   884
2016-04-01   885
2016-07-01  1041
2016-10-01  1041
2017-01-01   933
2017-04-01  1061
2017-07-01   925
2017-10-01  1061
2018-01-01   951
