Title:               Average Weekly Wages for Employees in Federal Government Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   362.5
1990-04-01   367.1
1990-07-01   355.3
1990-10-01   399.3
1991-01-01   376.2
1991-04-01   385.3
1991-07-01   373.7
1991-10-01   371.3
1992-01-01   396.1
1992-04-01   410.8
1992-07-01   445.3
1992-10-01   404.4
1993-01-01   413.7
1993-04-01   402.0
1993-07-01   428.5
1993-10-01   433.0
1994-01-01   428.7
1994-04-01   422.6
1994-07-01   418.3
1994-10-01   421.5
1995-01-01   423.5
1995-04-01   418.6
1995-07-01   429.1
1995-10-01   430.7
1996-01-01   432.1
1996-04-01   419.4
1996-07-01   444.7
1996-10-01   448.2
1997-01-01   477.2
1997-04-01   511.2
1997-07-01   477.5
1997-10-01   525.9
1998-01-01   473.1
1998-04-01   534.7
1998-07-01   492.0
1998-10-01   548.2
1999-01-01   498.3
1999-04-01   542.8
1999-07-01   507.6
1999-10-01   510.7
2000-01-01   573.8
2000-04-01   501.0
2000-07-01   576.5
2000-10-01   515.6
2001-01-01   571.3
2001-04-01   530.7
2001-07-01   527.2
2001-10-01   545.8
2002-01-01   508.5
2002-04-01   552.8
2002-07-01   593.2
2002-10-01   582.3
2003-01-01   653.3
2003-04-01   609.2
2003-07-01   670.1
2003-10-01   611.1
2004-01-01   694.3
2004-04-01   620.0
2004-07-01   650.6
2004-10-01   662.5
2005-01-01   663.8
2005-04-01   737.7
2005-07-01   738.9
2005-10-01   742.3
2006-01-01   692.1
2006-04-01   744.8
2006-07-01   693.3
2006-10-01   756.3
2007-01-01   736.3
2007-04-01   762.7
2007-07-01   813.8
2007-10-01   784.6
2008-01-01   778.0
2008-04-01   789.7
2008-07-01   752.4
2008-10-01   807.5
2009-01-01   801.1
2009-04-01   819.3
2009-07-01   780.3
2009-10-01   861.3
2010-01-01   815.3
2010-04-01   867.0
2010-07-01   801.9
2010-10-01   930.8
2011-01-01   806.8
2011-04-01   932.5
2011-07-01   940.2
2011-10-01   836.0
2012-01-01   914.8
2012-04-01   811.6
2012-07-01   897.7
2012-10-01   853.1
2013-01-01   902.1
2013-04-01   849.9
2013-07-01   857.1
2013-10-01   840.1
2014-01-01   929.8
2014-04-01   887.5
2014-07-01   917.5
2014-10-01   875.0
2015-01-01   974.0
2015-04-01   908.2
2015-07-01   970.7
2015-10-01   920.3
2016-01-01   877.2
2016-04-01   924.1
2016-07-01  1002.2
2016-10-01  1027.8
2017-01-01   952.5
2017-04-01  1089.7
2017-07-01   901.8
2017-10-01  1026.6
2018-01-01   990.8
