Title:               Average Weekly Wages for Employees in State Government Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   351
1990-04-01   331
1990-07-01   404
1990-10-01   347
1991-01-01   368
1991-04-01   334
1991-07-01   408
1991-10-01   349
1992-01-01   353
1992-04-01   298
1992-07-01   436
1992-10-01   362
1993-01-01   355
1993-04-01   298
1993-07-01   428
1993-10-01   362
1994-01-01   342
1994-04-01   394
1994-07-01   442
1994-10-01   418
1995-01-01   398
1995-04-01   400
1995-07-01   406
1995-10-01   400
1996-01-01   388
1996-04-01   383
1996-07-01   401
1996-10-01   409
1997-01-01   381
1997-04-01   391
1997-07-01   400
1997-10-01   415
1998-01-01   492
1998-04-01   392
1998-07-01   403
1998-10-01   434
1999-01-01   401
1999-04-01   416
1999-07-01   450
1999-10-01   441
2000-01-01   431
2000-04-01   429
2000-07-01   470
2000-10-01   462
2001-01-01   459
2001-04-01   428
2001-07-01   471
2001-10-01   455
2002-01-01   466
2002-04-01   467
2002-07-01   485
2002-10-01   478
2003-01-01   478
2003-04-01   452
2003-07-01   482
2003-10-01   477
2004-01-01   456
2004-04-01   450
2004-07-01   504
2004-10-01   495
2005-01-01   457
2005-04-01   408
2005-07-01   412
2005-10-01   395
2006-01-01   472
2006-04-01   512
2006-07-01   545
2006-10-01   587
2007-01-01   527
2007-04-01   549
2007-07-01   566
2007-10-01   582
2008-01-01   557
2008-04-01   568
2008-07-01   593
2008-10-01   603
2009-01-01   556
2009-04-01   554
2009-07-01   556
2009-10-01   579
2010-01-01   565
2010-04-01   572
2010-07-01   577
2010-10-01   573
2011-01-01   587
2011-04-01   583
2011-07-01   599
2011-10-01   564
2012-01-01   590
2012-04-01   558
2012-07-01   606
2012-10-01   580
2013-01-01   586
2013-04-01   569
2013-07-01   608
2013-10-01   571
2014-01-01   595
2014-04-01   565
2014-07-01   600
2014-10-01   576
2015-01-01   562
2015-04-01   569
2015-07-01   613
2015-10-01   621
2016-01-01   587
2016-04-01   585
2016-07-01   626
2016-10-01   675
2017-01-01   626
2017-04-01   617
2017-07-01   653
2017-10-01   646
2018-01-01   623
