Title:               Average Weekly Wages for Employees in Local Government Establishments in Jacksonville, NC (MSA)
Series ID:           ENUC273440310SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:24 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  318.6
1990-04-01  322.4
1990-07-01  324.8
1990-10-01  331.9
1991-01-01  336.7
1991-04-01  343.3
1991-07-01  338.3
1991-10-01  330.2
1992-01-01  339.9
1992-04-01  338.3
1992-07-01  343.9
1992-10-01  351.8
1993-01-01  338.8
1993-04-01  362.3
1993-07-01  341.5
1993-10-01  353.9
1994-01-01  356.6
1994-04-01  356.4
1994-07-01  368.6
1994-10-01  362.4
1995-01-01  376.8
1995-04-01  381.4
1995-07-01  377.1
1995-10-01  395.3
1996-01-01  393.0
1996-04-01  399.7
1996-07-01  396.7
1996-10-01  406.3
1997-01-01  436.3
1997-04-01  443.3
1997-07-01  499.4
1997-10-01  428.3
1998-01-01  453.4
1998-04-01  467.2
1998-07-01  483.4
1998-10-01  481.5
1999-01-01  472.6
1999-04-01  470.6
1999-07-01  484.9
1999-10-01  497.2
2000-01-01  512.3
2000-04-01  514.4
2000-07-01  527.0
2000-10-01  522.8
2001-01-01  531.6
2001-04-01  531.5
2001-07-01  517.4
2001-10-01  542.3
2002-01-01  545.2
2002-04-01  562.9
2002-07-01  570.2
2002-10-01  540.6
2003-01-01  560.4
2003-04-01  560.6
2003-07-01  534.2
2003-10-01  572.1
2004-01-01  576.4
2004-04-01  568.9
2004-07-01  577.2
2004-10-01  579.2
2005-01-01  570.1
2005-04-01  596.0
2005-07-01  612.6
2005-10-01  590.2
2006-01-01  616.3
2006-04-01  618.1
2006-07-01  624.1
2006-10-01  632.1
2007-01-01  646.6
2007-04-01  662.6
2007-07-01  658.0
2007-10-01  670.9
2008-01-01  663.5
2008-04-01  693.9
2008-07-01  724.5
2008-10-01  709.9
2009-01-01  718.9
2009-04-01  701.0
2009-07-01  653.3
2009-10-01  728.5
2010-01-01  694.5
2010-04-01  666.5
2010-07-01  674.6
2010-10-01  717.7
2011-01-01  710.4
2011-04-01  745.9
2011-07-01  718.0
2011-10-01  728.9
2012-01-01  741.4
2012-04-01  732.7
2012-07-01  745.7
2012-10-01  728.0
2013-01-01  745.5
2013-04-01  752.8
2013-07-01  756.6
2013-10-01  728.7
2014-01-01  737.7
2014-04-01  765.1
2014-07-01  772.5
2014-10-01  774.7
2015-01-01  772.4
2015-04-01  765.4
2015-07-01  784.3
2015-10-01  840.3
2016-01-01  750.2
2016-04-01  790.1
2016-07-01  837.8
2016-10-01  815.8
2017-01-01  804.5
2017-04-01  804.7
2017-07-01  797.7
2017-10-01  814.5
2018-01-01  820.3
