Title:               Total Quarterly Wages in Raleigh, NC (MSA)
Series ID:           ENUC395830010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01  1513590890
1990-04-01  1515418905
1990-07-01  1539656945
1990-10-01  1539586986
1991-01-01  1564178341
1991-04-01  1605630781
1991-07-01  1606507396
1991-10-01  1605623602
1992-01-01  1675007386
1992-04-01  1695348000
1992-07-01  1749477870
1992-10-01  1817613674
1993-01-01  1760516898
1993-04-01  1841568872
1993-07-01  1912927701
1993-10-01  1991096447
1994-01-01  1953754783
1994-04-01  2007582930
1994-07-01  2074287212
1994-10-01  2091042905
1995-01-01  2158929714
1995-04-01  2185202423
1995-07-01  2217269475
1995-10-01  2257208575
1996-01-01  2315009044
1996-04-01  2393505267
1996-07-01  2421154016
1996-10-01  2516800843
1997-01-01  2643614573
1997-04-01  2657149082
1997-07-01  2716829230
1997-10-01  2856911772
1998-01-01  2819405310
1998-04-01  2967911086
1998-07-01  3059171466
1998-10-01  3205543283
1999-01-01  3165128208
1999-04-01  3252124261
1999-07-01  3371155094
1999-10-01  3494415185
2000-01-01  3566236368
2000-04-01  3645840838
2000-07-01  3721352696
2000-10-01  3790141741
2001-01-01  3943742577
2001-04-01  3888043387
2001-07-01  3876707456
2001-10-01  3830860792
2002-01-01  3907573602
2002-04-01  3922082876
2002-07-01  3914477200
2002-10-01  3876764653
2003-01-01  3923189075
2003-04-01  3950467926
2003-07-01  3976219283
2003-10-01  4092668200
2004-01-01  4095393081
2004-04-01  4162175081
2004-07-01  4221100750
2004-10-01  4378876695
2005-01-01  4250701780
2005-04-01  4453916276
2005-07-01  4674469572
2005-10-01  4642099173
2006-01-01  4871946628
2006-04-01  4864268798
2006-07-01  4960099484
2006-10-01  5155037516
2007-01-01  5345337150
2007-04-01  5364526539
2007-07-01  5410664068
2007-10-01  5501783073
2008-01-01  5585644758
2008-04-01  5589155155
2008-07-01  5571179290
2008-10-01  5528690178
2009-01-01  5385729416
2009-04-01  5293063842
2009-07-01  5295354648
2009-10-01  5388863735
2010-01-01  5314335291
2010-04-01  5483042374
2010-07-01  5484444355
2010-10-01  5659210247
2011-01-01  5552412738
2011-04-01  5746161107
2011-07-01  5795055116
2011-10-01  5696672270
2012-01-01  5914603062
2012-04-01  5892690734
2012-07-01  5994629202
2012-10-01  6083481357
2013-01-01  6279566289
2013-04-01  6353976055
2013-07-01  6432734368
2013-10-01  6472240491
2014-01-01  6598924536
2014-04-01  6643013507
2014-07-01  6767535081
2014-10-01  6881100576
2015-01-01  7035073372
2015-04-01  7148306226
2015-07-01  7298315854
2015-10-01  7609310240
2016-01-01  7401203408
2016-04-01  7604877264
2016-07-01  8046825404
2016-10-01  7951575816
2017-01-01  8015392432
2017-04-01  8191179014
2017-07-01  8217129120
2017-10-01  8379366282
2018-01-01  8622583931
