Title:               Average Weekly Wages for Employees in Federal Government Establishments in Raleigh-Cary, NC (MSA)
Series ID:           ENUC395840110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   655.3
1990-04-01   616.6
1990-07-01   672.0
1990-10-01   687.2
1991-01-01   714.8
1991-04-01   741.1
1991-07-01   723.0
1991-10-01   702.1
1992-01-01   770.7
1992-04-01   773.0
1992-07-01   764.3
1992-10-01   809.2
1993-01-01   769.0
1993-04-01   784.7
1993-07-01   811.3
1993-10-01   786.4
1994-01-01   775.8
1994-04-01   778.5
1994-07-01   835.6
1994-10-01   811.8
1995-01-01   816.3
1995-04-01   780.6
1995-07-01   782.6
1995-10-01   802.4
1996-01-01   827.7
1996-04-01   840.7
1996-07-01   815.3
1996-10-01   841.7
1997-01-01   816.5
1997-04-01   829.1
1997-07-01   830.8
1997-10-01   830.8
1998-01-01   826.9
1998-04-01   869.9
1998-07-01   850.7
1998-10-01   874.9
1999-01-01   830.3
1999-04-01   888.9
1999-07-01   862.7
1999-10-01   898.1
2000-01-01   915.4
2000-04-01   811.9
2000-07-01   882.9
2000-10-01   898.8
2001-01-01   970.0
2001-04-01   946.2
2001-07-01   961.3
2001-10-01   940.4
2002-01-01   956.8
2002-04-01   997.5
2002-07-01   984.9
2002-10-01   996.2
2003-01-01   998.3
2003-04-01  1000.5
2003-07-01  1039.4
2003-10-01  1011.9
2004-01-01  1085.4
2004-04-01  1052.8
2004-07-01  1123.7
2004-10-01  1101.3
2005-01-01  1105.9
2005-04-01  1122.6
2005-07-01  1097.0
2005-10-01  1094.7
2006-01-01  1129.5
2006-04-01  1120.7
2006-07-01  1243.5
2006-10-01  1138.4
2007-01-01  1187.9
2007-04-01  1247.4
2007-07-01  1211.2
2007-10-01  1259.1
2008-01-01  1199.6
2008-04-01  1250.2
2008-07-01  1187.4
2008-10-01  1270.9
2009-01-01  1213.8
2009-04-01  1218.6
2009-07-01  1269.7
2009-10-01  1275.8
2010-01-01  1216.9
2010-04-01  1213.6
2010-07-01  1218.6
2010-10-01  1348.0
2011-01-01  1252.4
2011-04-01  1420.6
2011-07-01  1347.4
2011-10-01  1314.2
2012-01-01  1341.1
2012-04-01  1329.3
2012-07-01  1335.5
2012-10-01  1336.4
2013-01-01  1326.3
2013-04-01  1356.8
2013-07-01  1356.3
2013-10-01  1267.6
2014-01-01  1411.8
2014-04-01  1346.2
2014-07-01  1401.8
2014-10-01  1307.4
2015-01-01  1439.3
2015-04-01  1373.8
2015-07-01  1441.5
2015-10-01  1461.5
2016-01-01  1397.3
2016-04-01  1362.2
2016-07-01  1461.0
2016-10-01  1438.0
2017-01-01  1400.5
2017-04-01  1467.7
2017-07-01  1358.9
2017-10-01  1419.2
2018-01-01  1414.6
