Title:               Average Weekly Wages for Employees in State Government Establishments in Raleigh-Cary, NC (MSA)
Series ID:           ENUC395840210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:31 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   501
1990-04-01   488
1990-07-01   669
1990-10-01   525
1991-01-01   525
1991-04-01   475
1991-07-01   672
1991-10-01   513
1992-01-01   517
1992-04-01   474
1992-07-01   685
1992-10-01   534
1993-01-01   524
1993-04-01   482
1993-07-01   706
1993-10-01   571
1994-01-01   540
1994-04-01   550
1994-07-01   606
1994-10-01   575
1995-01-01   565
1995-04-01   582
1995-07-01   653
1995-10-01   589
1996-01-01   582
1996-04-01   599
1996-07-01   603
1996-10-01   614
1997-01-01   601
1997-04-01   624
1997-07-01   636
1997-10-01   641
1998-01-01   635
1998-04-01   653
1998-07-01   652
1998-10-01   692
1999-01-01   671
1999-04-01   679
1999-07-01   697
1999-10-01   690
2000-01-01   667
2000-04-01   678
2000-07-01   730
2000-10-01   724
2001-01-01   714
2001-04-01   714
2001-07-01   736
2001-10-01   715
2002-01-01   724
2002-04-01   748
2002-07-01   773
2002-10-01     .
2003-01-01   729
2003-04-01   735
2003-07-01   761
2003-10-01     .
2004-01-01   730
2004-04-01   740
2004-07-01   772
2004-10-01   748
2005-01-01   745
2005-04-01   772
2005-07-01   810
2005-10-01   787
2006-01-01   782
2006-04-01   829
2006-07-01   862
2006-10-01   849
2007-01-01   866
2007-04-01   878
2007-07-01   914
2007-10-01   887
2008-01-01   887
2008-04-01   922
2008-07-01   964
2008-10-01   911
2009-01-01   929
2009-04-01   925
2009-07-01   947
2009-10-01   920
2010-01-01   936
2010-04-01   937
2010-07-01   936
2010-10-01   940
2011-01-01   931
2011-04-01   948
2011-07-01   933
2011-10-01   925
2012-01-01   950
2012-04-01   907
2012-07-01   949
2012-10-01   936
2013-01-01   966
2013-04-01   946
2013-07-01   950
2013-10-01   934
2014-01-01   967
2014-04-01   943
2014-07-01   966
2014-10-01   939
2015-01-01   975
2015-04-01   960
2015-07-01   973
2015-10-01  1035
2016-01-01   977
2016-04-01   984
2016-07-01  1013
2016-10-01  1071
2017-01-01  1011
2017-04-01  1021
2017-07-01  1006
2017-10-01  1039
2018-01-01  1022
2018-04-01  1036
