Title:               Average Weekly Wages for Employees in Private Establishments in Raleigh-Cary, NC (MSA)
Series ID:           ENUC395840510SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   393.2
1990-04-01   393.9
1990-07-01   398.9
1990-10-01   399.3
1991-01-01   411.0
1991-04-01   425.9
1991-07-01   419.9
1991-10-01   416.1
1992-01-01   431.7
1992-04-01   432.8
1992-07-01   439.5
1992-10-01   452.7
1993-01-01   428.3
1993-04-01   445.2
1993-07-01   449.9
1993-10-01   467.2
1994-01-01   450.8
1994-04-01   456.4
1994-07-01   472.3
1994-10-01   462.9
1995-01-01   476.8
1995-04-01   479.8
1995-07-01   486.7
1995-10-01   485.6
1996-01-01   496.0
1996-04-01   504.7
1996-07-01   507.2
1996-10-01   517.6
1997-01-01   531.3
1997-04-01   528.2
1997-07-01   534.4
1997-10-01   556.9
1998-01-01   550.3
1998-04-01   565.1
1998-07-01   575.2
1998-10-01   595.8
1999-01-01   590.9
1999-04-01   600.9
1999-07-01   618.4
1999-10-01   634.1
2000-01-01   640.3
2000-04-01   654.7
2000-07-01   660.1
2000-10-01   671.8
2001-01-01   691.7
2001-04-01   686.8
2001-07-01   691.6
2001-10-01   690.4
2002-01-01   698.8
2002-04-01   702.5
2002-07-01   700.0
2002-10-01   694.4
2003-01-01   705.9
2003-04-01   708.0
2003-07-01   714.1
2003-10-01   727.5
2004-01-01   720.6
2004-04-01   730.5
2004-07-01   735.0
2004-10-01   759.8
2005-01-01   718.1
2005-04-01   751.4
2005-07-01   782.0
2005-10-01   770.0
2006-01-01   791.4
2006-04-01   780.5
2006-07-01   780.0
2006-10-01   800.8
2007-01-01   818.0
2007-04-01   814.7
2007-07-01   812.6
2007-10-01   819.7
2008-01-01   835.3
2008-04-01   842.1
2008-07-01   839.4
2008-10-01   844.8
2009-01-01   830.3
2009-04-01   829.8
2009-07-01   841.1
2009-10-01   861.2
2010-01-01   848.8
2010-04-01   871.0
2010-07-01   870.9
2010-10-01   892.1
2011-01-01   864.1
2011-04-01   891.9
2011-07-01   900.6
2011-10-01   881.9
2012-01-01   902.3
2012-04-01   894.9
2012-07-01   899.0
2012-10-01   912.2
2013-01-01   930.1
2013-04-01   939.8
2013-07-01   941.6
2013-10-01   941.0
2014-01-01   954.5
2014-04-01   949.7
2014-07-01   958.2
2014-10-01   964.4
2015-01-01   978.2
2015-04-01   982.8
2015-07-01   994.6
2015-10-01  1018.4
2016-01-01   993.4
2016-04-01  1009.0
2016-07-01  1062.3
2016-10-01  1034.2
2017-01-01  1048.0
2017-04-01  1063.4
2017-07-01  1057.8
2017-10-01  1070.3
2018-01-01  1095.1
