Title:               Total Quarterly Wages in Rocky Mount, NC (MSA)
Series ID:           ENUC405830010
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.

DATE            VALUE
1990-01-01  277681752
1990-04-01  288798690
1990-07-01  290981680
1990-10-01  315385593
1991-01-01  283830721
1991-04-01  293503506
1991-07-01  302389464
1991-10-01  333945603
1992-01-01  298979510
1992-04-01  311398484
1992-07-01  319907919
1992-10-01  357109789
1993-01-01  303006844
1993-04-01  329143452
1993-07-01  338696333
1993-10-01  374725028
1994-01-01  341162564
1994-04-01  346380250
1994-07-01  354130423
1994-10-01  381193340
1995-01-01  357076168
1995-04-01  371495977
1995-07-01  370343059
1995-10-01  412786899
1996-01-01  373220288
1996-04-01  385307292
1996-07-01  384579821
1996-10-01  427429444
1997-01-01  379030874
1997-04-01  396445188
1997-07-01  420986315
1997-10-01  443324006
1998-01-01  387409905
1998-04-01  414724681
1998-07-01  440916168
1998-10-01  477391981
1999-01-01  408023454
1999-04-01  430947153
1999-07-01  439517406
1999-10-01  484982241
2000-01-01  445829939
2000-04-01  454636001
2000-07-01  460496170
2000-10-01  484726842
2001-01-01  455339004
2001-04-01  492920301
2001-07-01  460020177
2001-10-01  478419597
2002-01-01  449506906
2002-04-01  447846501
2002-07-01  461599462
2002-10-01  488316074
2003-01-01  449948346
2003-04-01  456333866
2003-07-01  457427109
2003-10-01  503129233
2004-01-01  451206675
2004-04-01  468789211
2004-07-01  479399838
2004-10-01  528174357
2005-01-01  452661231
2005-04-01  469135672
2005-07-01  490099963
2005-10-01  538236411
2006-01-01  488069831
2006-04-01  485646840
2006-07-01  480769368
2006-10-01  550153425
2007-01-01  510120560
2007-04-01  508080445
2007-07-01  502255905
2007-10-01  573727428
2008-01-01  522411779
2008-04-01  518392028
2008-07-01  504722541
2008-10-01  569978334
2009-01-01  492070138
2009-04-01  491314854
2009-07-01  478221388
2009-10-01  557907113
2010-01-01  479237982
2010-04-01  486620183
2010-07-01  492153189
2010-10-01  558000211
2011-01-01  489078149
2011-04-01  502243531
2011-07-01  505486597
2011-10-01  541600841
2012-01-01  518024701
2012-04-01  494730056
2012-07-01  545665091
2012-10-01  530356344
2013-01-01  460930019
2013-04-01  456296790
2013-07-01  459024476
2013-10-01  487614287
2014-01-01  508939236
2014-04-01  485744103
2014-07-01  504083761
2014-10-01  546045811
2015-01-01  523055056
2015-04-01  505385941
2015-07-01  538191749
2015-10-01  567167866
2016-01-01  513033121
2016-04-01  511559024
2016-07-01  536999664
2016-10-01  555033273
2017-01-01  540905634
2017-04-01  524070528
2017-07-01  513375964
2017-10-01  558539493
2018-01-01  568533854
