Title:               Average Weekly Wages for Employees in Total Covered Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  357.0
1990-04-01  360.4
1990-07-01  361.7
1990-10-01  365.7
1991-01-01  376.2
1991-04-01  378.8
1991-07-01  382.0
1991-10-01  386.2
1992-01-01  382.4
1992-04-01  383.9
1992-07-01  389.3
1992-10-01  398.4
1993-01-01  383.2
1993-04-01  403.0
1993-07-01  411.5
1993-10-01  415.0
1994-01-01  434.4
1994-04-01  415.7
1994-07-01  427.7
1994-10-01  419.9
1995-01-01  431.9
1995-04-01  433.9
1995-07-01  432.1
1995-10-01  441.2
1996-01-01  445.8
1996-04-01  448.9
1996-07-01  435.3
1996-10-01  452.5
1997-01-01  467.7
1997-04-01  469.1
1997-07-01  498.4
1997-10-01  481.7
1998-01-01  476.6
1998-04-01  491.9
1998-07-01  516.9
1998-10-01  518.0
1999-01-01  500.5
1999-04-01  513.6
1999-07-01  514.1
1999-10-01  534.1
2000-01-01  538.5
2000-04-01  531.9
2000-07-01  532.8
2000-10-01  530.2
2001-01-01  545.1
2001-04-01  580.0
2001-07-01  546.8
2001-10-01  542.5
2002-01-01  556.1
2002-04-01  547.2
2002-07-01  566.4
2002-10-01  553.4
2003-01-01  567.5
2003-04-01  571.1
2003-07-01  568.8
2003-10-01  574.6
2004-01-01  571.3
2004-04-01  586.6
2004-07-01  593.0
2004-10-01  598.3
2005-01-01  575.2
2005-04-01  588.5
2005-07-01  610.9
2005-10-01  605.6
2006-01-01  610.1
2006-04-01  605.8
2006-07-01  601.3
2006-10-01  607.9
2007-01-01  625.8
2007-04-01  617.5
2007-07-01  620.6
2007-10-01  635.7
2008-01-01  636.9
2008-04-01  636.8
2008-07-01  630.5
2008-10-01  643.6
2009-01-01  634.5
2009-04-01  645.0
2009-07-01  638.9
2009-10-01  666.4
2010-01-01  651.6
2010-04-01  655.4
2010-07-01  656.5
2010-10-01  666.1
2011-01-01  655.6
2011-04-01  672.3
2011-07-01  685.9
2011-10-01  676.7
2012-01-01  700.2
2012-04-01  673.5
2012-07-01  739.8
2012-10-01  668.0
2013-01-01  657.5
2013-04-01  664.3
2013-07-01  653.2
2013-10-01  657.4
2014-01-01  692.8
2014-04-01  676.3
2014-07-01  683.6
2014-10-01  701.3
2015-01-01  708.3
2015-04-01  704.7
2015-07-01  731.5
2015-10-01  728.7
2016-01-01  691.7
2016-04-01  710.4
2016-07-01  727.8
2016-10-01  718.7
2017-01-01  727.1
2017-04-01  739.6
2017-07-01  715.5
2017-10-01  736.4
2018-01-01  771.1
