Title:               Average Weekly Wages for Employees in Federal Government Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840110
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   618
1990-04-01   449
1990-07-01   573
1990-10-01   610
1991-01-01   687
1991-04-01   586
1991-07-01   700
1991-10-01   644
1992-01-01   711
1992-04-01   597
1992-07-01   858
1992-10-01   752
1993-01-01   671
1993-04-01   638
1993-07-01   769
1993-10-01   755
1994-01-01   672
1994-04-01   654
1994-07-01   757
1994-10-01   769
1995-01-01   672
1995-04-01   636
1995-07-01   784
1995-10-01   790
1996-01-01   691
1996-04-01   747
1996-07-01   676
1996-10-01   844
1997-01-01   725
1997-04-01   772
1997-07-01   674
1997-10-01   763
1998-01-01   712
1998-04-01   785
1998-07-01   723
1998-10-01   807
1999-01-01   762
1999-04-01   821
1999-07-01   727
1999-10-01   829
2000-01-01   826
2000-04-01   650
2000-07-01   762
2000-10-01   732
2001-01-01   884
2001-04-01   780
2001-07-01   865
2001-10-01   772
2002-01-01   937
2002-04-01   846
2002-07-01   916
2002-10-01   821
2003-01-01   957
2003-04-01   834
2003-07-01   943
2003-10-01   835
2004-01-01  1005
2004-04-01   860
2004-07-01   975
2004-10-01   981
2005-01-01   924
2005-04-01  1022
2005-07-01   879
2005-10-01   883
2006-01-01   920
2006-04-01   895
2006-07-01  1045
2006-10-01   908
2007-01-01   925
2007-04-01  1070
2007-07-01   927
2007-10-01  1077
2008-01-01   932
2008-04-01  1068
2008-07-01   940
2008-10-01  1125
2009-01-01   934
2009-04-01  1020
2009-07-01   924
2009-10-01  1088
2010-01-01   895
2010-04-01   864
2010-07-01   879
2010-10-01  1196
2011-01-01  1030
2011-04-01  1158
2011-07-01  1131
2011-10-01   992
2012-01-01  1108
2012-04-01   970
2012-07-01  1117
2012-10-01  1016
2013-01-01  1122
2013-04-01   994
2013-07-01  1143
2013-10-01   978
2014-01-01  1168
2014-04-01   996
2014-07-01  1157
2014-10-01   999
2015-01-01  1186
2015-04-01  1022
2015-07-01  1217
2015-10-01  1181
2016-01-01  1065
2016-04-01  1003
2016-07-01  1158
2016-10-01  1206
2017-01-01  1037
2017-04-01  1157
2017-07-01  1032
2017-10-01  1243
2018-01-01  1110
