Title:               Average Weekly Wages for Employees in Federal Government Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840110SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:23 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE         VALUE
1990-01-01   580.8
1990-04-01   518.0
1990-07-01   533.7
1990-10-01   606.8
1991-01-01   656.7
1991-04-01   671.4
1991-07-01   648.0
1991-10-01   634.7
1992-01-01   698.8
1992-04-01   675.0
1992-07-01   790.8
1992-10-01   727.7
1993-01-01   685.2
1993-04-01   706.1
1993-07-01   711.3
1993-10-01   719.5
1994-01-01   704.8
1994-04-01   706.1
1994-07-01   713.9
1994-10-01   722.1
1995-01-01   715.9
1995-04-01   664.1
1995-07-01   763.1
1995-10-01   739.3
1996-01-01   735.6
1996-04-01   751.8
1996-07-01   685.9
1996-10-01   788.8
1997-01-01   765.4
1997-04-01   757.0
1997-07-01   703.7
1997-10-01   720.3
1998-01-01   735.5
1998-04-01   766.9
1998-07-01   759.1
1998-10-01   777.8
1999-01-01   762.3
1999-04-01   816.8
1999-07-01   748.7
1999-10-01   827.0
2000-01-01   795.6
2000-04-01   665.4
2000-07-01   762.1
2000-10-01   758.1
2001-01-01   827.5
2001-04-01   814.5
2001-07-01   845.2
2001-10-01   822.5
2002-01-01   863.0
2002-04-01   894.1
2002-07-01   885.5
2002-10-01   876.3
2003-01-01   888.7
2003-04-01   874.6
2003-07-01   916.6
2003-10-01   878.1
2004-01-01   949.8
2004-04-01   889.3
2004-07-01   959.6
2004-10-01  1006.5
2005-01-01   903.7
2005-04-01  1020.7
2005-07-01   885.2
2005-10-01   888.2
2006-01-01   921.5
2006-04-01   874.1
2006-07-01  1074.7
2006-10-01   889.0
2007-01-01   954.0
2007-04-01  1023.1
2007-07-01   980.8
2007-10-01  1019.6
2008-01-01   974.4
2008-04-01  1029.7
2008-07-01  1004.2
2008-10-01  1039.0
2009-01-01   983.5
2009-04-01   995.2
2009-07-01   980.6
2009-10-01  1009.4
2010-01-01   923.9
2010-04-01   866.0
2010-07-01   902.9
2010-10-01  1149.1
2011-01-01  1034.0
2011-04-01  1183.0
2011-07-01  1118.9
2011-10-01  1002.5
2012-01-01  1072.5
2012-04-01  1017.7
2012-07-01  1071.1
2012-10-01  1060.9
2013-01-01  1063.8
2013-04-01  1064.5
2013-07-01  1078.5
2013-10-01  1025.2
2014-01-01  1102.6
2014-04-01  1086.9
2014-07-01  1090.6
2014-10-01  1014.7
2015-01-01  1145.7
2015-04-01  1117.7
2015-07-01  1159.5
2015-10-01  1148.5
2016-01-01  1066.5
2016-04-01  1083.2
2016-07-01  1124.6
2016-10-01  1131.4
2017-01-01  1070.0
2017-04-01  1226.6
2017-07-01  1022.4
2017-10-01  1144.4
2018-01-01  1160.8
