Title:               Average Weekly Wages for Employees in State Government Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840210SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans). 
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE        VALUE
1990-01-01  407.0
1990-04-01  413.8
1990-07-01  434.1
1990-10-01  446.7
1991-01-01  436.8
1991-04-01  438.4
1991-07-01  443.2
1991-10-01  438.3
1992-01-01  429.6
1992-04-01  382.7
1992-07-01  480.8
1992-10-01  453.6
1993-01-01  466.1
1993-04-01  485.4
1993-07-01  499.1
1993-10-01  469.7
1994-01-01  488.0
1994-04-01  519.2
1994-07-01  440.7
1994-10-01  458.8
1995-01-01  443.5
1995-04-01  440.7
1995-07-01  447.2
1995-10-01  451.8
1996-01-01  452.1
1996-04-01  454.6
1996-07-01  463.3
1996-10-01  475.8
1997-01-01  469.8
1997-04-01  481.2
1997-07-01  502.6
1997-10-01  481.8
1998-01-01  602.9
1998-04-01  500.5
1998-07-01  498.7
1998-10-01  519.1
1999-01-01  507.4
1999-04-01  523.9
1999-07-01  535.7
1999-10-01  529.1
2000-01-01  532.5
2000-04-01  531.1
2000-07-01  556.4
2000-10-01  555.9
2001-01-01  562.0
2001-04-01  562.7
2001-07-01  551.9
2001-10-01  555.5
2002-01-01  569.1
2002-04-01  585.2
2002-07-01  569.4
2002-10-01  591.4
2003-01-01  585.0
2003-04-01  572.3
2003-07-01  567.5
2003-10-01  570.5
2004-01-01  573.2
2004-04-01  574.0
2004-07-01  581.9
2004-10-01  583.3
2005-01-01  586.9
2005-04-01  597.1
2005-07-01  606.6
2005-10-01  609.3
2006-01-01  622.9
2006-04-01  633.9
2006-07-01  638.6
2006-10-01  648.8
2007-01-01  646.0
2007-04-01  668.1
2007-07-01  673.9
2007-10-01  692.1
2008-01-01  687.5
2008-04-01  691.7
2008-07-01  704.1
2008-10-01  705.0
2009-01-01  698.8
2009-04-01  690.6
2009-07-01  688.0
2009-10-01  687.4
2010-01-01  685.5
2010-04-01  687.7
2010-07-01  670.7
2010-10-01  671.6
2011-01-01  686.7
2011-04-01  697.9
2011-07-01  691.9
2011-10-01  690.2
2012-01-01  686.9
2012-04-01  686.7
2012-07-01  680.0
2012-10-01  674.3
2013-01-01  691.1
2013-04-01  703.3
2013-07-01  729.3
2013-10-01  730.3
2014-01-01  719.9
2014-04-01  718.6
2014-07-01  731.4
2014-10-01  726.5
2015-01-01  737.7
2015-04-01  730.8
2015-07-01  718.9
2015-10-01  738.8
2016-01-01  713.6
2016-04-01  720.8
2016-07-01  704.0
2016-10-01  770.7
2017-01-01  747.3
2017-04-01  749.6
2017-07-01  755.3
2017-10-01  754.4
2018-01-01  765.7
