Title:               Average Weekly Wages for Employees in Private Establishments in Rocky Mount, NC (MSA)
Series ID:           ENUC405840510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   342
1990-04-01   348
1990-07-01   348
1990-10-01   384
1991-01-01   359
1991-04-01   363
1991-07-01   368
1991-10-01   408
1992-01-01   368
1992-04-01   368
1992-07-01   371
1992-10-01   420
1993-01-01   365
1993-04-01   387
1993-07-01   391
1993-10-01   439
1994-01-01   423
1994-04-01   397
1994-07-01   408
1994-10-01   442
1995-01-01   420
1995-04-01   423
1995-07-01   415
1995-10-01   469
1996-01-01   433
1996-04-01   439
1996-07-01   414
1996-10-01   477
1997-01-01   454
1997-04-01   460
1997-07-01   479
1997-10-01   512
1998-01-01   455
1998-04-01   484
1998-07-01   499
1998-10-01   548
1999-01-01   480
1999-04-01   500
1999-07-01   492
1999-10-01   560
2000-01-01   520
2000-04-01   517
2000-07-01   515
2000-10-01   552
2001-01-01   525
2001-04-01   569
2001-07-01   528
2001-10-01   565
2002-01-01   536
2002-04-01   526
2002-07-01   547
2002-10-01   577
2003-01-01   546
2003-04-01   552
2003-07-01   548
2003-10-01   604
2004-01-01   552
2004-04-01   571
2004-07-01   571
2004-10-01   639
2005-01-01   554
2005-04-01   568
2005-07-01   583
2005-10-01   650
2006-01-01   591
2006-04-01   589
2006-07-01   564
2006-10-01   652
2007-01-01   603
2007-04-01   596
2007-07-01   581
2007-10-01   677
2008-01-01   614
2008-04-01   613
2008-07-01   590
2008-10-01   684
2009-01-01   606
2009-04-01   620
2009-07-01   604
2009-10-01   707
2010-01-01   629
2010-04-01   635
2010-07-01   629
2010-10-01   697
2011-01-01   637
2011-04-01   649
2011-07-01   665
2011-10-01   699
2012-01-01   695
2012-04-01   649
2012-07-01   741
2012-10-01   681
2013-01-01   647
2013-04-01   626
2013-07-01   630
2013-10-01   662
2014-01-01   688
2014-04-01   647
2014-07-01   666
2014-10-01   713
2015-01-01   701
2015-04-01   672
2015-07-01   720
2015-10-01   736
2016-01-01   688
2016-04-01   679
2016-07-01   708
2016-10-01   722
2017-01-01   721
2017-04-01   709
2017-07-01   687
2017-10-01   745
2018-01-01   773
