Title:               Average Weekly Wages for Employees in Local Government Establishments in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           ENUC472640310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:31 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   416
1990-04-01   442
1990-07-01   421
1990-10-01   436
1991-01-01   434
1991-04-01   453
1991-07-01   433
1991-10-01   430
1992-01-01   432
1992-04-01   437
1992-07-01   437
1992-10-01   439
1993-01-01   433
1993-04-01   452
1993-07-01   433
1993-10-01   457
1994-01-01   443
1994-04-01   467
1994-07-01   463
1994-10-01   464
1995-01-01   468
1995-04-01   485
1995-07-01   475
1995-10-01   476
1996-01-01   480
1996-04-01   488
1996-07-01   477
1996-10-01   489
1997-01-01   492
1997-04-01   513
1997-07-01   492
1997-10-01   503
1998-01-01   501
1998-04-01   525
1998-07-01   522
1998-10-01   527
1999-01-01   513
1999-04-01   549
1999-07-01   540
1999-10-01   547
2000-01-01   537
2000-04-01   565
2000-07-01   566
2000-10-01   556
2001-01-01     .
2001-04-01     .
2001-07-01     .
2001-10-01     .
2002-01-01   575
2002-04-01   600
2002-07-01   601
2002-10-01   595
2003-01-01   592
2003-04-01   617
2003-07-01     .
2003-10-01     .
2004-01-01   613
2004-04-01   637
2004-07-01   648
2004-10-01   645
2005-01-01   630
2005-04-01   661
2005-07-01   677
2005-10-01   669
2006-01-01   671
2006-04-01   690
2006-07-01   695
2006-10-01   709
2007-01-01   701
2007-04-01   731
2007-07-01   715
2007-10-01   737
2008-01-01   723
2008-04-01   740
2008-07-01   740
2008-10-01   749
2009-01-01   730
2009-04-01   742
2009-07-01   727
2009-10-01   750
2010-01-01     .
2010-04-01     .
2010-07-01     .
2010-10-01     .
2011-01-01     .
2011-04-01     .
2011-07-01     .
2011-10-01     .
2012-01-01     .
2012-04-01     .
2012-07-01     .
2012-10-01   753
2013-01-01   749
2013-04-01   755
2013-07-01   747
2013-10-01   766
2014-01-01   767
2014-04-01   770
2014-07-01   774
2014-10-01   790
2015-01-01   789
2015-04-01   794
2015-07-01   788
2015-10-01   825
2016-01-01   788
2016-04-01   810
2016-07-01   823
2016-10-01   829
2017-01-01   827
2017-04-01   899
2017-07-01   835
2017-10-01   836
2018-01-01   840
2018-04-01   835
