Title:               Total Quarterly Wages in Wilmington, NC (MSA)
Series ID:           ENUC489030010SA
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:21 AM CDT
Notes:               Total wages are the wages paid by Unemployment Insurance covered
                     employers during the calendar quarter, regardless of when the services
                     were performed.
                     
                     The Federal Reserve Bank of St. Louis seasonally adjusts this series
                     by using the 'x12' package from R with default parameter settings. The
                     package uses the U.S. Bureau of the Census X-12-ARIMA Seasonal
                     Adjustment Program. More information on the 'x12' package can be found
                     at http://cran.r-project.org/web/packages/x12/x12.pdf. More
                     information on X-12-ARIMA can be found at
                     http://www.census.gov/srd/www/x12a/.

DATE             VALUE
1990-01-01   384487344
1990-04-01   383052085
1990-07-01   394090832
1990-10-01   394292986
1991-01-01   410534458
1991-04-01   423949493
1991-07-01   415041287
1991-10-01   421297835
1992-01-01   429596668
1992-04-01   432831697
1992-07-01   447574173
1992-10-01   464455269
1993-01-01   443422357
1993-04-01   465761835
1993-07-01   477931658
1993-10-01   489983134
1994-01-01   484936206
1994-04-01   508103024
1994-07-01   519678588
1994-10-01   516885713
1995-01-01   534935371
1995-04-01   544209968
1995-07-01   551971964
1995-10-01   565494174
1996-01-01   597701226
1996-04-01   591096617
1996-07-01   598083198
1996-10-01   621924098
1997-01-01   641560241
1997-04-01   645462770
1997-07-01   660403032
1997-10-01   671234111
1998-01-01   673861578
1998-04-01   693941605
1998-07-01   708106457
1998-10-01   740596809
1999-01-01   721052842
1999-04-01   755871864
1999-07-01   803322982
1999-10-01   811043034
2000-01-01   804886536
2000-04-01   815024464
2000-07-01   807810233
2000-10-01   830773664
2001-01-01   881536872
2001-04-01   868176883
2001-07-01   852339492
2001-10-01   836996221
2002-01-01   853547260
2002-04-01   855066672
2002-07-01   850402415
2002-10-01   852468210
2003-01-01   851906988
2003-04-01   862272872
2003-07-01   883664283
2003-10-01   907609159
2004-01-01   900572236
2004-04-01   932217552
2004-07-01   965624197
2004-10-01   992759545
2005-01-01   994207024
2005-04-01  1028612799
2005-07-01  1084547576
2005-10-01  1084016146
2006-01-01  1126468256
2006-04-01  1129578940
2006-07-01  1139253578
2006-10-01  1172791284
2007-01-01  1221389945
2007-04-01  1231833845
2007-07-01  1243920790
2007-10-01  1248044099
2008-01-01  1278537749
2008-04-01  1269571355
2008-07-01  1256746004
2008-10-01  1244280058
2009-01-01  1217146259
2009-04-01  1204601847
2009-07-01  1200183146
2009-10-01  1229255204
2010-01-01  1192492025
2010-04-01  1223541124
2010-07-01  1231554609
2010-10-01  1238068904
2011-01-01  1247048894
2011-04-01  1281191667
2011-07-01  1286800999
2011-10-01  1227976306
2012-01-01  1272681992
2012-04-01  1266031449
2012-07-01  1250072468
2012-10-01  1253492474
2013-01-01  1068604706
2013-04-01  1055901406
2013-07-01  1058065357
2013-10-01  1070511150
2014-01-01  1106006681
2014-04-01  1109395982
2014-07-01  1117892754
2014-10-01  1152929700
2015-01-01  1152855157
2015-04-01  1176920886
2015-07-01  1185226633
2015-10-01  1236859102
2016-01-01  1223107430
2016-04-01  1235835477
2016-07-01  1304715510
2016-10-01  1280728748
2017-01-01  1329775520
2017-04-01  1393736724
2017-07-01  1323526215
2017-10-01  1317548838
2018-01-01  1399953490
