Title:               Average Weekly Wages for Employees in State Government Establishments in Wilmington, NC (MSA)
Series ID:           ENUC489040210
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:32 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   461
1990-04-01   470
1990-07-01   607
1990-10-01   471
1991-01-01   482
1991-04-01   487
1991-07-01   603
1991-10-01   464
1992-01-01   446
1992-04-01   434
1992-07-01   598
1992-10-01   450
1993-01-01   446
1993-04-01   448
1993-07-01   606
1993-10-01   476
1994-01-01   459
1994-04-01   470
1994-07-01   535
1994-10-01   484
1995-01-01   478
1995-04-01   497
1995-07-01   513
1995-10-01   491
1996-01-01   490
1996-04-01   499
1996-07-01   509
1996-10-01   518
1997-01-01   528
1997-04-01   549
1997-07-01   541
1997-10-01   502
1998-01-01   465
1998-04-01   488
1998-07-01   499
1998-10-01   484
1999-01-01   461
1999-04-01   458
1999-07-01   496
1999-10-01   494
2000-01-01   586
2000-04-01   588
2000-07-01   651
2000-10-01   618
2001-01-01   603
2001-04-01   601
2001-07-01   625
2001-10-01   594
2002-01-01     .
2002-04-01   613
2002-07-01   642
2002-10-01     .
2003-01-01     .
2003-04-01   624
2003-07-01   658
2003-10-01     .
2004-01-01   634
2004-04-01   649
2004-07-01   688
2004-10-01   653
2005-01-01   646
2005-04-01   673
2005-07-01   699
2005-10-01   686
2006-01-01   678
2006-04-01   581
2006-07-01   748
2006-10-01   736
2007-01-01   728
2007-04-01   770
2007-07-01   795
2007-10-01   771
2008-01-01   760
2008-04-01   797
2008-07-01   829
2008-10-01   809
2009-01-01   804
2009-04-01   849
2009-07-01   851
2009-10-01   821
2010-01-01   805
2010-04-01   859
2010-07-01   834
2010-10-01   816
2011-01-01   810
2011-04-01   861
2011-07-01   862
2011-10-01   800
2012-01-01   812
2012-04-01   844
2012-07-01   865
2012-10-01   814
2013-01-01   834
2013-04-01   871
2013-07-01   873
2013-10-01   818
2014-01-01   828
2014-04-01   869
2014-07-01   884
2014-10-01   834
2015-01-01   836
2015-04-01   893
2015-07-01   903
2015-10-01   890
2016-01-01   860
2016-04-01   914
2016-07-01   936
2016-10-01   939
2017-01-01   879
2017-04-01   936
2017-07-01   961
2017-10-01   940
2018-01-01   917
2018-04-01   992
