Title:               Average Weekly Wages for Employees in Local Government Establishments in Winston-Salem, NC (MSA)
Series ID:           ENUC491840310
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-04-01
Last Updated:        2018-12-17 3:31 PM CST
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   399
1990-04-01   406
1990-07-01   362
1990-10-01   436
1991-01-01   416
1991-04-01   432
1991-07-01   420
1991-10-01   452
1992-01-01   435
1992-04-01   436
1992-07-01   443
1992-10-01   451
1993-01-01   436
1993-04-01   452
1993-07-01   456
1993-10-01   464
1994-01-01   456
1994-04-01   438
1994-07-01   487
1994-10-01   480
1995-01-01   468
1995-04-01   465
1995-07-01   535
1995-10-01   488
1996-01-01   481
1996-04-01   473
1996-07-01   495
1996-10-01   496
1997-01-01   494
1997-04-01   482
1997-07-01   485
1997-10-01   496
1998-01-01   512
1998-04-01   509
1998-07-01   583
1998-10-01   569
1999-01-01   511
1999-04-01   514
1999-07-01   581
1999-10-01   587
2000-01-01   532
2000-04-01   553
2000-07-01   582
2000-10-01   604
2001-01-01   558
2001-04-01   577
2001-07-01   582
2001-10-01   625
2002-01-01     .
2002-04-01     .
2002-07-01     .
2002-10-01     .
2003-01-01   576
2003-04-01   589
2003-07-01   608
2003-10-01   649
2004-01-01   591
2004-04-01   599
2004-07-01   640
2004-10-01   649
2005-01-01   594
2005-04-01   613
2005-07-01   683
2005-10-01   648
2006-01-01   649
2006-04-01   604
2006-07-01   692
2006-10-01   680
2007-01-01   652
2007-04-01   631
2007-07-01   712
2007-10-01   709
2008-01-01   673
2008-04-01   651
2008-07-01   740
2008-10-01   704
2009-01-01   683
2009-04-01   670
2009-07-01   724
2009-10-01   721
2010-01-01   667
2010-04-01   673
2010-07-01   732
2010-10-01   722
2011-01-01   666
2011-04-01   683
2011-07-01   741
2011-10-01   706
2012-01-01   684
2012-04-01   682
2012-07-01   726
2012-10-01   708
2013-01-01   681
2013-04-01   678
2013-07-01   712
2013-10-01   702
2014-01-01   675
2014-04-01   687
2014-07-01   738
2014-10-01   739
2015-01-01   697
2015-04-01   721
2015-07-01   741
2015-10-01   792
2016-01-01   701
2016-04-01   736
2016-07-01   794
2016-10-01   762
2017-01-01   761
2017-04-01   740
2017-07-01   813
2017-10-01   782
2018-01-01   784
2018-04-01   759
