Title:               Average Weekly Wages for Employees in Private Establishments in Winston-Salem, NC (MSA)
Series ID:           ENUC491840510
Source:              U.S. Bureau of Labor Statistics, Federal Reserve Bank of St. Louis
Release:             Quarterly Census of Employment and Wages
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Dollars per Week
Date Range:          1990-01-01 to 2018-01-01
Last Updated:        2018-09-05 11:22 AM CDT
Notes:               Average weekly wages are the wages paid by unemployment insurance
                     covered employers during the calendar quarter, regardless of when the
                     services were performed. Included in wages are pay for vacation and
                     other paid leave, bonuses, stock options, tips, the cash value of
                     meals and lodging, and in some States, contributions to deferred
                     compensation plans (such as 401(k) plans).

DATE       VALUE
1990-01-01   445
1990-04-01   423
1990-07-01   430
1990-10-01   462
1991-01-01   443
1991-04-01   449
1991-07-01   450
1991-10-01   475
1992-01-01   462
1992-04-01   454
1992-07-01   466
1992-10-01   533
1993-01-01   454
1993-04-01   468
1993-07-01   481
1993-10-01   538
1994-01-01   479
1994-04-01   473
1994-07-01   505
1994-10-01   525
1995-01-01   521
1995-04-01   494
1995-07-01   506
1995-10-01   540
1996-01-01   527
1996-04-01   511
1996-07-01   520
1996-10-01   559
1997-01-01   549
1997-04-01   530
1997-07-01   535
1997-10-01   607
1998-01-01   567
1998-04-01   562
1998-07-01   565
1998-10-01   632
1999-01-01   574
1999-04-01   573
1999-07-01   593
1999-10-01   636
2000-01-01   639
2000-04-01   597
2000-07-01   611
2000-10-01   695
2001-01-01   661
2001-04-01   633
2001-07-01   624
2001-10-01   663
2002-01-01   666
2002-04-01   640
2002-07-01   654
2002-10-01   679
2003-01-01   691
2003-04-01   651
2003-07-01   684
2003-10-01   709
2004-01-01   709
2004-04-01   657
2004-07-01   729
2004-10-01   748
2005-01-01   704
2005-04-01   679
2005-07-01   730
2005-10-01   730
2006-01-01   738
2006-04-01   700
2006-07-01   720
2006-10-01   765
2007-01-01   762
2007-04-01   748
2007-07-01   726
2007-10-01   779
2008-01-01   805
2008-04-01   738
2008-07-01   737
2008-10-01   801
2009-01-01   783
2009-04-01   743
2009-07-01   737
2009-10-01   823
2010-01-01   802
2010-04-01   775
2010-07-01   762
2010-10-01   853
2011-01-01   865
2011-04-01   783
2011-07-01   817
2011-10-01   829
2012-01-01   916
2012-04-01   786
2012-07-01   802
2012-10-01   861
2013-01-01   860
2013-04-01   782
2013-07-01   790
2013-10-01   839
2014-01-01   942
2014-04-01   787
2014-07-01   826
2014-10-01   876
2015-01-01   934
2015-04-01   862
2015-07-01   823
2015-10-01   915
2016-01-01   934
2016-04-01   816
2016-07-01   848
2016-10-01   899
2017-01-01  1020
2017-04-01   865
2017-07-01   903
2017-10-01   949
2018-01-01   980
