Title:               Equifax Subprime Credit Population for Carteret County, NC
Series ID:           EQFXSUBPRIME037031
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.656231186032514
1999-04-01  36.655558921538926
1999-07-01  35.333844973138910
1999-10-01  36.670327946022280
2000-01-01  36.734693877551024
2000-04-01  36.140033197525270
2000-07-01  36.597486115171000
2000-10-01  34.300827343008270
2001-01-01  34.638069705093834
2001-04-01  34.543028685790524
2001-07-01  33.921302578018995
2001-10-01  34.670184696569920
2002-01-01  34.385019879440810
2002-04-01  34.761781460383226
2002-07-01  34.267133566783390
2002-10-01  34.559104211731770
2003-01-01  34.846964375313600
2003-04-01  34.321980645972100
2003-07-01  34.682877914264225
2003-10-01  34.207568377669540
2004-01-01  34.796121332670320
2004-04-01  34.077800957172660
2004-07-01  33.817685047193244
2004-10-01  33.838067826304590
2005-01-01  34.053849070913920
2005-04-01  33.325168401714635
2005-07-01  33.737596471885330
2005-10-01  33.076074972436600
2006-01-01  33.247957067935110
2006-04-01  33.526500060364600
2006-07-01  33.293470461612060
2006-10-01  33.207776427703520
2007-01-01  32.277636209197915
2007-04-01  31.649556696220255
2007-07-01  32.063416942735444
2007-10-01  31.861084220716364
2008-01-01  33.754305396096440
2008-04-01  33.866223302212560
2008-07-01  33.232246651503665
2008-10-01  33.479568814239160
2009-01-01  32.768505542107270
2009-04-01  32.974274489925230
2009-07-01  32.905236907730675
2009-10-01  33.073146166435855
2010-01-01  32.563744767220605
2010-04-01  32.365510306686780
2010-07-01  31.731843575418996
2010-10-01  31.658922516639460
2011-01-01  31.701514961812947
2011-04-01  31.520380095023754
2011-07-01  31.060035167043452
2011-10-01  32.071960297766750
2012-01-01  31.676557863501483
2012-04-01  31.367953620328110
2012-07-01  30.863742474505468
2012-10-01  31.189155884165125
2013-01-01  29.882214369846878
2013-04-01  29.361207897793264
2013-07-01  29.286281629411100
2013-10-01  29.180477768887876
2014-01-01  28.612026827327497
2014-04-01  27.823816551254400
2014-07-01  27.393075356415480
2014-10-01  27.632773490694508
2015-01-01  27.099364335898297
2015-04-01  26.786300470510998
2015-07-01  26.629588431590655
2015-10-01  27.129868672129310
2016-01-01  26.312861593235425
2016-04-01  26.318699546610635
2016-07-01  25.671928327645050
2016-10-01  26.013405681455477
2017-01-01  26.124381321282550
2017-04-01  25.228617536309844
2017-07-01  25.177840051735288
2017-10-01  25.174674836074384
2018-01-01  24.689905902480753
2018-04-01  23.953762174890294
2018-07-01  24.072704216421855
