Title:               Equifax Subprime Credit Population for Cherokee County, NC
Series ID:           EQFXSUBPRIME037039
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  34.632352941176470
1999-04-01  33.417721518987340
1999-07-01  32.637075718015666
1999-10-01  33.045864366914934
2000-01-01  33.320095313741064
2000-04-01  33.178360101437030
2000-07-01  32.124352331606220
2000-10-01  29.870129870129870
2001-01-01  30.310880829015545
2001-04-01  30.003685956505716
2001-07-01  30.887747615553923
2001-10-01  31.871775976418570
2002-01-01  32.214022140221400
2002-04-01  31.563947274670470
2002-07-01  31.877421627333568
2002-10-01  32.371916508538900
2003-01-01  33.192794174013030
2003-04-01  32.669789227166280
2003-07-01  32.273262661955240
2003-10-01  31.721698113207548
2004-01-01  32.044839582528020
2004-04-01  32.248180773649940
2004-07-01  31.782065834279226
2004-10-01  31.426392067124333
2005-01-01  32.477341389728096
2005-04-01  30.898876404494380
2005-07-01  31.218952999617883
2005-10-01  32.704639758581660
2006-01-01  31.628581791802684
2006-04-01  31.931859369336717
2006-07-01  32.488055861815500
2006-10-01  32.403918613413715
2007-01-01  31.706394248959512
2007-04-01  30.809205642167782
2007-07-01  30.296212973378328
2007-10-01  31.128404669260700
2008-01-01  31.972233564720290
2008-04-01  31.323828920570264
2008-07-01  30.355731225296445
2008-10-01  30.701754385964914
2009-01-01  31.180665610142633
2009-04-01  31.691233514352213
2009-07-01  31.781140861466824
2009-10-01  31.463802704852820
2010-01-01  30.723606168446025
2010-04-01  29.063846455150806
2010-07-01  29.144385026737968
2010-10-01  30.468150422102840
2011-01-01  29.829984544049460
2011-04-01  29.638183217859893
2011-07-01  29.213051823416507
2011-10-01  29.827315541601260
2012-01-01  29.645669291338585
2012-04-01  29.515938606847698
2012-07-01  29.393346379647750
2012-10-01  29.374505146476643
2013-01-01  28.018575851393190
2013-04-01  27.824109173616375
2013-07-01  28.299172959367137
2013-10-01  28.597187161918500
2014-01-01  27.833935018050543
2014-04-01  27.503628447024674
2014-07-01  28.442682047584718
2014-10-01  29.526563064691004
2015-01-01  29.139551699204630
2015-04-01  28.800284798860805
2015-07-01  27.961234745154346
2015-10-01  28.429282160625448
2016-01-01  27.748132337246535
2016-04-01  27.352837504406065
2016-07-01  26.392337708407236
2016-10-01  26.988636363636363
2017-01-01  26.836948915325404
2017-04-01  26.167896030909730
2017-07-01  26.567481402763015
2017-10-01  25.847457627118644
2018-01-01  24.991023339317774
2018-04-01  25.894438540559690
2018-07-01  25.396825396825395
