Title:               Equifax Subprime Credit Population for Forsyth County, NC
Series ID:           EQFXSUBPRIME037067
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.194429191833480
1999-04-01  36.137001963562250
1999-07-01  35.073560740870700
1999-10-01  35.880407060427764
2000-01-01  36.442378521171484
2000-04-01  35.639418254764294
2000-07-01  35.577132618223200
2000-10-01  34.815274484164796
2001-01-01  34.983914148799750
2001-04-01  33.296778615490060
2001-07-01  33.210561451163640
2001-10-01  31.740049236400083
2002-01-01  33.378012987913390
2002-04-01  32.494915729680450
2002-07-01  32.134898573364886
2002-10-01  33.022019384586430
2003-01-01  33.242853711265916
2003-04-01  32.916265640038500
2003-07-01  33.156690352884496
2003-10-01  32.994463535700646
2004-01-01  34.600488442657320
2004-04-01  32.954572638327390
2004-07-01  32.087447108603670
2004-10-01  32.258220971966246
2005-01-01  31.777464586866680
2005-04-01  31.314644411156290
2005-07-01  32.724239896883766
2005-10-01  33.058684203895480
2006-01-01  33.217457498096934
2006-04-01  32.266758982221010
2006-07-01  32.671076062070720
2006-10-01  32.858738860453634
2007-01-01  32.695979769830220
2007-04-01  31.960531960531963
2007-07-01  32.341423197815224
2007-10-01  33.016126882580300
2008-01-01  34.346461590658485
2008-04-01  34.212492099063380
2008-07-01  34.040674490144696
2008-10-01  34.177756247684720
2009-01-01  34.123540204444180
2009-04-01  34.027149321266970
2009-07-01  33.938352173406360
2009-10-01  34.168110155309590
2010-01-01  33.910920216521530
2010-04-01  33.512001178029740
2010-07-01  33.143156546544800
2010-10-01  33.661502823222820
2011-01-01  33.265329913732806
2011-04-01  33.072332993741820
2011-07-01  32.780106982796006
2011-10-01  33.239306890795000
2012-01-01  32.638387571828710
2012-04-01  32.161975479191850
2012-07-01  32.235726805160475
2012-10-01  32.496708831778380
2013-01-01  31.556735606484070
2013-04-01  30.742992325255138
2013-07-01  30.760386725894957
2013-10-01  30.729733934961878
2014-01-01  29.950933799162530
2014-04-01  29.826607179071186
2014-07-01  29.929489423413514
2014-10-01  30.282637954239572
2015-01-01  29.653716421170135
2015-04-01  29.415887285821313
2015-07-01  29.587770774469320
2015-10-01  29.951597755677028
2016-01-01  29.545399676492600
2016-04-01  29.234814493173154
2016-07-01  28.845794828712780
2016-10-01  28.828930960208590
2017-01-01  28.465206680678918
2017-04-01  28.242839013778100
2017-07-01  28.279726549366806
2017-10-01  28.659906077724084
2018-01-01  28.212029286317087
2018-04-01  27.879818594104310
2018-07-01  28.366768621806404
