Title:               Equifax Subprime Credit Population for Franklin County, NC
Series ID:           EQFXSUBPRIME037069
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  40.369707811568276
1999-04-01  41.256058158319870
1999-07-01  40.605933094887440
1999-10-01  41.177725624066570
2000-01-01  42.229875161429185
2000-04-01  42.006802721088440
2000-07-01  41.804788213627994
2000-10-01  39.397955319954560
2001-01-01  40.598708667579730
2001-04-01  40.293829578844270
2001-07-01  40.881397238017870
2001-10-01  41.384767556874380
2002-01-01  42.775365179628900
2002-04-01  42.665879110061034
2002-07-01  42.728518301037380
2002-10-01  42.214804633811110
2003-01-01  42.603788794840790
2003-04-01  42.386663956088640
2003-07-01  42.736248236953460
2003-10-01  42.542204568023834
2004-01-01  44.348350764279970
2004-04-01  42.107317073170734
2004-07-01  42.098012202322380
2004-10-01  42.532855436081240
2005-01-01  43.129467831612390
2005-04-01  42.304641015470054
2005-07-01  43.140028288543140
2005-10-01  43.476523476523475
2006-01-01  43.267684887459810
2006-04-01  41.645643314574030
2006-07-01  41.686182669789230
2006-10-01  43.626963611055880
2007-01-01  43.279463933780060
2007-04-01  41.648801403235240
2007-07-01  42.611955020714140
2007-10-01  43.116673395236170
2008-01-01  44.752688172043010
2008-04-01  44.193618406772300
2008-07-01  44.026787643119460
2008-10-01  43.888769131278295
2009-01-01  43.405749396532805
2009-04-01  43.185801928133216
2009-07-01  43.401125054089140
2009-10-01  43.679626088803910
2010-01-01  42.448805460750854
2010-04-01  41.496452375833150
2010-07-01  41.267454350161120
2010-10-01  41.952675335749305
2011-01-01  41.979232888323800
2011-04-01  41.555414282687010
2011-07-01  41.828547297297300
2011-10-01  42.115183246073300
2012-01-01  41.057934508816120
2012-04-01  41.538780588967235
2012-07-01  40.906243474629360
2012-10-01  41.518042306097050
2013-01-01  40.151063406877360
2013-04-01  38.835896437609500
2013-07-01  38.935674610284890
2013-10-01  39.733570159857905
2014-01-01  38.464229490991784
2014-04-01  38.356392732122020
2014-07-01  38.293359438733890
2014-10-01  38.521836506159010
2015-01-01  38.321050945209870
2015-04-01  38.056426332288400
2015-07-01  38.198226233079200
2015-10-01  38.480893222204750
2016-01-01  37.533767678372790
2016-04-01  37.580015612802500
2016-07-01  37.093041197346090
2016-10-01  37.203937250076905
2017-01-01  36.144945188794150
2017-04-01  35.972885533816054
2017-07-01  35.926493108728940
2017-10-01  36.672274048019574
2018-01-01  35.794082125603865
2018-04-01  35.746538229981940
2018-07-01  35.160567587752055
