Title:               Equifax Subprime Credit Population for Iredell County, NC
Series ID:           EQFXSUBPRIME037097
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  36.266643905769880
1999-04-01  36.343974392248460
1999-07-01  35.490973139586080
1999-10-01  35.523523169437570
2000-01-01  36.541613549444550
2000-04-01  35.099105420101736
2000-07-01  35.329293573592730
2000-10-01  33.629574309185960
2001-01-01  34.454158260479710
2001-04-01  34.046565605280335
2001-07-01  33.754767622545560
2001-10-01  33.703808579923546
2002-01-01  34.115422328057150
2002-04-01  34.176171499244200
2002-07-01  34.568994889267465
2002-10-01  35.146615511098936
2003-01-01  35.335494103854906
2003-04-01  35.210778526286546
2003-07-01  35.242839352428400
2003-10-01  35.660143329658210
2004-01-01  36.499930910598316
2004-04-01  35.652772993455045
2004-07-01  35.477728663719820
2004-10-01  35.801893080922540
2005-01-01  35.256742738589220
2005-04-01  35.073325150203500
2005-07-01  35.080645161290330
2005-10-01  35.493589743589745
2006-01-01  35.444908448442020
2006-04-01  34.287290109081994
2006-07-01  34.087198403579850
2006-10-01  34.649673530889004
2007-01-01  34.874321081217640
2007-04-01  33.961106680571746
2007-07-01  34.273160014646650
2007-10-01  34.789654097849800
2008-01-01  35.967669510552310
2008-04-01  35.626113934913190
2008-07-01  35.460577673692430
2008-10-01  36.058034846816504
2009-01-01  35.845372901210470
2009-04-01  35.512562487827050
2009-07-01  35.514686768910840
2009-10-01  35.931670920871780
2010-01-01  35.671368861024035
2010-04-01  34.760262832606855
2010-07-01  35.070422535211264
2010-10-01  35.187539732994274
2011-01-01  34.441126008769140
2011-04-01  34.007096692434416
2011-07-01  34.233493549203140
2011-10-01  34.751193767278210
2012-01-01  33.792544570502430
2012-04-01  33.471765945577390
2012-07-01  33.570602908073250
2012-10-01  34.052378926900400
2013-01-01  32.501485442661920
2013-04-01  32.355891203020825
2013-07-01  32.116666666666670
2013-10-01  31.950777344393780
2014-01-01  31.418253447143798
2014-04-01  31.190311049458465
2014-07-01  30.813317355285780
2014-10-01  31.226993865030670
2015-01-01  30.464865973040850
2015-04-01  30.160422377906386
2015-07-01  30.262762009828503
2015-10-01  30.017478152309610
2016-01-01  28.983338321859726
2016-04-01  28.745258387112667
2016-07-01  28.497833413577272
2016-10-01  28.577596545934274
2017-01-01  28.618515333906565
2017-04-01  28.184204247196370
2017-07-01  28.304021877504830
2017-10-01  28.307562156319026
2018-01-01  27.726240060583113
2018-04-01  27.519120458891010
2018-07-01  27.798410982088290
