Title:               Equifax Subprime Credit Population for Jackson County, NC
Series ID:           EQFXSUBPRIME037099
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  31.566666666666666
1999-04-01  32.263690268573420
1999-07-01  30.433251144769287
1999-10-01  32.705541470481705
2000-01-01  33.028812368236125
2000-04-01  32.855143456962910
2000-07-01  33.404634581105170
2000-10-01  31.336405529953915
2001-01-01  31.684448755253797
2001-04-01  30.856067732831610
2001-07-01  31.332912192040430
2001-10-01  31.823899371069180
2002-01-01  32.111251580278130
2002-04-01  30.977584059775843
2002-07-01  31.105559025608994
2002-10-01  31.366047745358088
2003-01-01  31.765098431765100
2003-04-01  32.088285229202036
2003-07-01  32.261340555179416
2003-10-01  32.974065341865950
2004-01-01  32.279481504900410
2004-04-01  31.529850746268657
2004-07-01  31.575643440050220
2004-10-01  31.811573131724340
2005-01-01  32.150776053215080
2005-04-01  31.039210309843707
2005-07-01  31.913139087410663
2005-10-01  33.763094278807415
2006-01-01  33.120368004088940
2006-04-01  32.714322055456630
2006-07-01  32.324037184594960
2006-10-01  32.766787405962670
2007-01-01  33.013001695873370
2007-04-01  32.902530963920300
2007-07-01  32.371530640285800
2007-10-01  34.124964659315810
2008-01-01  36.245465538089476
2008-04-01  36.725935009196820
2008-07-01  35.652709359605910
2008-10-01  35.911602209944750
2009-01-01  36.346633416458850
2009-04-01  35.954343690551680
2009-07-01  34.848956711304890
2009-10-01  36.128625472887760
2010-01-01  35.590003163555840
2010-04-01  33.809523809523810
2010-07-01  32.826362484157166
2010-10-01  32.731877176321625
2011-01-01  33.175055397277620
2011-04-01  33.091482649842270
2011-07-01  33.065552699228790
2011-10-01  32.583903551645490
2012-01-01  31.876437725928360
2012-04-01  31.439638476436410
2012-07-01  31.135170603674540
2012-10-01  31.647634584013050
2013-01-01  29.824561403508770
2013-04-01  29.622700342999686
2013-07-01  29.846708746618578
2013-10-01  29.962779156327546
2014-01-01  29.176980198019802
2014-04-01  29.109274563820020
2014-07-01  29.526378896882495
2014-10-01  29.070783571220502
2015-01-01  29.131571304095267
2015-04-01  28.583690987124466
2015-07-01  28.501299451342767
2015-10-01  28.360797918473544
2016-01-01  28.164924506387923
2016-04-01  28.688285130002920
2016-07-01  28.546762589928060
2016-10-01  27.652273377180443
2017-01-01  27.768264840182650
2017-04-01  28.099636160089560
2017-07-01  27.401443642420876
2017-10-01  27.805555555555557
2018-01-01  27.634854771784234
2018-04-01  27.495134834584377
2018-07-01  27.486338797814210
