Title:               Equifax Subprime Credit Population for Johnston County, NC
Series ID:           EQFXSUBPRIME037101
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.207991437745270
1999-04-01  39.793399762318310
1999-07-01  38.705271783665665
1999-10-01  38.711419058760010
2000-01-01  38.758298941324240
2000-04-01  36.937614985783576
2000-07-01  37.390693316677070
2000-10-01  35.857247976453280
2001-01-01  36.018688942375760
2001-04-01  35.594270761603084
2001-07-01  35.798796565479010
2001-10-01  36.424935545712960
2002-01-01  36.481241914618366
2002-04-01  36.545536693990830
2002-07-01  35.962558502340094
2002-10-01  36.090506763074240
2003-01-01  36.605837095440960
2003-04-01  36.334590069653010
2003-07-01  36.911463664278410
2003-10-01  36.560693641618500
2004-01-01  39.004258106780210
2004-04-01  36.527641878669280
2004-07-01  36.361913186327160
2004-10-01  37.152453816010450
2005-01-01  36.670287231474774
2005-04-01  36.420464890453360
2005-07-01  37.326930273169516
2005-10-01  37.960858585858590
2006-01-01  37.750752256770310
2006-04-01  36.743620899149455
2006-07-01  37.011730559922604
2006-10-01  38.308870453095080
2007-01-01  37.853177051202960
2007-04-01  36.690053652496910
2007-07-01  37.504509921828024
2007-10-01  38.262442310091050
2008-01-01  40.578151260504200
2008-04-01  40.623728813559325
2008-07-01  40.443269621797480
2008-10-01  40.039115187483140
2009-01-01  40.521359355807290
2009-04-01  40.247337684644450
2009-07-01  40.427269016192680
2009-10-01  40.570963585814060
2010-01-01  40.209813874788495
2010-04-01  39.893902766586090
2010-07-01  39.447758193150600
2010-10-01  39.721792890262755
2011-01-01  39.356303418803420
2011-04-01  39.512613921542730
2011-07-01  39.276997163401276
2011-10-01  39.682331320556570
2012-01-01  38.828534031413610
2012-04-01  38.500751584863735
2012-07-01  37.777053455019555
2012-10-01  38.443106016449710
2013-01-01  37.087756768641240
2013-04-01  36.320067944673625
2013-07-01  36.457737618666364
2013-10-01  36.204644824257564
2014-01-01  35.419582376980350
2014-04-01  35.006006333952165
2014-07-01  35.319446687119864
2014-10-01  35.925572519083970
2015-01-01  35.245643501994536
2015-04-01  34.866890669423626
2015-07-01  34.742816238879230
2015-10-01  34.896649315206960
2016-01-01  34.117165933953586
2016-04-01  33.848981467299740
2016-07-01  33.025066926259434
2016-10-01  33.192652630569280
2017-01-01  32.726229743295570
2017-04-01  32.286121673003805
2017-07-01  32.400395126769840
2017-10-01  32.449297971918880
2018-01-01  32.128113879003564
2018-04-01  32.053579850957460
2018-07-01  32.478711588300630
