Title:               Equifax Subprime Credit Population for Madison County, NC
Series ID:           EQFXSUBPRIME037115
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:42 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.400516795865634
1999-04-01  35.188129305776364
1999-07-01  34.285714285714285
1999-10-01  33.553355335533550
2000-01-01  33.500278241513634
2000-04-01  32.316384180790955
2000-07-01  33.925501432664760
2000-10-01  32.510504201680675
2001-01-01  33.883857218966430
2001-04-01  31.854648419065594
2001-07-01  30.866601752677703
2001-10-01  31.597051597051596
2002-01-01  32.103896103896105
2002-04-01  31.240188383045524
2002-07-01  31.359069275515600
2002-10-01  31.827842720510098
2003-01-01  32.873806998939550
2003-04-01  32.275416890801510
2003-07-01  31.695464362850974
2003-10-01  31.042007637752317
2004-01-01  32.334997226844145
2004-04-01  32.747252747252745
2004-07-01  33.075648812810606
2004-10-01  32.327113062568610
2005-01-01  31.735537190082646
2005-04-01  30.721003134796238
2005-07-01  32.186341979883540
2005-10-01  33.368200836820080
2006-01-01  32.626262626262620
2006-04-01  32.785200411099694
2006-07-01  33.028017241379310
2006-10-01  34.719911259012760
2007-01-01  35.326688815060905
2007-04-01  35.725677830940990
2007-07-01  35.490716180371350
2007-10-01  34.649610678531700
2008-01-01  35.567010309278350
2008-04-01  35.344336937962430
2008-07-01  34.826427771556550
2008-10-01  33.672891907187330
2009-01-01  33.429063756461800
2009-04-01  32.545045045045040
2009-07-01  32.740411339633130
2009-10-01  33.520809898762660
2010-01-01  33.144475920679890
2010-04-01  31.904503526858385
2010-07-01  31.655061596143547
2010-10-01  32.214401732539260
2011-01-01  32.100750267952840
2011-04-01  31.729729729729726
2011-07-01  32.474503488996240
2011-10-01  33.005464480874316
2012-01-01  32.650802434975100
2012-04-01  33.388888888888890
2012-07-01  32.218506131549610
2012-10-01  34.085903083700444
2013-01-01  33.732317736670290
2013-04-01  33.297180043383950
2013-07-01  32.819722650231130
2013-10-01  33.520982599795290
2014-01-01  32.662304982385510
2014-04-01  32.464929859719440
2014-07-01  31.025770591207680
2014-10-01  33.250743310208120
2015-01-01  32.464338416133790
2015-04-01  32.437713727405956
2015-07-01  31.904529956161713
2015-10-01  32.491500728508990
2016-01-01  31.651829871414440
2016-04-01  31.599229287090560
2016-07-01  31.190926275992435
2016-10-01  30.776605944391180
2017-01-01  29.981114258734653
2017-04-01  29.097779877184692
2017-07-01  30.254476908576816
2017-10-01  29.727187206020695
2018-01-01  28.436911487758948
2018-04-01  28.604651162790695
2018-07-01  29.020332717190390
