Title:               Equifax Subprime Credit Population for Montgomery County, NC
Series ID:           EQFXSUBPRIME037123
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  35.796766743648960
1999-04-01  35.555555555555560
1999-07-01  34.339887640449440
1999-10-01  35.111435878699304
2000-01-01  36.139169472502810
2000-04-01  34.855859228753275
2000-07-01  34.635224760501100
2000-10-01  33.451578573962400
2001-01-01  33.991385498923190
2001-04-01  33.025895707697764
2001-07-01  34.142857142857140
2001-10-01  32.991513437057990
2002-01-01  33.559201141226820
2002-04-01  33.789132781576110
2002-07-01  33.613445378151260
2002-10-01  33.929222911346220
2003-01-01  34.276267450404110
2003-04-01  34.366828539409790
2003-07-01  35.005658242172764
2003-10-01  34.741606940777070
2004-01-01  37.888198757763970
2004-04-01  36.892097264437690
2004-07-01  37.045369328833890
2004-10-01  36.638091688408494
2005-01-01  37.290033594624860
2005-04-01  36.356678147722924
2005-07-01  37.685817597428680
2005-10-01  37.515176042088220
2006-01-01  37.723836052526860
2006-04-01  36.221701795472290
2006-07-01  35.915772745331740
2006-10-01  37.489643744821870
2007-01-01  36.908253037285290
2007-04-01  37.428337428337430
2007-07-01  38.193548387096776
2007-10-01  38.634321653189580
2008-01-01  39.793524167057720
2008-04-01  40.018832391713750
2008-07-01  40.271917487107360
2008-10-01  40.347581023954910
2009-01-01  39.734471313418690
2009-04-01  39.167862266857960
2009-07-01  40.095011876484560
2009-10-01  40.434577231931980
2010-01-01  40.851887705711520
2010-04-01  39.109153206069510
2010-07-01  38.499025341130604
2010-10-01  37.844488188976380
2011-01-01  37.622789783889985
2011-04-01  37.561942517343910
2011-07-01  38.300000000000000
2011-10-01  38.569989929506550
2012-01-01  38.288057406458230
2012-04-01  39.013224821973550
2012-07-01  37.570766855378280
2012-10-01  38.966408268733850
2013-01-01  37.330657300551934
2013-04-01  36.527847466131455
2013-07-01  36.829836829836830
2013-10-01  37.071362372567194
2014-01-01  35.920992191088650
2014-04-01  36.991869918699190
2014-07-01  36.740442655935610
2014-10-01  37.013247691690080
2015-01-01  37.404580152671755
2015-04-01  32.201358369956054
2015-07-01  32.697768762677484
2015-10-01  32.993890020366600
2016-01-01  33.034987794955250
2016-04-01  34.504391468005020
2016-07-01  34.987794955248170
2016-10-01  34.914145543744890
2017-01-01  34.038226921512810
2017-04-01  34.128289473684210
2017-07-01  33.717579250720460
2017-10-01  34.121483897268654
2018-01-01  34.031198686371100
2018-04-01  33.986655546288574
2018-07-01  33.401892225421630
