Title:               Equifax Subprime Credit Population for Person County, NC
Series ID:           EQFXSUBPRIME037145
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  38.141504733432980
1999-04-01  38.608695652173914
1999-07-01  38.297331639135960
1999-10-01  38.100128369704750
2000-01-01  39.457752040010530
2000-04-01  39.284768211920530
2000-07-01  40.828556539864515
2000-10-01  38.858424725822530
2001-01-01  40.826873385012920
2001-04-01  40.040805916857950
2001-07-01  40.783410138248850
2001-10-01  40.568862275449100
2002-01-01  41.094179365475890
2002-04-01  41.666666666666670
2002-07-01  41.223258365331870
2002-10-01  41.607044578976335
2003-01-01  42.758999725199230
2003-04-01  42.219178082191780
2003-07-01  42.907608695652170
2003-10-01  43.455922120064900
2004-01-01  43.565169769989050
2004-04-01  43.147067000278014
2004-07-01  43.230016313213700
2004-10-01  44.145356662180355
2005-01-01  43.888149134487350
2005-04-01  42.629904559915170
2005-07-01  42.994395516413130
2005-10-01  42.937100213219615
2006-01-01  42.684528500131336
2006-04-01  42.636457260556130
2006-07-01  42.934085662990510
2006-10-01  43.016325472920450
2007-01-01  43.507853403141360
2007-04-01  41.258380608561110
2007-07-01  41.867704280155640
2007-10-01  42.495965572888650
2008-01-01  44.003378378378380
2008-04-01  43.804933371136950
2008-07-01  43.642514801240480
2008-10-01  44.121753700083780
2009-01-01  43.406285072951740
2009-04-01  42.558528428093645
2009-07-01  42.801448064605960
2009-10-01  42.623873873873876
2010-01-01  41.993185689948895
2010-04-01  41.617021276595740
2010-07-01  41.312959818902094
2010-10-01  41.841955656623080
2011-01-01  41.560283687943260
2011-04-01  40.776423916123550
2011-07-01  41.036533559898050
2011-10-01  40.915593705293276
2012-01-01  40.305387496398730
2012-04-01  40.396964389959130
2012-07-01  40.103418557885670
2012-10-01  40.556831228473015
2013-01-01  38.997587778075584
2013-04-01  37.408949011446410
2013-07-01  37.559628420788350
2013-10-01  38.317054845980465
2014-01-01  37.129561596865050
2014-04-01  37.091623679685580
2014-07-01  37.171372930866600
2014-10-01  37.983528824557030
2015-01-01  36.326918507959135
2015-04-01  35.862393967954760
2015-07-01  34.860883797054010
2015-10-01  35.363594256600280
2016-01-01  35.306755788971120
2016-04-01  35.338899803536340
2016-07-01  35.037376416686760
2016-10-01  35.505882352941180
2017-01-01  35.133865664631280
2017-04-01  34.379294548786080
2017-07-01  35.061955025240934
2017-10-01  34.288990825688074
2018-01-01  34.265895953757220
2018-04-01  33.684210526315790
2018-07-01  33.907377239934840
