Title:               Equifax Subprime Credit Population for Randolph County, NC
Series ID:           EQFXSUBPRIME037151
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  39.470269445080530
1999-04-01  40.157659364814680
1999-07-01  39.724963095330590
1999-10-01  39.918954048474650
2000-01-01  40.089121081745546
2000-04-01  38.892580287929120
2000-07-01  39.642100949388706
2000-10-01  38.460554098150870
2001-01-01  39.798248953178536
2001-04-01  38.851777161583065
2001-07-01  39.456444184990595
2001-10-01  38.985685601399055
2002-01-01  39.348789416222460
2002-04-01  39.275995190177840
2002-07-01  39.189787018896546
2002-10-01  39.770700636942670
2003-01-01  39.826642335766420
2003-04-01  39.634386056873275
2003-07-01  40.432382704691810
2003-10-01  39.814162127523225
2004-01-01  41.225425950196595
2004-04-01  39.364457641038605
2004-07-01  39.318181818181820
2004-10-01  39.666420482520930
2005-01-01  39.234771962044690
2005-04-01  38.864094882924746
2005-07-01  39.175066477026775
2005-10-01  39.164973212636250
2006-01-01  39.027872617791296
2006-04-01  38.574062692071300
2006-07-01  38.512763596004440
2006-10-01  38.231044663609524
2007-01-01  38.742058449809406
2007-04-01  38.288316003199405
2007-07-01  37.914809311540370
2007-10-01  37.803563502631410
2008-01-01  39.974422830988760
2008-04-01  39.997275389959810
2008-07-01  39.610477741585230
2008-10-01  39.193240665031340
2009-01-01  38.933663980161190
2009-04-01  38.664371772805510
2009-07-01  38.421125397483756
2009-10-01  38.796334860474800
2010-01-01  38.521454899506224
2010-04-01  37.399566827359740
2010-07-01  37.424672715938215
2010-10-01  38.018179314144060
2011-01-01  37.387884641920790
2011-04-01  36.965574680732930
2011-07-01  37.136341648814870
2011-10-01  37.436539397732800
2012-01-01  36.892052194543300
2012-04-01  36.540072605417480
2012-07-01  36.305998745906784
2012-10-01  36.616003886459850
2013-01-01  34.688682939564025
2013-04-01  34.035718874470000
2013-07-01  34.094626522081540
2013-10-01  34.272671941570300
2014-01-01  33.741037536904260
2014-04-01  33.661963516146170
2014-07-01  33.911671924290220
2014-10-01  34.231775275787555
2015-01-01  33.075955159002520
2015-04-01  32.986660637576310
2015-07-01  32.935574229691880
2015-10-01  33.382063536688220
2016-01-01  32.969765470471884
2016-04-01  32.748637602179830
2016-07-01  32.341884122069880
2016-10-01  31.866456075377158
2017-01-01  31.438034777808443
2017-04-01  31.157006440151008
2017-07-01  31.637564360868590
2017-10-01  31.968459588848212
2018-01-01  31.728190791350485
2018-04-01  31.136943578111710
2018-07-01  31.288204663798957
