Title:               Equifax Subprime Credit Population for Union County, NC
Series ID:           EQFXSUBPRIME037179
Source:              Equifax, Federal Reserve Bank of New York
Release:             Equifax Credit Quality (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1999-01-01 to 2018-07-01
Last Updated:        2018-11-23 11:44 AM CST
Notes:               Percentage of population sample with a credit score below 660.
                     Counties with fewer than 20 people in the sample are not reported for
                     privacy reasons.
                     
                     Source: Federal Reserve Bank of New York/Equifax Consumer Credit Panel
                     
                     Reprinted with permission. Copyright © 2016, Equifax. All rights
                     reserved. Reproduction of median credit score per county in any form
                     is prohibited except with the prior written permission of Equifax.

DATE                     VALUE
1999-01-01  37.306991464467245
1999-04-01  36.779117979645690
1999-07-01  36.115585030791095
1999-10-01  37.088122605363985
2000-01-01  37.472971702547710
2000-04-01  36.604477611940300
2000-07-01  36.131449003916230
2000-10-01  34.403847645644250
2001-01-01  33.892953407778200
2001-04-01  33.715476810838980
2001-07-01  33.863194993886210
2001-10-01  34.309266628766345
2002-01-01  34.386313622488820
2002-04-01  33.886090120347050
2002-07-01  33.487953475491560
2002-10-01  34.473721490296080
2003-01-01  33.872063017791660
2003-04-01  33.629700013574050
2003-07-01  33.928691331498015
2003-10-01  34.728661030815380
2004-01-01  35.951013630388154
2004-04-01  35.047435721160460
2004-07-01  35.073180511929420
2004-10-01  35.246880807008230
2005-01-01  34.833772747733260
2005-04-01  33.884561358702590
2005-07-01  33.846637335009426
2005-10-01  34.926108374384235
2006-01-01  34.538296349319970
2006-04-01  33.180557913200930
2006-07-01  33.171173209639100
2006-10-01  33.707268111235756
2007-01-01  33.485140421556610
2007-04-01  32.539772727272730
2007-07-01  32.899334911509410
2007-10-01  33.337126600284490
2008-01-01  33.871630747548295
2008-04-01  33.799810246679320
2008-07-01  33.133732534930140
2008-10-01  33.540733848927140
2009-01-01  33.257028819627870
2009-04-01  32.786110783040040
2009-07-01  32.881257275902210
2009-10-01  33.337211331510670
2010-01-01  33.247543284978946
2010-04-01  32.747927896597695
2010-07-01  33.189506385916470
2010-10-01  33.566274643486170
2011-01-01  32.564907275320970
2011-04-01  32.262276468918536
2011-07-01  32.502396931927140
2011-10-01  32.549063966970195
2012-01-01  32.015543166075350
2012-04-01  31.936763309312326
2012-07-01  31.938932980599650
2012-10-01  32.384146006266830
2013-01-01  31.223810035457184
2013-04-01  30.421544438028242
2013-07-01  30.649752784298055
2013-10-01  30.575911080509517
2014-01-01  29.458791608120550
2014-04-01  29.123342554612230
2014-07-01  28.936348408710217
2014-10-01  29.459434987323434
2015-01-01  28.972428804643570
2015-04-01  29.000860156639053
2015-07-01  29.255698005698004
2015-10-01  29.375386518243662
2016-01-01  28.029638723254998
2016-04-01  27.468558248835894
2016-07-01  27.648425945489120
2016-10-01  27.565958150690594
2017-01-01  26.964808779240070
2017-04-01  26.531956047573974
2017-07-01  26.684371807967310
2017-10-01  26.929191635073990
2018-01-01  25.828111011638317
2018-04-01  25.012163477132667
2018-07-01  25.487692982806080
