Title:               Civilian Labor Force in Fayetteville, NC (MSA)
Series ID:           FAYE137LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE         VALUE
1990-01-01  111266
1990-02-01  112405
1990-03-01  112798
1990-04-01  112740
1990-05-01  114463
1990-06-01  115346
1990-07-01  115288
1990-08-01  113803
1990-09-01  111802
1990-10-01  113101
1990-11-01  113396
1990-12-01  112804
1991-01-01  112508
1991-02-01  113036
1991-03-01  113397
1991-04-01  115230
1991-05-01  116120
1991-06-01  120521
1991-07-01  120489
1991-08-01  119486
1991-09-01  118760
1991-10-01  118102
1991-11-01  119007
1991-12-01  118171
1992-01-01  116330
1992-02-01  116658
1992-03-01  117613
1992-04-01  118234
1992-05-01  119174
1992-06-01  122034
1992-07-01  120618
1992-08-01  118962
1992-09-01  120034
1992-10-01  121508
1992-11-01  122745
1992-12-01  121556
1993-01-01  120090
1993-02-01  121178
1993-03-01  121070
1993-04-01  120938
1993-05-01  122012
1993-06-01  123350
1993-07-01  123675
1993-08-01  121099
1993-09-01  121280
1993-10-01  122724
1993-11-01  123650
1993-12-01  122019
1994-01-01  120154
1994-02-01  121419
1994-03-01  120944
1994-04-01  121109
1994-05-01  121878
1994-06-01  122674
1994-07-01  122746
1994-08-01  121857
1994-09-01  122966
1994-10-01  124236
1994-11-01  124303
1994-12-01  123175
1995-01-01  121811
1995-02-01  122996
1995-03-01  123060
1995-04-01  124106
1995-05-01  123757
1995-06-01  124141
1995-07-01  124301
1995-08-01  122787
1995-09-01  123700
1995-10-01  125581
1995-11-01  125880
1995-12-01  125042
1996-01-01  124842
1996-02-01  126811
1996-03-01  127487
1996-04-01  127695
1996-05-01  129386
1996-06-01  129877
1996-07-01  129060
1996-08-01  126046
1996-09-01  127370
1996-10-01  130043
1996-11-01  130823
1996-12-01  129679
1997-01-01  130280
1997-02-01  130795
1997-03-01  131413
1997-04-01  130647
1997-05-01  131316
1997-06-01  132040
1997-07-01  129999
1997-08-01  128204
1997-09-01  129635
1997-10-01  130429
1997-11-01  131481
1997-12-01  131338
1998-01-01  131355
1998-02-01  132238
1998-03-01  132887
1998-04-01  131601
1998-05-01  132749
1998-06-01  133350
1998-07-01  131754
1998-08-01  129562
1998-09-01  131765
1998-10-01  132778
1998-11-01  133397
1998-12-01  133214
1999-01-01  133177
1999-02-01  133944
1999-03-01  133775
1999-04-01  134224
1999-05-01  135031
1999-06-01  135777
1999-07-01  135448
1999-08-01  135108
1999-09-01  135386
1999-10-01  136701
1999-11-01  138551
1999-12-01  138123
2000-01-01  133710
2000-02-01  134254
2000-03-01  134237
2000-04-01  134225
2000-05-01  134998
2000-06-01  136137
2000-07-01  133743
2000-08-01  131759
2000-09-01  132798
2000-10-01  133956
2000-11-01  134761
2000-12-01  134991
2001-01-01  135654
2001-02-01  137218
2001-03-01  136843
2001-04-01  135209
2001-05-01  134876
2001-06-01  134801
2001-07-01  132110
2001-08-01  130195
2001-09-01  132525
2001-10-01  133728
2001-11-01  135263
2001-12-01  135303
2002-01-01  134175
2002-02-01  135770
2002-03-01  135881
2002-04-01  136327
2002-05-01  136287
2002-06-01  136582
2002-07-01  134878
2002-08-01  133160
2002-09-01  134061
2002-10-01  136252
2002-11-01  136458
2002-12-01  136421
2003-01-01  137910
2003-02-01  139685
2003-03-01  139669
2003-04-01  139969
2003-05-01  139526
2003-06-01  141088
2003-07-01  137282
2003-08-01  135107
2003-09-01  137333
2003-10-01  139955
2003-11-01  140398
2003-12-01  139206
2004-01-01  138309
2004-02-01  138378
2004-03-01  138628
2004-04-01  139314
2004-05-01  139540
2004-06-01  140847
2004-07-01  139865
2004-08-01  137610
2004-09-01  139670
2004-10-01  140763
2004-11-01  142262
2004-12-01  142208
2005-01-01  143259
2005-02-01  144316
2005-03-01  144602
2005-04-01  145255
2005-05-01  146021
2005-06-01  146718
2005-07-01  145986
2005-08-01  145023
2005-09-01  147281
2005-10-01  146514
2005-11-01  146190
2005-12-01  145484
2006-01-01  145445
2006-02-01  146487
2006-03-01  147205
2006-04-01  147983
2006-05-01  148883
2006-06-01  150381
2006-07-01  149620
2006-08-01  148602
2006-09-01  149181
2006-10-01  149806
2006-11-01  149218
2006-12-01  149609
2007-01-01  147419
2007-02-01  148820
2007-03-01  148438
2007-04-01  148298
2007-05-01  148757
2007-06-01  150309
2007-07-01  148619
2007-08-01  146110
2007-09-01  147572
2007-10-01  148786
2007-11-01  150058
2007-12-01  149411
2008-01-01  150254
2008-02-01  149851
2008-03-01  150156
2008-04-01  151926
2008-05-01  152642
2008-06-01  153298
2008-07-01  153548
2008-08-01  152222
2008-09-01  153434
2008-10-01  154317
2008-11-01  156712
2008-12-01  156509
2009-01-01  156860
2009-02-01  157151
2009-03-01  157303
2009-04-01  157841
2009-05-01  158304
2009-06-01  159306
2009-07-01  158887
2009-08-01  156763
2009-09-01  157610
2009-10-01  158219
2009-11-01  158661
2009-12-01  157279
2010-01-01  147513
2010-02-01  148250
2010-03-01  149621
2010-04-01  150930
2010-05-01  151115
2010-06-01  150713
2010-07-01  149500
2010-08-01  148720
2010-09-01  149457
2010-10-01  149882
2010-11-01  150480
2010-12-01  149897
2011-01-01  150309
2011-02-01  150964
2011-03-01  151867
2011-04-01  151938
2011-05-01  152331
2011-06-01  152894
2011-07-01  152108
2011-08-01  151414
2011-09-01  152713
2011-10-01  152741
2011-11-01  152705
2011-12-01  151885
2012-01-01  151024
2012-02-01  152506
2012-03-01  152764
2012-04-01  151816
2012-05-01  153200
2012-06-01  153817
2012-07-01  151467
2012-08-01  151655
2012-09-01  152159
2012-10-01  152974
2012-11-01  152055
2012-12-01  151731
2013-01-01  152818
2013-02-01  152643
2013-03-01  152350
2013-04-01  151317
2013-05-01  151875
2013-06-01  153287
2013-07-01  150665
2013-08-01  148394
2013-09-01  149735
2013-10-01  148324
2013-11-01  148781
2013-12-01  147240
2014-01-01  147836
2014-02-01  148551
2014-03-01  149477
2014-04-01  146995
2014-05-01  147819
2014-06-01  148163
2014-07-01  146376
2014-08-01  145173
2014-09-01  145811
2014-10-01  146411
2014-11-01  146187
2014-12-01  145090
2015-01-01  144996
2015-02-01  145748
2015-03-01  145883
2015-04-01  146132
2015-05-01  147882
2015-06-01  147515
2015-07-01  145563
2015-08-01  144177
2015-09-01  145302
2015-10-01  146417
2015-11-01  146903
2015-12-01  146556
2016-01-01  147163
2016-02-01  147952
2016-03-01  148535
2016-04-01  147563
2016-05-01  147471
2016-06-01  148070
2016-07-01  145949
2016-08-01  144782
2016-09-01  146688
2016-10-01  146995
2016-11-01  147588
2016-12-01  146435
2017-01-01  147511
2017-02-01  148157
2017-03-01  148462
2017-04-01  147925
2017-05-01  147815
2017-06-01  147726
2017-07-01  146245
2017-08-01  145942
2017-09-01  148031
2017-10-01  147278
2017-11-01  147843
2017-12-01  147423
2018-01-01  147908
2018-02-01  148464
2018-03-01  148955
2018-04-01  148343
2018-05-01  148866
2018-06-01  149356
2018-07-01  148089
2018-08-01  145293
2018-09-01  145174
2018-10-01  148083
2018-11-01  148630
