Title:               Civilian Labor Force in Goldsboro, NC (MSA)
Series ID:           GOLD137LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE        VALUE
1990-01-01  46880
1990-02-01  47146
1990-03-01  47405
1990-04-01  47596
1990-05-01  48563
1990-06-01  49337
1990-07-01  49774
1990-08-01  48448
1990-09-01  47841
1990-10-01  47162
1990-11-01  47926
1990-12-01  47894
1991-01-01  48410
1991-02-01  48871
1991-03-01  48965
1991-04-01  49241
1991-05-01  49256
1991-06-01  50577
1991-07-01  52157
1991-08-01  50317
1991-09-01  49372
1991-10-01  48312
1991-11-01  48971
1991-12-01  48149
1992-01-01  46891
1992-02-01  47248
1992-03-01  47670
1992-04-01  47234
1992-05-01  47983
1992-06-01  48914
1992-07-01  48806
1992-08-01  47885
1992-09-01  48199
1992-10-01  47673
1992-11-01  47488
1992-12-01  46989
1993-01-01  46053
1993-02-01  46468
1993-03-01  46451
1993-04-01  46467
1993-05-01  47453
1993-06-01  47729
1993-07-01  48368
1993-08-01  47348
1993-09-01  46912
1993-10-01  46655
1993-11-01  46501
1993-12-01  46641
1994-01-01  47036
1994-02-01  47397
1994-03-01  47521
1994-04-01  47364
1994-05-01  48102
1994-06-01  48733
1994-07-01  49801
1994-08-01  49208
1994-09-01  48929
1994-10-01  49020
1994-11-01  48971
1994-12-01  48739
1995-01-01  47079
1995-02-01  46891
1995-03-01  47461
1995-04-01  48430
1995-05-01  48532
1995-06-01  49702
1995-07-01  50144
1995-08-01  49792
1995-09-01  49590
1995-10-01  49250
1995-11-01  49511
1995-12-01  48918
1996-01-01  47629
1996-02-01  47851
1996-03-01  48263
1996-04-01  48346
1996-05-01  49355
1996-06-01  50039
1996-07-01  50237
1996-08-01  49501
1996-09-01  49539
1996-10-01  49466
1996-11-01  49627
1996-12-01  49277
1997-01-01  49122
1997-02-01  49533
1997-03-01  49976
1997-04-01  49676
1997-05-01  50503
1997-06-01  51332
1997-07-01  52001
1997-08-01  50580
1997-09-01  50400
1997-10-01  50240
1997-11-01  50537
1997-12-01  50332
1998-01-01  50129
1998-02-01  49572
1998-03-01  49884
1998-04-01  49615
1998-05-01  50178
1998-06-01  50424
1998-07-01  50102
1998-08-01  50206
1998-09-01  50100
1998-10-01  50184
1998-11-01  49870
1998-12-01  49052
1999-01-01  50125
1999-02-01  50269
1999-03-01  50374
1999-04-01  49738
1999-05-01  49967
1999-06-01  50672
1999-07-01  51020
1999-08-01  51126
1999-09-01  50825
1999-10-01  50959
1999-11-01  50746
1999-12-01  50227
2000-01-01  50603
2000-02-01  50635
2000-03-01  51164
2000-04-01  50907
2000-05-01  51019
2000-06-01  52104
2000-07-01  50809
2000-08-01  51456
2000-09-01  51409
2000-10-01  51170
2000-11-01  50746
2000-12-01  50884
2001-01-01  51583
2001-02-01  51420
2001-03-01  51633
2001-04-01  51038
2001-05-01  51161
2001-06-01  51546
2001-07-01  52467
2001-08-01  52173
2001-09-01  52203
2001-10-01  51695
2001-11-01  51495
2001-12-01  50861
2002-01-01  50479
2002-02-01  50943
2002-03-01  50706
2002-04-01  50652
2002-05-01  51188
2002-06-01  51170
2002-07-01  51230
2002-08-01  50610
2002-09-01  50504
2002-10-01  50357
2002-11-01  49608
2002-12-01  49836
2003-01-01  51061
2003-02-01  50836
2003-03-01  51110
2003-04-01  51270
2003-05-01  52072
2003-06-01  51852
2003-07-01  51962
2003-08-01  51757
2003-09-01  51402
2003-10-01  52039
2003-11-01  52121
2003-12-01  51611
2004-01-01  51563
2004-02-01  50990
2004-03-01  51149
2004-04-01  51370
2004-05-01  51375
2004-06-01  51211
2004-07-01  51386
2004-08-01  50476
2004-09-01  50294
2004-10-01  50568
2004-11-01  51069
