Title:               Civilian Labor Force in Greenville, NC (MSA)
Series ID:           GREE737LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:16 AM CST
Notes:               

DATE        VALUE
1990-01-01  56002
1990-02-01  56448
1990-03-01  56631
1990-04-01  56624
1990-05-01  56582
1990-06-01  57437
1990-07-01  57935
1990-08-01  57110
1990-09-01  57749
1990-10-01  58186
1990-11-01  58182
1990-12-01  57943
1991-01-01  56863
1991-02-01  56931
1991-03-01  57056
1991-04-01  57562
1991-05-01  57624
1991-06-01  58710
1991-07-01  58675
1991-08-01  57913
1991-09-01  59589
1991-10-01  59713
1991-11-01  59491
1991-12-01  58860
1992-01-01  57237
1992-02-01  57540
1992-03-01  57592
1992-04-01  57673
1992-05-01  57434
1992-06-01  58169
1992-07-01  58259
1992-08-01  58425
1992-09-01  58933
1992-10-01  59471
1992-11-01  59139
1992-12-01  58874
1993-01-01  58588
1993-02-01  58420
1993-03-01  58528
1993-04-01  58477
1993-05-01  58831
1993-06-01  59146
1993-07-01  58816
1993-08-01  58861
1993-09-01  59583
1993-10-01  60268
1993-11-01  59565
1993-12-01  59581
1994-01-01  58872
1994-02-01  59358
1994-03-01  59580
1994-04-01  60328
1994-05-01  60065
1994-06-01  59918
1994-07-01  60067
1994-08-01  61543
1994-09-01  62744
1994-10-01  63350
1994-11-01  62818
1994-12-01  62642
1995-01-01  62232
1995-02-01  63149
1995-03-01  63546
1995-04-01  62941
1995-05-01  62496
1995-06-01  63284
1995-07-01  64588
1995-08-01  63872
1995-09-01  64379
1995-10-01  65138
1995-11-01  65577
1995-12-01  64677
1996-01-01  63007
1996-02-01  63924
1996-03-01  64012
1996-04-01  64610
1996-05-01  65093
1996-06-01  65494
1996-07-01  66210
1996-08-01  65971
1996-09-01  66688
1996-10-01  67106
1996-11-01  67655
1996-12-01  66772
1997-01-01  65955
1997-02-01  66022
1997-03-01  66691
1997-04-01  66420
1997-05-01  66617
1997-06-01  66635
1997-07-01  66903
1997-08-01  66240
1997-09-01  68248
1997-10-01  68077
1997-11-01  68561
1997-12-01  67285
1998-01-01  66984
1998-02-01  67217
1998-03-01  67249
1998-04-01  66293
1998-05-01  66551
1998-06-01  67376
1998-07-01  66737
1998-08-01  66279
1998-09-01  67061
1998-10-01  68138
1998-11-01  68439
1998-12-01  67779
1999-01-01  69359
1999-02-01  69336
1999-03-01  68731
1999-04-01  69760
1999-05-01  69704
1999-06-01  70474
1999-07-01  70377
1999-08-01  69640
1999-09-01  69835
1999-10-01  71917
1999-11-01  71741
1999-12-01  71063
2000-01-01  69193
2000-02-01  69768
2000-03-01  70214
2000-04-01  69885
2000-05-01  70350
2000-06-01  71314
2000-07-01  69624
2000-08-01  69528
2000-09-01  69984
2000-10-01  70222
2000-11-01  70614
2000-12-01  70576
2001-01-01  70291
2001-02-01  70254
2001-03-01  70160
2001-04-01  69397
2001-05-01  69440
2001-06-01  70582
2001-07-01  70448
2001-08-01  69223
2001-09-01  70265
2001-10-01  69468
2001-11-01  69318
2001-12-01  69234
2002-01-01  68014
2002-02-01  68696
2002-03-01  68846
2002-04-01  68787
2002-05-01  68992
2002-06-01  69676
2002-07-01  68571
2002-08-01  67758
2002-09-01  69555
2002-10-01  68465
2002-11-01  68418
2002-12-01  68613
2003-01-01  70564
2003-02-01  70841
2003-03-01  71076
2003-04-01  71707
2003-05-01  72209
2003-06-01  72902
2003-07-01  71526
2003-08-01  70910
2003-09-01  71610
2003-10-01  72283
2003-11-01  72219
2003-12-01  71475
2004-01-01  71439
2004-02-01  71428
2004-03-01  71385
2004-04-01  71295
2004-05-01  71771
2004-06-01  72122
2004-07-01  72096
2004-08-01  71649
2004-09-01  72307
2004-10-01  72067
2004-11-01  72487
2004-12-01  72426
2005-01-01  72352
2005-02-01  72609
2005-03-01  72686
2005-04-01  72934
2005-05-01  73821
2005-06-01  74178
2005-07-01  73442
2005-08-01  73646
2005-09-01  74184
2005-10-01  74206
2005-11-01  74057
2005-12-01  73742
2006-01-01  73794
2006-02-01  73973
2006-03-01  74719
2006-04-01  75377
2006-05-01  76111
2006-06-01  76754
2006-07-01  76949
2006-08-01  76476
2006-09-01  76492
2006-10-01  77357
2006-11-01  78091
2006-12-01  78044
2007-01-01  78064
2007-02-01  78084
2007-03-01  78255
2007-04-01  77927
2007-05-01  78582
2007-06-01  79125
2007-07-01  79398
2007-08-01  78552
2007-09-01  79769
2007-10-01  79639
2007-11-01  80464
2007-12-01  80247
2008-01-01  80438
2008-02-01  80133
2008-03-01  80786
2008-04-01  80511
2008-05-01  80809
2008-06-01  81309
2008-07-01  81714
2008-08-01  80680
2008-09-01  80812
2008-10-01  80854
2008-11-01  81986
2008-12-01  81925
2009-01-01  82138
2009-02-01  82318
2009-03-01  82090
2009-04-01  81790
2009-05-01  82515
2009-06-01  82700
2009-07-01  83079
2009-08-01  82224
2009-09-01  82385
2009-10-01  82325
2009-11-01  82535
2009-12-01  81734
2010-01-01  85364
2010-02-01  85414
2010-03-01  85940
2010-04-01  86746
2010-05-01  86956
2010-06-01  86400
2010-07-01  86460
2010-08-01  85962
2010-09-01  86196
2010-10-01  85257
2010-11-01  85525
2010-12-01  84787
2011-01-01  85163
2011-02-01  84993
2011-03-01  85486
2011-04-01  85647
2011-05-01  85994
2011-06-01  86048
2011-07-01  85852
2011-08-01  85349
2011-09-01  86345
2011-10-01  86084
2011-11-01  86399
