Title:               Net Interest Income for Commercial Banks with Assets under $5B in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           INTINCOMECGR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Net Interest Income call item RIAD4074.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE         VALUE
1989-01-01   20491
1989-04-01   42069
1989-07-01   65146
1989-10-01   88248
1990-01-01   23330
1990-04-01   49091
1990-07-01   76147
1990-10-01  104295
1991-01-01   26718
1991-04-01   54579
1991-07-01   78404
1991-10-01  101114
1992-01-01   22402
1992-04-01   46913
1992-07-01   73120
1992-10-01  110131
1993-01-01   28802
1993-04-01   58523
1993-07-01  101702
1993-10-01  132882
1994-01-01   33664
1994-04-01   65409
1994-07-01  100943
1994-10-01  133741
1995-01-01   42646
1995-04-01   67330
1995-07-01  110247
1995-10-01  152588
1996-01-01   44024
1996-04-01   96069
1996-07-01  141003
1996-10-01  193031
1997-01-01   54789
1997-04-01   90023
1997-07-01  194126
1997-10-01  271738
1998-01-01   73850
1998-04-01  189130
1998-07-01  287354
1998-10-01  406096
1999-01-01  140737
1999-04-01  248815
1999-07-01  452306
1999-10-01  513582
2000-01-01  127570
2000-04-01  237058
2000-07-01  355391
2000-10-01  484092
2001-01-01  125845
2001-04-01  255315
2001-07-01  230474
2001-10-01  179197
2002-01-01   48198
2002-04-01   98173
2002-07-01  144613
2002-10-01  186143
2003-01-01   45421
2003-04-01   90808
2003-07-01  133269
2003-10-01  181084
2004-01-01   49348
2004-04-01   99387
2004-07-01  151818
2004-10-01  202019
2005-01-01   53760
2005-04-01  111704
2005-07-01  170566
2005-10-01  226758
2006-01-01   64994
2006-04-01  124981
2006-07-01  183966
2006-10-01  249294
2007-01-01   72441
2007-04-01  147946
2007-07-01  225267
2007-10-01  294715
2008-01-01   71558
2008-04-01   75635
2008-07-01  115364
2008-10-01  128946
2009-01-01   30251
2009-04-01   56967
2009-07-01   89164
2009-10-01  120963
2010-01-01   33714
2010-04-01   66585
2010-07-01   99271
2010-10-01  131729
2011-01-01   32031
2011-04-01   64408
2011-07-01   97838
2011-10-01  167028
2012-01-01   50313
2012-04-01   98732
2012-07-01  147424
2012-10-01  157745
2013-01-01   43533
2013-04-01  119893
2013-07-01  178426
2013-10-01  238984
2014-01-01   60062
2014-04-01  118465
2014-07-01  210075
2014-10-01  296676
2015-01-01   84202
2015-04-01  169239
2015-07-01  254603
2015-10-01  342044
2016-01-01   52094
2016-04-01  104335
2016-07-01  156306
2016-10-01  209530
2017-01-01   54009
2017-04-01  111003
2017-07-01  168239
2017-10-01  102119
2018-01-01   27063
2018-04-01   55095
2018-07-01   74980
