Title:               Net Interest Income for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           INTINCOMENFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Net Interest Income call item RIAD4074.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE         VALUE
1989-01-01   28726
1989-04-01   58151
1989-07-01   86709
1989-10-01  115574
1990-01-01   28339
1990-04-01   55011
1990-07-01   83050
1990-10-01  111512
1991-01-01   18021
1991-04-01   37097
1991-07-01   56893
1991-10-01   76039
1992-01-01   20949
1992-04-01   43697
1992-07-01   67108
1992-10-01   92242
1993-01-01   24862
1993-04-01   50120
1993-07-01   75354
1993-10-01  101205
1994-01-01   26118
1994-04-01   53246
1994-07-01   81029
1994-10-01  109005
1995-01-01   27411
1995-04-01   55531
1995-07-01   84443
1995-10-01  114641
1996-01-01   30442
1996-04-01   62478
1996-07-01   95792
1996-10-01  129499
1997-01-01   33730
1997-04-01   68736
1997-07-01  104422
1997-10-01  141587
1998-01-01   37507
1998-04-01   97253
1998-07-01  172214
1998-10-01  228454
1999-01-01   57951
1999-04-01  118144
1999-07-01   89538
1999-10-01  121980
2000-01-01   81676
2000-04-01   68004
2000-07-01  103448
2000-10-01  146725
2001-01-01   36890
2001-04-01   74662
2001-07-01  110469
2001-10-01  142115
2002-01-01   37392
2002-04-01   77913
2002-07-01  120898
2002-10-01  164609
2003-01-01   43060
2003-04-01   88172
2003-07-01  132289
2003-10-01  134029
2004-01-01   34506
2004-04-01   73628
2004-07-01  116073
2004-10-01  161954
2005-01-01   46499
2005-04-01   97177
2005-07-01  151392
2005-10-01  208717
2006-01-01   57487
2006-04-01  118621
2006-07-01  181482
2006-10-01  247648
2007-01-01   63360
2007-04-01  129793
2007-07-01  196603
2007-10-01  262095
2008-01-01   54307
2008-04-01  110711
2008-07-01  171340
2008-10-01  225292
2009-01-01   58222
2009-04-01  157352
2009-07-01  241392
2009-10-01  323802
2010-01-01   80338
2010-04-01  159036
2010-07-01  244750
2010-10-01  324487
2011-01-01   81590
2011-04-01  162701
2011-07-01  224765
2011-10-01  300160
2012-01-01   75309
2012-04-01  151096
2012-07-01  227906
2012-10-01  305346
2013-01-01   74656
2013-04-01  149744
2013-07-01  224446
2013-10-01  299750
2014-01-01   72843
2014-04-01  147657
2014-07-01  219807
2014-10-01  290535
2015-01-01   36527
2015-04-01   74629
2015-07-01  112303
2015-10-01  163344
2016-01-01   38555
2016-04-01   54432
2016-07-01   35318
2016-10-01   47256
2017-01-01   11384
2017-04-01   22998
2017-07-01   34965
2017-10-01   46982
2018-01-01   12106
2018-04-01   23801
2018-07-01   36175
