Title:               Civilian Labor Force in Jacksonville, NC (MSA)
Series ID:           JACK337LF
Source:              U.S. Bureau of Labor Statistics
Release:             Metropolitan Area Employment and Unemployment
Seasonal Adjustment: Smoothed Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 1:41 PM CST
Notes:               

DATE         VALUE
1990-01-01   41620
1990-02-01   41579
1990-03-01   41546
1990-04-01   41514
1990-05-01   41490
1990-06-01   41464
1990-07-01   41488
1990-08-01   41528
1990-09-01   41523
1990-10-01   41533
1990-11-01   41586
1990-12-01   41615
1991-01-01   41598
1991-02-01   41591
1991-03-01   41624
1991-04-01   41692
1991-05-01   41785
1991-06-01   41879
1991-07-01   41949
1991-08-01   42025
1991-09-01   42133
1991-10-01   42257
1991-11-01   42365
1991-12-01   42450
1992-01-01   41639
1992-02-01   41687
1992-03-01   41708
1992-04-01   41725
1992-05-01   41744
1992-06-01   41755
1992-07-01   41770
1992-08-01   41816
1992-09-01   41866
1992-10-01   41890
1992-11-01   41937
1992-12-01   42044
1993-01-01   42175
1993-02-01   42302
1993-03-01   42407
1993-04-01   42448
1993-05-01   42458
1993-06-01   42493
1993-07-01   42509
1993-08-01   42484
1993-09-01   42504
1993-10-01   42624
1993-11-01   42737
1993-12-01   42786
1994-01-01   42816
1994-02-01   42831
1994-03-01   42850
1994-04-01   42906
1994-05-01   42977
1994-06-01   43011
1994-07-01   43046
1994-08-01   43124
1994-09-01   43203
1994-10-01   43248
1994-11-01   43271
1994-12-01   43271
1995-01-01   43280
1995-02-01   43319
1995-03-01   43386
1995-04-01   43466
1995-05-01   43506
1995-06-01   43575
1995-07-01   43689
1995-08-01   43773
1995-09-01   43882
1995-10-01   44011
1995-11-01   44158
1995-12-01   44333
1996-01-01   44491
1996-02-01   44627
1996-03-01   44740
1996-04-01   44868
1996-05-01   45041
1996-06-01   45223
1996-07-01   46589
1996-08-01   46312
1996-09-01   46151
1996-10-01   47119
1996-11-01   46731
1996-12-01   46490
1997-01-01   47726
1997-02-01   47699
1997-03-01   47735
1997-04-01   47785
1997-05-01   47864
1997-06-01   47939
1997-07-01   47985
1997-08-01   48079
1997-09-01   48186
1997-10-01   48264
1997-11-01   48354
1997-12-01   48441
1998-01-01   48471
1998-02-01   48465
1998-03-01   48432
1998-04-01   47907
1998-05-01   47862
1998-06-01   47811
1998-07-01   47777
1998-08-01   47756
1998-09-01   49184
1998-10-01   49162
1998-11-01   49162
1998-12-01   49222
1999-01-01   49340
1999-02-01   49469
1999-03-01   49616
1999-04-01   49766
1999-05-01   49895
1999-06-01   50048
1999-07-01   50215
1999-08-01   50361
1999-09-01   50499
1999-10-01   50632
1999-11-01   50736
1999-12-01   50840
2000-01-01   52714
2000-02-01   52863
2000-03-01   53003
2000-04-01   53081
2000-05-01   53181
2000-06-01   53332
2000-07-01   53464
2000-08-01   53586
2000-09-01   53666
2000-10-01   53706
2000-11-01   53826
2000-12-01   54081
2001-01-01   54312
2001-02-01   54440
2001-03-01   54489
2001-04-01   54392
2001-05-01   54214
2001-06-01   54063
2001-07-01   54016
2001-08-01   54071
2001-09-01   54172
2001-10-01   54286
2001-11-01   54318
2001-12-01   54165
2002-01-01   54021
2002-02-01   54037
2002-03-01   53978
2002-04-01   53863
2002-05-01   53742
2002-06-01   53495
2002-07-01   53316
2002-08-01   53377
2002-09-01   53406
2002-10-01   53138
2002-11-01   52890
2002-12-01   53009
2003-01-01   53237
2003-02-01   53277
2003-03-01   53275
2003-04-01   53401
2003-05-01   53612
2003-06-01   53851
2003-07-01   54071
2003-08-01   54172
2003-09-01   54137
2003-10-01   54165
2003-11-01   54298
2003-12-01   54484
2004-01-01   54650
2004-02-01   54729
2004-03-01   54908
2004-04-01   55125
2004-05-01   55138
2004-06-01   55152
2004-07-01   55409
2004-08-01   55644
2004-09-01   55668
2004-10-01   55700
2004-11-01   55789
2004-12-01   55787
2005-01-01   55760
2005-02-01   55797
2005-03-01   55774
2005-04-01   55642
2005-05-01   55461
2005-06-01   55369
2005-07-01   55513
2005-08-01   55822
2005-09-01   56206
2005-10-01   56562
2005-11-01   56772
2005-12-01   56845
2006-01-01   56877
2006-02-01   57023
2006-03-01   57274
2006-04-01   57552
2006-05-01   57939
2006-06-01   58351
2006-07-01   58528
2006-08-01   58500
2006-09-01   58604
2006-10-01   58989
2006-11-01   59366
2006-12-01   59464
2007-01-01   59334
2007-02-01   59259
2007-03-01   59329
2007-04-01   59448
2007-05-01   59705
2007-06-01   59958
2007-07-01   59915
2007-08-01   59859
2007-09-01   60051
2007-10-01   60400
2007-11-01   60806
2007-12-01   61153
2008-01-01   61418
2008-02-01   61627
2008-03-01   61907
2008-04-01   62329
2008-05-01   62808
2008-06-01   63141
2008-07-01   63241
2008-08-01   63381
2008-09-01   63574
2008-10-01   63611
2008-11-01   64383
2008-12-01   64322
2009-01-01   65313
2009-02-01   65391
2009-03-01   65432
2009-04-01   65560
2009-05-01   65820
2009-06-01   66204
2009-07-01   66504
2009-08-01   66387
2009-09-01   66039
2009-10-01   65791
2009-11-01   65640
2009-12-01   65527
2010-01-01   63154
2010-02-01   63240
2010-03-01   63381
2010-04-01   63478
2010-05-01   63474
2010-06-01   63512
2010-07-01   63561
2010-08-01   63445
2010-09-01   63299
2010-10-01   63252
2010-11-01   63243
2010-12-01   63191
2011-01-01   63066
2011-02-01   62920
2011-03-01   62797
2011-04-01   62711
2011-05-01   62621
2011-06-01   62581
2011-07-01   62603
2011-08-01   62577
2011-09-01   62575
2011-10-01   62645
2011-11-01   62728
2011-12-01   62831
2012-01-01   62969
2012-02-01   63105
2012-03-01   63210
2012-04-01   63299
2012-05-01   63357
2012-06-01   63362
2012-07-01   63432
2012-08-01   63707
2012-09-01   64058
2012-10-01   64280
2012-11-01   64352
2012-12-01   64377
2013-01-01   64410
2013-02-01   64393
2013-03-01   64309
2013-04-01   64206
2013-05-01   64150
2013-06-01   64089
2013-07-01   64000
2013-08-01   63961
2013-09-01   63884
2013-10-01   63756
2013-11-01   63739
2013-12-01   63822
2014-01-01   63858
2014-02-01   63857
2014-03-01   63896
2014-04-01   63951
2014-05-01   64015
2014-06-01   64067
2014-07-01   64107
2014-08-01   64129
2014-09-01   64140
2014-10-01   64179
2014-11-01   64139
2014-12-01   64022
2015-01-01   63962
2015-02-01   63922
2015-03-01   63885
2015-04-01   63883
2015-05-01   63847
2015-06-01   63740
2015-07-01   63623
2015-08-01   63552
2015-09-01   63543
2015-10-01   63586
2015-11-01   63658
2015-12-01   63699
2016-01-01   63668
2016-02-01   63636
2016-03-01   63615
2016-04-01   63585
2016-05-01   63581
2016-06-01   63601
2016-07-01   63653
2016-08-01   63740
2016-09-01   63794
2016-10-01   63771
2016-11-01   63742
2016-12-01   63788
2017-01-01   63910
2017-02-01   64043
2017-03-01   64123
2017-04-01   64139
2017-05-01   64143
2017-06-01   64180
2017-07-01   64216
2017-08-01   64232
2017-09-01   64235
2017-10-01   64221
2017-11-01   64227
2017-12-01   64251
2018-01-01   64258
2018-02-01   64430
2018-03-01   64462
2018-04-01   64416
2018-05-01   64357
2018-06-01   64427
2018-07-01   64375
2018-08-01   64224
2018-09-01   63768
2018-10-01   64469
2018-11-01   64494
