Title:               Allowance for Loan and Lease Losses for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           LLSNFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series represents Allowance for Loan and Lease Losses call item
                     RCFD3123.
                     
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE         VALUE
1989-01-01   20693
1989-04-01   21482
1989-07-01   21593
1989-10-01   22613
1990-01-01   28246
1990-04-01   27656
1990-07-01   32813
1990-10-01   38480
1991-01-01   15695
1991-04-01   16334
1991-07-01   16749
1991-10-01   20153
1992-01-01   21213
1992-04-01   21833
1992-07-01   22233
1992-10-01   22803
1993-01-01   23019
1993-04-01   23261
1993-07-01   23355
1993-10-01   22774
1994-01-01   23444
1994-04-01   24295
1994-07-01   24338
1994-10-01   24463
1995-01-01   24852
1995-04-01   25012
1995-07-01   24668
1995-10-01   24697
1996-01-01   25410
1996-04-01   26254
1996-07-01   26704
1996-10-01   26637
1997-01-01   27207
1997-04-01   27674
1997-07-01   27697
1997-10-01   29324
1998-01-01   30092
1998-04-01   47290
1998-07-01   60458
1998-10-01   60696
1999-01-01   61622
1999-04-01   61797
1999-07-01   25063
1999-10-01   24841
2000-01-01   82139
2000-04-01   27151
2000-07-01   28998
2000-10-01   31799
2001-01-01   32317
2001-04-01   31491
2001-07-01   36263
2001-10-01   36667
2002-01-01   31326
2002-04-01   33296
2002-07-01   34575
2002-10-01   36985
2003-01-01   37646
2003-04-01   38779
2003-07-01   39425
2003-10-01   33398
2004-01-01   38477
2004-04-01   40341
2004-07-01   41603
2004-10-01   40562
2005-01-01   41660
2005-04-01   43474
2005-07-01   46230
2005-10-01   47989
2006-01-01   49728
2006-04-01   51200
2006-07-01   53336
2006-10-01   54943
2007-01-01   56433
2007-04-01   58254
2007-07-01   59852
2007-10-01   62572
2008-01-01   55664
2008-04-01   59085
2008-07-01   82386
2008-10-01   90770
2009-01-01   96739
2009-04-01  165411
2009-07-01  225124
2009-10-01  243084
2010-01-01  275344
2010-04-01  297662
2010-07-01  297257
2010-10-01  307783
2011-01-01  243263
2011-04-01  226195
2011-07-01  153998
2011-10-01  144845
2012-01-01  140574
2012-04-01  135067
2012-07-01  125168
2012-10-01  119433
2013-01-01  114487
2013-04-01  107212
2013-07-01  105743
2013-10-01   99839
2014-01-01   94999
2014-04-01   88113
2014-07-01   89992
2014-10-01   87443
2015-01-01   52602
2015-04-01   51945
2015-07-01   45895
2015-10-01   49309
2016-01-01   45837
2016-04-01   38792
2016-07-01   15724
2016-10-01   15188
2017-01-01   14950
2017-04-01   15057
2017-07-01   15566
2017-10-01   16033
2018-01-01   16333
2018-04-01   15823
2018-07-01   16179
