Title:               Loan Loss Reserve to Total Loans for Commercial Banks with Assets under $5B in Charlotte-Concord-Gastonia, NC-SC (MSA)
Series ID:           LLSRCGR
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Quarter
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series is constructed as ratio of Allowance for Loan and Lease
                     Losses call item RCFD3123 to Quarterly Average of Total Loans call
                     item RCFD3360.
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE               VALUE
1989-01-01  1.4119872263
1989-04-01  1.4150723658
1989-07-01  1.3583190157
1989-10-01  1.3908831517
1990-01-01  1.3671567446
1990-04-01  1.3540084738
1990-07-01  1.3758186882
1990-10-01  1.9543598438
1991-01-01  1.9792379005
1991-04-01  2.0220161610
1991-07-01  2.0413950858
1991-10-01  2.0449238132
1992-01-01  1.9456190595
1992-04-01  1.7285601723
1992-07-01  1.6871482513
1992-10-01  1.5370820356
1993-01-01  1.5644903355
1993-04-01  1.5154099495
1993-07-01  1.4039157892
1993-10-01  1.3513739666
1994-01-01  1.3562478182
1994-04-01  1.3544810293
1994-07-01  1.3596451152
1994-10-01  1.1966646647
1995-01-01  1.1903562036
1995-04-01  1.0715236271
1995-07-01  0.9991731728
1995-10-01  1.0053685087
1996-01-01  1.0231309740
1996-04-01  1.0536787135
1996-07-01  1.0772458345
1996-10-01  1.0731438880
1997-01-01  1.1614901108
1997-04-01  0.9600101264
1997-07-01  0.9635389093
1997-10-01  1.0666978351
1998-01-01  1.0767072604
1998-04-01  1.3910845744
1998-07-01  1.1934871986
1998-10-01  1.1483987216
1999-01-01  1.1287812520
1999-04-01  1.1099406379
1999-07-01  1.2740951647
1999-10-01  1.3465766045
2000-01-01  1.3261063999
2000-04-01  1.3169925047
2000-07-01  1.3299830297
2000-10-01  1.3364457943
2001-01-01  1.3190078528
2001-04-01  1.3408929770
2001-07-01  1.3801479859
2001-10-01  1.2782932188
2002-01-01  1.2958130915
2002-04-01  1.4745176499
2002-07-01  1.7257527595
2002-10-01  1.2684267652
2003-01-01  1.2981656046
2003-04-01  1.2025136107
2003-07-01  1.2185203490
2003-10-01  1.2419053846
2004-01-01  1.2136601022
2004-04-01  1.1951486900
2004-07-01  1.1983959153
2004-10-01  1.2065882487
2005-01-01  1.1804927641
2005-04-01  1.1591280287
2005-07-01  1.1500997392
2005-10-01  1.1320311517
2006-01-01  1.1429083611
2006-04-01  1.1316645910
2006-07-01  1.1332825975
2006-10-01  1.0980293210
2007-01-01  1.1485179858
2007-04-01  1.2911185971
2007-07-01  1.2251943461
2007-10-01  1.2197819829
2008-01-01  1.2238755891
2008-04-01  1.3458833092
2008-07-01  1.3928605690
2008-10-01  1.6022481071
2009-01-01  1.7369211796
2009-04-01  1.4346190921
2009-07-01  1.6668108517
2009-10-01  1.8940219522
2010-01-01  1.9683800527
2010-04-01  2.2526853068
2010-07-01  2.4490940373
2010-10-01  2.7437874061
2011-01-01  2.6481694917
2011-04-01  2.6493089681
2011-07-01  2.3930538382
2011-10-01  2.1681737141
2012-01-01  1.9936604719
2012-04-01  1.9296298612
2012-07-01  1.9680159434
2012-10-01  1.6213924438
2013-01-01  1.6347842034
2013-04-01  1.6372124181
2013-07-01  1.5222775632
2013-10-01  1.4052510978
2014-01-01  1.3892311354
2014-04-01  1.2977922555
2014-07-01  0.8412587508
2014-10-01  0.7444373970
2015-01-01  0.7424740839
2015-04-01  0.7260740343
2015-07-01  0.7346696009
2015-10-01  0.7308385015
2016-01-01  0.9308817494
2016-04-01  0.9199023445
2016-07-01  0.9267927628
2016-10-01  0.8833270067
2017-01-01  0.8901742756
2017-04-01  0.8606593047
2017-07-01  0.8525616021
2017-10-01  1.1631372438
2018-01-01  1.1617151340
2018-04-01  1.1391364820
2018-07-01  1.1576100086
