Title:               Loan Loss Reserve to Total Loans for Commercial Banks with Assets under $5B in Greensboro-High Point, NC (MSA)
Series ID:           LLSRGNS
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series is constructed as ratio of Allowance for Loan and Lease
                     Losses call item RCFD3123 to Quarterly Average of Total Loans call
                     item RCFD3360.
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE               VALUE
1989-01-01  1.3378095475
1989-04-01  1.3253212099
1989-07-01  1.3017511541
1989-10-01  1.3485289290
1990-01-01  1.3917250960
1990-04-01  1.3910981805
1990-07-01  1.3740954990
1990-10-01  1.3998174151
1991-01-01  1.4562830881
1991-04-01  1.4019559256
1991-07-01  1.4454206138
1991-10-01  1.4470262731
1992-01-01  1.5457829932
1992-04-01  1.5468558555
1992-07-01  1.5853112187
1992-10-01  1.5767454161
1993-01-01  1.5762772473
1993-04-01  1.5344351254
1993-07-01  1.5623822562
1993-10-01  1.5519603841
1994-01-01  1.5040844483
1994-04-01  1.5200067030
1994-07-01  1.4985015965
1994-10-01  1.4458831968
1995-01-01  1.4234053069
1995-04-01  1.5734916296
1995-07-01  1.5192130668
1995-10-01  1.5217136441
1996-01-01  1.4579706940
1996-04-01  1.3501654877
1996-07-01  1.3629427840
1996-10-01  1.3995227569
1997-01-01  1.3553593599
1997-04-01  1.3495443347
1997-07-01  1.3589627172
1997-10-01  1.3496996446
1998-01-01  1.3811501206
1998-04-01  1.3704797395
1998-07-01  1.3804249152
1998-10-01  1.3800696230
1999-01-01  1.4042423067
1999-04-01  1.4118696174
1999-07-01  1.3943162216
1999-10-01  1.4120355903
2000-01-01  1.4189881560
2000-04-01  1.3789707346
2000-07-01  1.3617874110
2000-10-01  1.3687312899
2001-01-01  1.3783333844
2001-04-01  1.3672993059
2001-07-01  1.3615213275
2001-10-01  1.3443761783
2002-01-01  1.3574621445
2002-04-01  1.3751724022
2002-07-01  1.3939851642
2002-10-01  1.4052397424
2003-01-01  1.4166158318
2003-04-01  1.4067986988
2003-07-01  1.4336150852
2003-10-01  1.3249837661
2004-01-01  1.3307400813
2004-04-01  1.3348082910
2004-07-01  1.3402292976
2004-10-01  1.3184393375
2005-01-01  1.2881032884
2005-04-01  1.2758151516
2005-07-01  1.2978217076
2005-10-01  1.6695598333
2006-01-01  1.6394923807
2006-04-01  1.6265573325
2006-07-01  1.5097785615
2006-10-01  1.4219587405
2007-01-01  1.3895900792
2007-04-01  1.3663982466
2007-07-01  1.2777592950
2007-10-01  1.1835918150
2008-01-01  1.1564974883
2008-04-01  1.1536761990
2008-07-01  1.4517723933
2008-10-01  1.6994684094
2009-01-01  1.8491732839
2009-04-01  1.9411292697
2009-07-01  2.1153677613
2009-10-01  2.3430393220
2010-01-01  2.5879067272
2010-04-01  3.0954790085
2010-07-01  2.9978678530
2010-10-01  4.2035675724
2011-01-01  3.5638519529
2011-04-01  3.4867444832
2011-07-01  3.1273140533
2011-10-01  3.0642529400
2012-01-01  2.7241082432
2012-04-01  2.4835469831
2012-07-01  2.5566925426
2012-10-01  2.2439455130
2013-01-01  2.2819318983
2013-04-01  2.2023263144
2013-07-01  1.9905688635
2013-10-01  1.9477849819
2014-01-01  1.8813962793
2014-04-01  1.6113610006
2014-07-01  1.5082892866
2014-10-01  1.4048770430
2015-01-01  1.3441086746
2015-04-01  1.2220031718
2015-07-01  1.1878407463
2015-10-01  1.0870294284
2016-01-01  1.1003562216
2016-04-01  1.0643243858
2016-07-01  1.0262999420
2016-10-01  1.1163435993
2017-01-01  1.2088558881
2017-04-01  1.1461659588
2017-07-01  1.0935708083
2017-10-01  1.0471545100
2018-01-01  1.0303378889
2018-04-01  1.0394974516
2018-07-01  1.0049830876
