Title:               Loan Loss Reserve to Total Loans for Commercial Banks with Assets under $5B in Virginia Beach-Norfolk-Newport News, VA-NC (MSA)
Series ID:           LLSRNFK
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly, End of Quarter
Units:               Percent
Date Range:          1989-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:04 AM CST
Notes:               This series is constructed as ratio of Allowance for Loan and Lease
                     Losses call item RCFD3123 to Quarterly Average of Total Loans call
                     item RCFD3360.
                     The asset class is determined by using Total Assets call item RCFD2170
                     less than or equal to $5B. Geographic location is determined by
                     Abbreviated State Name call item RSSD9200 and County Code call item
                     RSSD9150, which is mapped to the proper Core Based Statistical Area
                     (CBSA) defined by the Office of Management and Budget (OMB).
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE               VALUE
1989-01-01  1.0748248014
1989-04-01  1.0816896756
1989-07-01  1.0572930106
1989-10-01  1.0980366640
1990-01-01  1.3659598133
1990-04-01  1.3574829431
1990-07-01  1.5955525062
1990-10-01  1.8710511242
1991-01-01  1.2779685389
1991-04-01  1.3260495592
1991-07-01  1.3431575470
1991-10-01  1.6157403399
1992-01-01  1.6954381500
1992-04-01  1.7232207408
1992-07-01  1.7569230259
1992-10-01  1.7860947320
1993-01-01  1.8062660223
1993-04-01  1.7786290770
1993-07-01  1.7563583858
1993-10-01  1.6601497007
1994-01-01  1.6694640610
1994-04-01  1.6689989373
1994-07-01  1.6142854111
1994-10-01  1.5854046596
1995-01-01  1.5488966324
1995-04-01  1.5163097874
1995-07-01  1.4626967270
1995-10-01  1.4257361040
1996-01-01  1.4448993518
1996-04-01  1.4391431140
1996-07-01  1.4196032192
1996-10-01  1.3849633443
1997-01-01  1.3742477677
1997-04-01  1.3610688281
1997-07-01  1.3386388483
1997-10-01  1.3700742225
1998-01-01  1.3322701854
1998-04-01  1.4425286988
1998-07-01  1.5682284968
1998-10-01  1.5556503303
1999-01-01  1.5307391104
1999-04-01  1.4844610460
1999-07-01  1.3089806424
1999-10-01  1.2342667141
2000-01-01  1.5028719402
2000-04-01  1.2039041417
2000-07-01  1.2269118403
2000-10-01  1.2483600038
2001-01-01  1.2336955360
2001-04-01  1.1536031094
2001-07-01  1.2912918367
2001-10-01  1.2920205303
2002-01-01  1.1654911053
2002-04-01  1.1839019768
2002-07-01  1.1872300404
2002-10-01  1.2214732252
2003-01-01  1.2213713711
2003-04-01  1.1951169676
2003-07-01  1.1628661517
2003-10-01  1.1635077050
2004-01-01  1.3811375315
2004-04-01  1.2368621151
2004-07-01  1.2095829275
2004-10-01  1.1203486830
2005-01-01  1.1030469886
2005-04-01  1.0942955872
2005-07-01  1.0909912161
2005-10-01  1.0869575065
2006-01-01  1.1013024150
2006-04-01  1.0686106475
2006-07-01  1.0551177146
2006-10-01  1.0393353913
2007-01-01  1.0322319847
2007-04-01  1.0227780290
2007-07-01  1.0287467087
2007-10-01  1.0448979483
2008-01-01  1.0943908145
2008-04-01  1.0995526420
2008-07-01  1.4462003668
2008-10-01  1.5489710870
2009-01-01  1.5978650426
2009-04-01  2.0680601598
2009-07-01  2.8160564402
2009-10-01  3.0915975632
2010-01-01  3.5222504006
2010-04-01  3.7904245244
2010-07-01  3.7655853241
2010-10-01  4.0002240665
2011-01-01  3.3183242601
2011-04-01  3.1620818030
2011-07-01  2.5006276007
2011-10-01  2.3283623452
2012-01-01  2.2296472953
2012-04-01  2.1102167883
2012-07-01  1.9107424613
2012-10-01  1.7834874091
2013-01-01  1.7126081721
2013-04-01  1.6278182435
2013-07-01  1.6440631244
2013-10-01  1.5499917718
2014-01-01  1.4782024309
2014-04-01  1.3354175504
2014-07-01  1.3613343352
2014-10-01  1.3288662427
2015-01-01  1.5957291902
2015-04-01  1.5131129171
2015-07-01  1.3650552402
2015-10-01  1.3397164286
2016-01-01  1.3106849835
2016-04-01  1.5174007042
2016-07-01  1.6010768881
2016-10-01  1.5292755374
2017-01-01  1.6200237098
2017-04-01  1.5569372479
2017-07-01  1.5464921275
2017-10-01  1.5502099595
2018-01-01  1.5459302083
2018-04-01  1.5170937917
2018-07-01  1.5574671593
