Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Arts, Entertainment, Recreation, Accommodation, and Food Services: Accommodation and Food Services for North Carolina
Series ID:           NCACCOMDQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   94.795
2005-04-01   94.605
2005-07-01   95.190
2005-10-01   95.959
2006-01-01   98.966
2006-04-01   98.153
2006-07-01   99.611
2006-10-01  100.010
2007-01-01  102.334
2007-04-01  102.457
2007-07-01  100.443
2007-10-01  100.481
2008-01-01   97.963
2008-04-01   97.558
2008-07-01   97.487
2008-10-01   95.011
2009-01-01   91.513
2009-04-01   90.590
2009-07-01   90.387
2009-10-01   89.875
2010-01-01   92.173
2010-04-01   93.721
2010-07-01   95.248
2010-10-01   94.755
2011-01-01   97.533
2011-04-01   97.874
2011-07-01   97.299
2011-10-01   96.999
2012-01-01  100.112
2012-04-01   99.506
2012-07-01   99.197
2012-10-01  101.185
2013-01-01  103.974
2013-04-01  103.452
2013-07-01  103.898
2013-10-01  105.121
2014-01-01  109.634
2014-04-01  111.547
2014-07-01  112.831
2014-10-01  113.013
2015-01-01  116.545
2015-04-01  117.069
2015-07-01  117.756
2015-10-01  116.787
2016-01-01  119.424
2016-04-01  119.391
2016-07-01  119.613
2016-10-01  119.804
2017-01-01  121.611
2017-04-01  119.853
2017-07-01  120.505
2017-10-01  119.819
2018-01-01  119.872
2018-04-01  121.602
