Title:               Resident Population in Alamance County, NC
Series ID:           NCALAM1POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   96.502
1971-01-01   98.500
1972-01-01   99.700
1973-01-01   99.900
1974-01-01   99.300
1975-01-01   98.200
1976-01-01   98.700
1977-01-01   98.500
1978-01-01   98.500
1979-01-01   99.000
1980-01-01   99.319
1981-01-01  100.083
1982-01-01  101.000
1983-01-01  101.559
1984-01-01  101.706
1985-01-01  102.524
1986-01-01  103.515
1987-01-01  105.072
1988-01-01  106.327
1989-01-01  107.425
1990-01-01  108.695
1991-01-01  110.762
1992-01-01  112.825
1993-01-01  114.678
1994-01-01  116.788
1995-01-01  118.796
1996-01-01  121.263
1997-01-01  123.877
1998-01-01  126.232
1999-01-01  128.743
2000-01-01  131.469
2001-01-01  133.417
2002-01-01  135.276
2003-01-01  136.050
2004-01-01  137.642
2005-01-01  139.306
2006-01-01  141.505
2007-01-01  144.846
2008-01-01  147.921
2009-01-01  150.244
2010-01-01  151.490
2011-01-01  152.857
2012-01-01  153.471
2013-01-01  154.417
2014-01-01  155.698
2015-01-01  157.389
2016-01-01  159.325
2017-01-01  162.391
