Title:               Civilian Labor Force in Alexander County, NC
Series ID:           NCALEX3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:15 AM CST
Notes:               

DATE        VALUE
1990-01-01  15785
1990-02-01  15909
1990-03-01  15838
1990-04-01  15856
1990-05-01  16152
1990-06-01  16323
1990-07-01  16311
1990-08-01  16125
1990-09-01  15919
1990-10-01  15983
1990-11-01  16159
1990-12-01  16185
1991-01-01  16111
1991-02-01  16163
1991-03-01  16214
1991-04-01  16035
1991-05-01  16354
1991-06-01  16575
1991-07-01  17139
1991-08-01  16567
1991-09-01  16404
1991-10-01  16398
1991-11-01  16335
1991-12-01  16323
1992-01-01  16220
1992-02-01  16170
1992-03-01  16225
1992-04-01  16225
1992-05-01  16442
1992-06-01  16750
1992-07-01  16653
1992-08-01  16775
1992-09-01  16298
1992-10-01  16257
1992-11-01  16340
1992-12-01  16286
1993-01-01  16391
1993-02-01  16442
1993-03-01  16434
1993-04-01  16310
1993-05-01  16515
1993-06-01  16737
1993-07-01  16957
1993-08-01  16776
1993-09-01  16341
1993-10-01  16512
1993-11-01  16547
1993-12-01  16533
1994-01-01  16639
1994-02-01  16611
1994-03-01  16552
1994-04-01  16687
1994-05-01  16829
1994-06-01  17030
1994-07-01  17129
1994-08-01  17190
1994-09-01  17005
1994-10-01  17205
1994-11-01  17199
1994-12-01  17148
1995-01-01  16989
1995-02-01  17152
1995-03-01  17114
1995-04-01  17048
1995-05-01  17014
1995-06-01  17210
1995-07-01  17367
1995-08-01  17270
1995-09-01  16982
1995-10-01  17035
1995-11-01  17138
1995-12-01  17046
1996-01-01  17071
1996-02-01  17244
1996-03-01  17277
1996-04-01  17215
1996-05-01  17404
1996-06-01  17505
1996-07-01  17669
1996-08-01  17422
1996-09-01  17284
1996-10-01  17499
1996-11-01  17419
1996-12-01  17539
1997-01-01  17457
1997-02-01  17478
1997-03-01  17620
1997-04-01  17465
1997-05-01  17619
1997-06-01  17749
1997-07-01  17971
1997-08-01  17618
1997-09-01  17180
1997-10-01  17544
1997-11-01  17494
1997-12-01  17431
1998-01-01  17443
1998-02-01  17407
1998-03-01  17539
1998-04-01  17347
1998-05-01  17402
1998-06-01  17397
1998-07-01  17478
1998-08-01  17459
1998-09-01  17332
1998-10-01  17179
1998-11-01  17354
1998-12-01  17419
1999-01-01  17538
1999-02-01  17609
1999-03-01  17685
1999-04-01  17571
1999-05-01  17800
1999-06-01  17791
1999-07-01  18120
1999-08-01  17989
1999-09-01  17707
1999-10-01  17850
1999-11-01  17924
1999-12-01  17967
2000-01-01  19222
2000-02-01  19429
2000-03-01  19387
2000-04-01  19432
2000-05-01  19443
2000-06-01  19502
2000-07-01  19558
2000-08-01  19565
2000-09-01  19343
2000-10-01  19443
2000-11-01  19505
2000-12-01  19467
2001-01-01  19564
2001-02-01  19694
2001-03-01  19666
2001-04-01  19345
2001-05-01  19465
2001-06-01  19235
2001-07-01  19486
2001-08-01  18941
2001-09-01  19001
2001-10-01  18941
2001-11-01  18958
2001-12-01  18871
2002-01-01  18967
2002-02-01  18909
2002-03-01  18849
2002-04-01  18829
2002-05-01  18783
2002-06-01  18691
2002-07-01  18811
2002-08-01  18609
2002-09-01  18415
2002-10-01  18394
2002-11-01  18406
2002-12-01  18307
2003-01-01  18705
2003-02-01  18904
2003-03-01  18787
2003-04-01  18845
2003-05-01  18716
2003-06-01  18718
2003-07-01  18666
2003-08-01  18429
2003-09-01  18351
2003-10-01  18297
2003-11-01  18340
2003-12-01  18180
2004-01-01  18740
2004-02-01  18781
2004-03-01  18775
2004-04-01  18644
2004-05-01  18623
2004-06-01  18681
2004-07-01  18814
2004-08-01  18439
2004-09-01  18172
2004-10-01  18208
2004-11-01  18356
2004-12-01  18255
2005-01-01  18216
2005-02-01  18203
2005-03-01  18220
2005-04-01  18294
2005-05-01  18308
2005-06-01  18277
2005-07-01  18290
2005-08-01  18129
2005-09-01  18119
2005-10-01  18300
2005-11-01  18306
2005-12-01  18139
2006-01-01  18247
2006-02-01  18298
2006-03-01  18308
2006-04-01  18387
2006-05-01  18516
2006-06-01  18660
2006-07-01  18991
2006-08-01  18589
2006-09-01  18429
2006-10-01  18573
2006-11-01  18584
2006-12-01  18414
2007-01-01  18210
2007-02-01  18174
2007-03-01  18272
2007-04-01  18198
2007-05-01  18252
2007-06-01  18283
2007-07-01  18452
2007-08-01  18140
2007-09-01  18172
2007-10-01  18085
2007-11-01  18155
2007-12-01  18079
2008-01-01  18107
2008-02-01  18035
2008-03-01  18180
2008-04-01  18177
2008-05-01  18198
2008-06-01  18163
2008-07-01  18523
2008-08-01  18210
2008-09-01  18108
2008-10-01  18135
2008-11-01  18403
2008-12-01  18337
2009-01-01  18435
2009-02-01  18612
2009-03-01  18306
2009-04-01  18372
2009-05-01  18381
2009-06-01  18288
2009-07-01  18246
2009-08-01  17987
2009-09-01  17863
2009-10-01  17977
2009-11-01  17953
2009-12-01  17710
2010-01-01  18344
2010-02-01  18299
2010-03-01  18366
2010-04-01  18469
2010-05-01  18405
2010-06-01  18331
2010-07-01  18412
2010-08-01  18140
2010-09-01  18138
2010-10-01  18082
2010-11-01  18156
2010-12-01  17970
2011-01-01  18023
2011-02-01  17956
2011-03-01  18008
2011-04-01  17973
2011-05-01  17976
2011-06-01  18052
2011-07-01  17962
2011-08-01  17798
2011-09-01  17784
2011-10-01  17784
2011-11-01  17754
2011-12-01  17647
2012-01-01  17510
2012-02-01  17600
2012-03-01  17598
2012-04-01  17554
2012-05-01  17831
2012-06-01  17747
2012-07-01  17799
2012-08-01  17617
2012-09-01  17745
2012-10-01  17843
2012-11-01  17674
2012-12-01  17571
2013-01-01  17578
2013-02-01  17540
2013-03-01  17450
2013-04-01  17444
2013-05-01  17580
2013-06-01  17578
2013-07-01  17611
2013-08-01  17368
2013-09-01  17488
2013-10-01  17458
2013-11-01  17404
2013-12-01  17253
2014-01-01  17439
2014-02-01  17460
2014-03-01  17540
2014-04-01  17347
2014-05-01  17543
2014-06-01  17478
2014-07-01  17600
2014-08-01  17334
2014-09-01  17401
2014-10-01  17587
2014-11-01  17547
2014-12-01  17368
2015-01-01  17477
2015-02-01  17457
2015-03-01  17553
2015-04-01  17470
2015-05-01  17645
2015-06-01  17611
2015-07-01  17647
2015-08-01  17391
2015-09-01  17469
2015-10-01  17599
2015-11-01  17617
2015-12-01  17529
2016-01-01  17611
2016-02-01  17679
2016-03-01  17913
2016-04-01  17746
2016-05-01  17801
2016-06-01  17801
