Title:               Resident Population in Anson County, NC
Series ID:           NCANSO7POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  23.488
1971-01-01  23.800
1972-01-01  24.100
1973-01-01  24.500
1974-01-01  24.400
1975-01-01  24.700
1976-01-01  24.800
1977-01-01  24.900
1978-01-01  24.900
1979-01-01  25.200
1980-01-01  25.649
1981-01-01  25.427
1982-01-01  25.317
1983-01-01  25.208
1984-01-01  24.997
1985-01-01  24.848
1986-01-01  24.605
1987-01-01  24.336
1988-01-01  24.117
1989-01-01  23.755
1990-01-01  23.498
1991-01-01  23.564
1992-01-01  23.761
1993-01-01  24.483
1994-01-01  24.698
1995-01-01  24.630
1996-01-01  24.977
1997-01-01  25.134
1998-01-01  25.340
1999-01-01  25.288
2000-01-01  25.277
2001-01-01  25.283
2002-01-01  25.243
2003-01-01  25.060
2004-01-01  25.476
2005-01-01  25.468
2006-01-01  25.279
2007-01-01  25.158
2008-01-01  25.143
2009-01-01  25.045
2010-01-01  26.851
2011-01-01  26.517
2012-01-01  26.322
2013-01-01  25.975
2014-01-01  25.978
2015-01-01  25.594
2016-01-01  25.119
2017-01-01  24.991
