Title:               Quantity Indexes for Real Gross Domestic Product by Industry: Private Industries: Arts, Entertainment, Recreation, Accommodation, and Food Services: Arts, Entertainment, and Recreation for North Carolina
Series ID:           NCARTENTRECQQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE          VALUE
2005-01-01   70.973
2005-04-01   74.712
2005-07-01   78.794
2005-10-01   77.252
2006-01-01   81.174
2006-04-01   83.623
2006-07-01   82.715
2006-10-01   84.128
2007-01-01   80.027
2007-04-01   82.790
2007-07-01   84.082
2007-10-01   85.528
2008-01-01   83.392
2008-04-01   84.466
2008-07-01   85.841
2008-10-01   87.583
2009-01-01   86.249
2009-04-01   86.142
2009-07-01   86.284
2009-10-01   87.970
2010-01-01   87.416
2010-04-01   88.018
2010-07-01   87.005
2010-10-01   89.116
2011-01-01   97.567
2011-04-01   91.562
2011-07-01  106.592
2011-10-01   97.988
2012-01-01   98.574
2012-04-01  101.065
2012-07-01   99.917
2012-10-01  100.443
2013-01-01  102.633
2013-04-01  102.405
2013-07-01  101.839
2013-10-01  104.713
2014-01-01  101.817
2014-04-01  102.366
2014-07-01  102.736
2014-10-01  102.785
2015-01-01   99.826
2015-04-01   99.660
2015-07-01  101.505
2015-10-01   99.695
2016-01-01   98.750
2016-04-01   99.566
2016-07-01  102.150
2016-10-01  103.871
2017-01-01  102.858
2017-04-01  103.255
2017-07-01  107.410
2017-10-01  107.342
2018-01-01  103.057
2018-04-01  106.106
