Title:               Real Gross Domestic Product by Industry: Private Industries: Arts, Entertainment, Recreation, Accommodation, and Food Services: Arts, Entertainment, and Recreation for North Carolina
Series ID:           NCARTENTRECRQGSP
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product (GDP) by State
Seasonal Adjustment: Seasonally Adjusted Annual Rate
Frequency:           Quarterly
Units:               Millions of Chained 2012 Dollars
Date Range:          2005-01-01 to 2018-04-01
Last Updated:        2018-11-19 4:15 PM CST
Notes:               For more information about this release go to
                     http://www.bea.gov/newsreleases/regional/gdp_state/qgsp_newsrelease.htm.

DATE         VALUE
2005-01-01  2705.9
2005-04-01  2848.5
2005-07-01  3004.1
2005-10-01  2945.3
2006-01-01  3094.9
2006-04-01  3188.3
2006-07-01  3153.6
2006-10-01  3207.5
2007-01-01  3051.1
2007-04-01  3156.5
2007-07-01  3205.8
2007-10-01  3260.9
2008-01-01  3179.4
2008-04-01  3220.4
2008-07-01  3272.8
2008-10-01  3339.2
2009-01-01  3288.4
2009-04-01  3284.3
2009-07-01  3289.7
2009-10-01  3354.0
2010-01-01  3332.9
2010-04-01  3355.8
2010-07-01  3317.2
2010-10-01  3397.7
2011-01-01  3719.9
2011-04-01  3490.9
2011-07-01  4064.0
2011-10-01  3735.9
2012-01-01  3758.3
2012-04-01  3853.3
2012-07-01  3809.5
2012-10-01  3829.5
2013-01-01  3913.0
2013-04-01  3904.3
2013-07-01  3882.8
2013-10-01  3992.3
2014-01-01  3881.9
2014-04-01  3902.8
2014-07-01  3916.9
2014-10-01  3918.8
2015-01-01  3806.0
2015-04-01  3799.7
2015-07-01  3870.0
2015-10-01  3801.0
2016-01-01  3765.0
2016-04-01  3796.1
2016-07-01  3894.6
2016-10-01  3960.2
2017-01-01  3921.6
2017-04-01  3936.8
2017-07-01  4095.2
2017-10-01  4092.6
2018-01-01  3929.2
2018-04-01  4045.5
