Title:               Civilian Labor Force in Ashe County, NC
Series ID:           NCASHE9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:15 AM CST
Notes:               

DATE        VALUE
1990-01-01  10953
1990-02-01  10945
1990-03-01  10960
1990-04-01  11203
1990-05-01  11655
1990-06-01  11655
1990-07-01  11309
1990-08-01  11164
1990-09-01  11439
1990-10-01  12449
1990-11-01  11536
1990-12-01  11268
1991-01-01  11103
1991-02-01  11137
1991-03-01  11150
1991-04-01  11299
1991-05-01  11688
1991-06-01  11912
1991-07-01  12248
1991-08-01  11524
1991-09-01  11632
1991-10-01  12118
1991-11-01  11892
1991-12-01  11713
1992-01-01  11537
1992-02-01  11575
1992-03-01  11452
1992-04-01  11447
1992-05-01  11807
1992-06-01  12238
1992-07-01  11668
1992-08-01  11359
1992-09-01  11565
1992-10-01  11503
1992-11-01  11815
1992-12-01  11470
1993-01-01  11834
1993-02-01  11771
1993-03-01  11626
1993-04-01  11617
1993-05-01  11955
1993-06-01  12137
1993-07-01  11702
1993-08-01  11564
1993-09-01  11642
1993-10-01  11674
1993-11-01  11727
1993-12-01  11513
1994-01-01  11084
1994-02-01  11209
1994-03-01  11066
1994-04-01  11064
1994-05-01  11830
1994-06-01  11990
1994-07-01  11732
1994-08-01  11726
1994-09-01  11782
1994-10-01  11676
1994-11-01  11857
1994-12-01  11628
1995-01-01  11346
1995-02-01  11637
1995-03-01  11712
1995-04-01  11637
1995-05-01  11786
1995-06-01  12047
1995-07-01  12453
1995-08-01  11963
1995-09-01  11832
1995-10-01  11957
1995-11-01  12099
1995-12-01  11628
1996-01-01  11717
1996-02-01  11676
1996-03-01  11550
1996-04-01  12830
1996-05-01  12074
1996-06-01  12095
1996-07-01  11223
1996-08-01  11477
1996-09-01  11725
1996-10-01  11797
1996-11-01  12163
1996-12-01  11737
1997-01-01  11744
1997-02-01  11594
1997-03-01  11526
1997-04-01  11461
1997-05-01  11880
1997-06-01  12005
1997-07-01  11752
1997-08-01  11862
1997-09-01  11674
1997-10-01  11543
1997-11-01  11611
1997-12-01  11501
1998-01-01  11422
1998-02-01  11338
1998-03-01  11355
1998-04-01  11205
1998-05-01  11366
1998-06-01  11374
1998-07-01  11516
1998-08-01  11514
1998-09-01  11468
1998-10-01  11802
1998-11-01  11428
1998-12-01  11180
1999-01-01  11668
1999-02-01  11612
1999-03-01  11773
1999-04-01  11673
1999-05-01  11840
1999-06-01  11674
1999-07-01  12044
1999-08-01  12066
1999-09-01  12129
1999-10-01  11727
1999-11-01  11803
1999-12-01  11555
2000-01-01  12277
2000-02-01  12284
2000-03-01  12494
2000-04-01  12438
2000-05-01  12570
2000-06-01  12435
2000-07-01  12388
2000-08-01  12697
2000-09-01  12563
2000-10-01  12686
2000-11-01  12815
2000-12-01  12740
2001-01-01  12479
2001-02-01  12465
2001-03-01  12508
2001-04-01  12416
2001-05-01  12514
2001-06-01  12540
2001-07-01  12558
2001-08-01  12814
2001-09-01  12941
2001-10-01  13065
2001-11-01  13111
2001-12-01  12770
2002-01-01  12538
2002-02-01  12608
2002-03-01  12596
2002-04-01  12607
2002-05-01  12845
2002-06-01  12542
2002-07-01  12543
2002-08-01  12573
2002-09-01  12651
2002-10-01  12662
2002-11-01  12613
2002-12-01  12583
2003-01-01  12433
2003-02-01  12634
2003-03-01  12704
2003-04-01  12829
2003-05-01  12931
2003-06-01  12942
2003-07-01  12891
2003-08-01  13007
2003-09-01  12856
2003-10-01  13212
2003-11-01  13207
2003-12-01  12876
