Title:               Civilian Labor Force in Beaufort County, NC
Series ID:           NCBEAU3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE         VALUE
1990-01-01   20698
1990-02-01   21038
1990-03-01   21050
1990-04-01   20509
1990-05-01   20741
1990-06-01   20951
1990-07-01   20654
1990-08-01   20407
1990-09-01   20127
1990-10-01   20146
1990-11-01   20354
1990-12-01   20120
1991-01-01   19574
1991-02-01   20158
1991-03-01   20263
1991-04-01   20163
1991-05-01   20561
1991-06-01   20901
1991-07-01   21050
1991-08-01   20911
1991-09-01   20730
1991-10-01   20613
1991-11-01   20388
1991-12-01   20124
1992-01-01   20325
1992-02-01   20773
1992-03-01   20298
1992-04-01   20439
1992-05-01   20651
1992-06-01   21580
1992-07-01   21759
1992-08-01   21058
1992-09-01   20806
1992-10-01   20404
1992-11-01   20160
1992-12-01   20338
1993-01-01   19821
1993-02-01   19924
1993-03-01   19769
1993-04-01   19395
1993-05-01   19845
1993-06-01   20486
1993-07-01   20374
1993-08-01   20266
1993-09-01   19874
1993-10-01   19953
1993-11-01   19459
1993-12-01   19473
1994-01-01   19336
1994-02-01   19644
1994-03-01   19631
1994-04-01   19337
1994-05-01   20103
1994-06-01   20203
1994-07-01   19932
1994-08-01   19900
1994-09-01   19827
1994-10-01   19735
1994-11-01   19554
1994-12-01   19543
1995-01-01   19646
1995-02-01   19650
1995-03-01   19692
1995-04-01   19710
1995-05-01   19926
1995-06-01   20279
1995-07-01   19711
1995-08-01   21280
1995-09-01   19952
1995-10-01   20176
1995-11-01   20285
1995-12-01   19943
1996-01-01   19871
1996-02-01   20676
1996-03-01   20122
1996-04-01   20484
1996-05-01   20284
1996-06-01   20423
1996-07-01   20466
1996-08-01   20895
1996-09-01   20792
1996-10-01   20959
1996-11-01   20599
1996-12-01   20361
1997-01-01   20668
1997-02-01   20688
1997-03-01   20907
1997-04-01   20858
1997-05-01   21281
1997-06-01   21588
1997-07-01   21062
1997-08-01   21510
1997-09-01   21266
1997-10-01   21290
1997-11-01   21417
1997-12-01   21020
1998-01-01   20511
1998-02-01   20723
1998-03-01   20691
1998-04-01   20280
1998-05-01   20614
1998-06-01   20729
1998-07-01   21181
1998-08-01   21073
1998-09-01   20746
1998-10-01   20580
1998-11-01   20316
1998-12-01   20023
1999-01-01   20549
1999-02-01   20484
1999-03-01   20584
1999-04-01   20427
1999-05-01   20420
1999-06-01   20524
1999-07-01   21082
1999-08-01   21107
1999-09-01   21061
1999-10-01   20951
1999-11-01   20758
1999-12-01   20117
2000-01-01   20702
2000-02-01   20881
2000-03-01   20945
2000-04-01   20758
2000-05-01   20786
2000-06-01   21099
2000-07-01   20811
2000-08-01   21085
2000-09-01   20806
2000-10-01   20399
2000-11-01   20232
2000-12-01   20345
2001-01-01   20154
2001-02-01   20044
2001-03-01   20299
2001-04-01   20148
2001-05-01   20066
2001-06-01   20116
2001-07-01   20155
2001-08-01   20101
2001-09-01   20185
2001-10-01   20019
2001-11-01   20032
2001-12-01   19850
2002-01-01   19574
2002-02-01   19854
2002-03-01   19782
2002-04-01   19730
2002-05-01   19733
2002-06-01   19649
2002-07-01   19704
2002-08-01   19494
2002-09-01   19732
2002-10-01   19660
2002-11-01   19335
2002-12-01   19285
2003-01-01   19603
2003-02-01   19833
2003-03-01   19912
2003-04-01   19884
2003-05-01   20144
2003-06-01   20143
2003-07-01   20285
2003-08-01   20320
2003-09-01   20180
2003-10-01   20657
2003-11-01   20563
2003-12-01   20033
2004-01-01   19971
2004-02-01   19912
2004-03-01   19916
2004-04-01   19867
2004-05-01   20024
2004-06-01   19952
2004-07-01   20164
2004-08-01   19957
2004-09-01   19824
2004-10-01   20045
2004-11-01   20176
2004-12-01   20083
2005-01-01   20202
2005-02-01   20296
2005-03-01   20306
2005-04-01   20323
2005-05-01   20152
2005-06-01   20120
2005-07-01   20292
2005-08-01   20156
2005-09-01   20109
2005-10-01   20247
2005-11-01   20149
2005-12-01   20016
2006-01-01   19907
2006-02-01   20178
2006-03-01   20207
2006-04-01   20161
2006-05-01   20203
2006-06-01   20475
2006-07-01   21028
2006-08-01   20691
2006-09-01   20786
2006-10-01   21090
2006-11-01   21191
2006-12-01   20952
2007-01-01   21252
2007-02-01   21053
2007-03-01   21251
2007-04-01   21192
2007-05-01   21225
2007-06-01   21364
2007-07-01   21602
2007-08-01   21208
2007-09-01   21405
2007-10-01   21388
2007-11-01   21547
2007-12-01   21272
2008-01-01   20542
2008-02-01   20208
2008-03-01   20463
2008-04-01   20708
2008-05-01   20669
2008-06-01   20917
2008-07-01   21029
2008-08-01   20868
2008-09-01   20823
2008-10-01   20889
2008-11-01   21039
2008-12-01   20761
2009-01-01   20800
2009-02-01   20878
2009-03-01   20713
2009-04-01   20677
2009-05-01   20902
2009-06-01   20941
2009-07-01   21115
2009-08-01   20772
2009-09-01   20888
2009-10-01   20718
2009-11-01   20680
2009-12-01   20403
2010-01-01   21020
2010-02-01   21093
2010-03-01   21080
2010-04-01   21218
2010-05-01   21270
2010-06-01   21295
2010-07-01   21316
2010-08-01   21216
2010-09-01   21208
2010-10-01   21333
2010-11-01   21155
2010-12-01   20842
2011-01-01   21182
2011-02-01   21101
2011-03-01   21333
2011-04-01   21482
2011-05-01   21655
2011-06-01   21779
2011-07-01   21607
2011-08-01   21643
2011-09-01   21695
2011-10-01   21638
2011-11-01   21576
2011-12-01   20986
2012-01-01   20951
2012-02-01   21218
2012-03-01   21070
2012-04-01   20981
2012-05-01   21318
2012-06-01   21307
2012-07-01   21245
2012-08-01   20895
2012-09-01   21060
2012-10-01   21011
2012-11-01   20841
2012-12-01   20664
2013-01-01   20536
2013-02-01   20456
2013-03-01   20279
2013-04-01   20339
2013-05-01   20533
2013-06-01   20702
2013-07-01   20756
2013-08-01   20268
2013-09-01   20483
2013-10-01   20464
2013-11-01   20471
2013-12-01   20198
2014-01-01   20055
2014-02-01   19985
2014-03-01   20050
2014-04-01   19931
2014-05-01   20184
2014-06-01   20316
2014-07-01   20311
2014-08-01   19857
2014-09-01   19953
2014-10-01   20249
2014-11-01   20352
2014-12-01   19908
2015-01-01   19921
2015-02-01   19943
2015-03-01   20188
2015-04-01   20029
2015-05-01   20293
2015-06-01   20391
2015-07-01   20398
2015-08-01   19868
2015-09-01   20010
2015-10-01   20187
2015-11-01   20277
2015-12-01   19906
2016-01-01   19918
2016-02-01   20077
2016-03-01   20476
2016-04-01   20477
2016-05-01   20496
2016-06-01   20372
2016-07-01   20650
2016-08-01   20147
2016-09-01   20341
2016-10-01   20222
2016-11-01   20232
2016-12-01   20015
2017-01-01   19828
2017-02-01   20155
2017-03-01   20410
2017-04-01   20183
2017-05-01   20108
2017-06-01   20005
2017-07-01   20396
2017-08-01   19902
2017-09-01   20143
2017-10-01   20131
2017-11-01   20030
2017-12-01   19911
2018-01-01   19844
2018-02-01   20063
2018-03-01   20034
2018-04-01   19966
2018-05-01   20089
2018-06-01   20115
2018-07-01   20260
2018-08-01   19855
2018-09-01   19928
2018-10-01   19951
2018-11-01   19933
