Title:               Resident Population in Bertie County, NC
Series ID:           NCBERT5POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  20.528
1971-01-01  20.900
1972-01-01  20.900
1973-01-01  20.700
1974-01-01  20.600
1975-01-01  20.900
1976-01-01  21.000
1977-01-01  21.300
1978-01-01  21.200
1979-01-01  21.000
1980-01-01  21.024
1981-01-01  21.014
1982-01-01  21.048
1983-01-01  21.132
1984-01-01  21.023
1985-01-01  21.001
1986-01-01  20.806
1987-01-01  20.677
1988-01-01  20.522
1989-01-01  20.497
1990-01-01  20.390
1991-01-01  20.459
1992-01-01  20.320
1993-01-01  20.445
1994-01-01  20.419
1995-01-01  20.439
1996-01-01  20.257
1997-01-01  20.129
1998-01-01  19.964
1999-01-01  19.903
2000-01-01  19.703
2001-01-01  19.571
2002-01-01  19.368
2003-01-01  19.225
2004-01-01  19.145
2005-01-01  18.976
2006-01-01  18.664
2007-01-01  19.384
2008-01-01  19.371
2009-01-01  19.262
2010-01-01  21.250
2011-01-01  20.860
2012-01-01  20.502
2013-01-01  20.350
2014-01-01  20.353
2015-01-01  20.188
2016-01-01  19.449
2017-01-01  19.224
