Title:               Resident Population in Brunswick County, NC
Series ID:           NCBRUN9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE          VALUE
1970-01-01   24.223
1971-01-01   25.800
1972-01-01   28.500
1973-01-01   31.400
1974-01-01   33.300
1975-01-01   33.900
1976-01-01   34.500
1977-01-01   34.400
1978-01-01   34.700
1979-01-01   35.200
1980-01-01   35.777
1981-01-01   37.155
1982-01-01   38.703
1983-01-01   40.523
1984-01-01   42.828
1985-01-01   44.808
1986-01-01   46.780
1987-01-01   48.428
1988-01-01   49.546
1989-01-01   50.169
1990-01-01   51.271
1991-01-01   52.402
1992-01-01   54.173
1993-01-01   56.333
1994-01-01   58.348
1995-01-01   60.627
1996-01-01   63.177
1997-01-01   66.021
1998-01-01   68.618
1999-01-01   71.367
2000-01-01   73.768
2001-01-01   76.162
2002-01-01   78.541
2003-01-01   80.890
2004-01-01   83.664
2005-01-01   88.217
2006-01-01   94.423
2007-01-01   99.714
2008-01-01  104.119
2009-01-01  106.763
2010-01-01  108.068
2011-01-01  110.237
2012-01-01  112.081
2013-01-01  114.999
2014-01-01  118.384
2015-01-01  122.297
2016-01-01  126.353
2017-01-01  130.897
