Title:               Civilian Labor Force in Burke County, NC
Series ID:           NCBURK0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  41289
1990-02-01  41792
1990-03-01  41364
1990-04-01  41447
1990-05-01  42047
1990-06-01  42427
1990-07-01  42111
1990-08-01  41694
1990-09-01  41500
1990-10-01  43800
1990-11-01  41939
1990-12-01  41742
1991-01-01  41438
1991-02-01  41535
1991-03-01  41120
1991-04-01  41569
1991-05-01  41595
1991-06-01  42350
1991-07-01  45358
1991-08-01  42637
1991-09-01  42669
1991-10-01  42281
1991-11-01  42008
1991-12-01  42052
1992-01-01  42348
1992-02-01  42594
1992-03-01  42876
1992-04-01  42541
1992-05-01  43141
1992-06-01  44381
1992-07-01  44639
1992-08-01  44233
1992-09-01  43190
1992-10-01  42914
1992-11-01  42939
1992-12-01  42899
1993-01-01  42490
1993-02-01  42697
1993-03-01  42755
1993-04-01  43570
1993-05-01  43071
1993-06-01  43719
1993-07-01  43951
1993-08-01  43497
1993-09-01  42442
1993-10-01  43065
1993-11-01  43326
1993-12-01  43159
1994-01-01  43342
1994-02-01  43191
1994-03-01  43243
1994-04-01  43237
1994-05-01  43260
1994-06-01  43697
1994-07-01  43647
1994-08-01  43962
1994-09-01  43390
1994-10-01  43638
1994-11-01  43642
1994-12-01  43744
1995-01-01  43382
1995-02-01  43948
1995-03-01  43683
1995-04-01  43082
1995-05-01  43755
1995-06-01  44338
1995-07-01  45891
1995-08-01  44804
1995-09-01  44195
1995-10-01  44799
1995-11-01  44266
1995-12-01  44290
1996-01-01  43820
1996-02-01  44094
1996-03-01  44561
1996-04-01  44494
1996-05-01  44495
1996-06-01  44785
1996-07-01  45164
1996-08-01  45263
1996-09-01  44630
1996-10-01  45189
1996-11-01  44971
1996-12-01  44928
1997-01-01  44536
1997-02-01  44288
1997-03-01  44545
1997-04-01  44310
1997-05-01  44512
1997-06-01  44636
1997-07-01  45474
1997-08-01  45196
1997-09-01  44721
1997-10-01  44575
1997-11-01  45574
1997-12-01  45023
1998-01-01  44561
1998-02-01  44087
1998-03-01  43928
1998-04-01  44049
1998-05-01  43655
1998-06-01  43698
1998-07-01  44054
1998-08-01  44041
1998-09-01  44215
1998-10-01  43556
1998-11-01  43733
1998-12-01  43683
1999-01-01  43687
1999-02-01  43845
1999-03-01  43765
1999-04-01  43575
1999-05-01  43997
1999-06-01  43950
1999-07-01  44643
