Title:               Civilian Labor Force in Catawba County, NC
Series ID:           NCCATA5LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  70003
1990-02-01  70750
1990-03-01  70500
1990-04-01  70720
1990-05-01  71617
1990-06-01  72660
1990-07-01  72898
1990-08-01  71821
1990-09-01  71430
1990-10-01  71405
1990-11-01  71544
1990-12-01  72000
1991-01-01  71360
1991-02-01  71545
1991-03-01  71368
1991-04-01  71584
1991-05-01  71985
1991-06-01  73132
1991-07-01  75436
1991-08-01  73854
1991-09-01  73233
1991-10-01  72996
1991-11-01  72412
1991-12-01  72474
1992-01-01  74181
1992-02-01  73781
1992-03-01  73663
1992-04-01  72706
1992-05-01  73686
1992-06-01  75516
1992-07-01  74557
1992-08-01  75131
1992-09-01  73693
1992-10-01  73173
1992-11-01  73514
1992-12-01  73601
1993-01-01  72867
1993-02-01  72744
1993-03-01  72981
1993-04-01  72817
1993-05-01  73233
1993-06-01  74328
1993-07-01  74730
1993-08-01  74026
1993-09-01  72281
1993-10-01  72775
1993-11-01  73111
1993-12-01  73064
1994-01-01  73068
1994-02-01  73126
1994-03-01  73482
1994-04-01  73159
1994-05-01  73663
1994-06-01  74520
1994-07-01  75595
1994-08-01  75004
1994-09-01  74107
1994-10-01  74822
1994-11-01  74688
1994-12-01  74699
1995-01-01  74641
1995-02-01  75435
1995-03-01  76369
1995-04-01  74616
1995-05-01  74634
1995-06-01  74885
1995-07-01  77161
1995-08-01  75818
1995-09-01  74831
1995-10-01  74808
1995-11-01  74765
1995-12-01  74930
1996-01-01  76265
1996-02-01  76068
1996-03-01  76590
1996-04-01  76540
1996-05-01  76864
1996-06-01  77758
1996-07-01  77813
1996-08-01  76957
1996-09-01  76443
1996-10-01  76819
1996-11-01  76992
1996-12-01  77403
1997-01-01  76648
1997-02-01  77138
1997-03-01  77308
1997-04-01  76727
1997-05-01  76947
1997-06-01  77264
1997-07-01  77952
1997-08-01  77556
1997-09-01  75905
1997-10-01  76900
1997-11-01  76663
1997-12-01  76386
1998-01-01  76596
1998-02-01  76318
1998-03-01  76968
1998-04-01  75964
1998-05-01  76127
1998-06-01  76170
1998-07-01  76361
1998-08-01  76343
1998-09-01  75612
1998-10-01  75257
1998-11-01  75656
1998-12-01  75923
1999-01-01  75883
1999-02-01  76023
1999-03-01  76326
1999-04-01  75608
1999-05-01  76973
1999-06-01  76622
1999-07-01  77857
1999-08-01  77422
1999-09-01  76402
1999-10-01  76949
1999-11-01  77490
1999-12-01  77893
2000-01-01  79699
2000-02-01  80460
2000-03-01  80480
2000-04-01  80318
2000-05-01  80479
2000-06-01  80870
2000-07-01  81171
2000-08-01  81030
2000-09-01  80054
2000-10-01  80130
2000-11-01  80699
2000-12-01  80836
2001-01-01  81933
2001-02-01  82723
2001-03-01  82212
2001-04-01  81307
2001-05-01  81258
2001-06-01  81012
2001-07-01  81454
2001-08-01  79991
2001-09-01  79938
2001-10-01  79906
2001-11-01  80128
2001-12-01  79615
2002-01-01  79953
2002-02-01  80256
2002-03-01  79855
2002-04-01  79438
2002-05-01  79375
2002-06-01  79137
2002-07-01  78843
2002-08-01  78171
2002-09-01  77624
2002-10-01  77653
2002-11-01  77839
2002-12-01  76998
2003-01-01  78472
2003-02-01  79153
2003-03-01  78814
2003-04-01  78854
2003-05-01  78305
2003-06-01  78182
2003-07-01  78020
2003-08-01  77210
2003-09-01  76611
2003-10-01  76483
2003-11-01  76621
2003-12-01  76154
2004-01-01  78398
2004-02-01  78412
2004-03-01  78342
2004-04-01  77616
2004-05-01  77527
2004-06-01  77338
2004-07-01  77744
2004-08-01  76645
2004-09-01  75567
2004-10-01  76006
2004-11-01  76499
2004-12-01  76127
2005-01-01  76972
2005-02-01  77047
2005-03-01  76977
2005-04-01  77174
2005-05-01  77390
2005-06-01  77235
2005-07-01  76918
2005-08-01  76673
2005-09-01  76248
2005-10-01  76769
2005-11-01  76776
2005-12-01  76221
2006-01-01  76333
2006-02-01  76667
2006-03-01  76810
2006-04-01  77113
2006-05-01  77445
2006-06-01  77905
2006-07-01  78644
2006-08-01  77959
2006-09-01  77117
2006-10-01  77730
2006-11-01  77755
2006-12-01  77149
2007-01-01  76950
2007-02-01  76696
2007-03-01  76796
2007-04-01  76315
2007-05-01  76661
2007-06-01  76833
2007-07-01  77215
2007-08-01  75967
2007-09-01  76202
2007-10-01  75651
2007-11-01  75999
2007-12-01  75603
2008-01-01  76658
2008-02-01  76142
2008-03-01  76852
2008-04-01  76437
2008-05-01  76619
2008-06-01  76610
2008-07-01  77556
2008-08-01  76392
2008-09-01  76188
2008-10-01  76570
2008-11-01  77316
2008-12-01  77303
2009-01-01  78075
2009-02-01  78129
2009-03-01  78360
2009-04-01  77903
2009-05-01  77666
2009-06-01  77412
2009-07-01  77227
2009-08-01  76121
2009-09-01  75591
2009-10-01  76189
2009-11-01  76108
2009-12-01  75692
2010-01-01  78203
2010-02-01  78281
2010-03-01  78691
2010-04-01  78994
2010-05-01  78723
2010-06-01  78114
2010-07-01  78265
2010-08-01  77235
2010-09-01  77044
2010-10-01  76796
2010-11-01  77487
2010-12-01  76942
2011-01-01  77290
2011-02-01  77239
2011-03-01  77406
2011-04-01  77173
2011-05-01  77068
2011-06-01  76885
2011-07-01  77025
2011-08-01  76232
2011-09-01  76407
2011-10-01  76538
2011-11-01  76438
2011-12-01  76045
2012-01-01  76344
2012-02-01  76478
2012-03-01  76582
2012-04-01  76028
2012-05-01  76905
2012-06-01  76737
2012-07-01  76893
2012-08-01  76332
2012-09-01  76888
2012-10-01  77043
2012-11-01  76468
2012-12-01  76170
2013-01-01  76782
2013-02-01  76558
2013-03-01  76369
2013-04-01  76077
2013-05-01  76577
2013-06-01  76465
2013-07-01  76384
2013-08-01  75384
2013-09-01  75878
2013-10-01  75438
2013-11-01  75452
2013-12-01  74640
2014-01-01  74638
2014-02-01  74954
2014-03-01  75487
2014-04-01  74347
2014-05-01  74972
2014-06-01  74434
2014-07-01  74950
2014-08-01  74233
2014-09-01  74549
2014-10-01  74897
2014-11-01  74601
2014-12-01  73997
2015-01-01  74812
2015-02-01  74888
2015-03-01  74871
2015-04-01  74898
2015-05-01  75806
2015-06-01  75322
2015-07-01  75446
2015-08-01  74844
2015-09-01  75038
2015-10-01  75311
2015-11-01  75307
2015-12-01  75237
2016-01-01  76051
2016-02-01  76340
2016-03-01  76882
2016-04-01  76319
2016-05-01  76641
2016-06-01  76754
2016-07-01  76702
2016-08-01  76562
2016-09-01  77119
2016-10-01  77631
2016-11-01  77543
2016-12-01  77119
2017-01-01  77866
2017-02-01  78352
2017-03-01  78778
2017-04-01  78723
2017-05-01  78652
2017-06-01  78735
2017-07-01  78513
2017-08-01  77841
2017-09-01  78859
2017-10-01  78376
2017-11-01  78539
2017-12-01  77859
2018-01-01  78585
2018-02-01  79075
2018-03-01  79253
2018-04-01  78853
2018-05-01  79494
2018-06-01  79511
2018-07-01  79262
2018-08-01  78330
2018-09-01  78598
2018-10-01  79652
2018-11-01  79669
