Title:               Civilian Labor Force in Chowan County, NC
Series ID:           NCCHOW1LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  6119
1990-02-01  6256
1990-03-01  6171
1990-04-01  6165
1990-05-01  6209
1990-06-01  6271
1990-07-01  6342
1990-08-01  6250
1990-09-01  6212
1990-10-01  6210
1990-11-01  6288
1990-12-01  5977
1991-01-01  6014
1991-02-01  6095
1991-03-01  6166
1991-04-01  6176
1991-05-01  6311
1991-06-01  6306
1991-07-01  6432
1991-08-01  6345
1991-09-01  6352
1991-10-01  6380
1991-11-01  6282
1991-12-01  6202
1992-01-01  6633
1992-02-01  6604
1992-03-01  6539
1992-04-01  6566
1992-05-01  6632
1992-06-01  6643
1992-07-01  6721
1992-08-01  6635
1992-09-01  6572
1992-10-01  6551
1992-11-01  6551
1992-12-01  6510
1993-01-01  6593
1993-02-01  6607
1993-03-01  6538
1993-04-01  6667
1993-05-01  6810
1993-06-01  6718
1993-07-01  6959
1993-08-01  6951
1993-09-01  6792
1993-10-01  6729
1993-11-01  6739
1993-12-01  6551
1994-01-01  6448
1994-02-01  6512
1994-03-01  6537
1994-04-01  6493
1994-05-01  6788
1994-06-01  6655
1994-07-01  6699
1994-08-01  6763
1994-09-01  6654
1994-10-01  6744
1994-11-01  6679
1994-12-01  6509
1995-01-01  6649
1995-02-01  6640
1995-03-01  6738
1995-04-01  6782
1995-05-01  6781
1995-06-01  6756
1995-07-01  7102
1995-08-01  6877
1995-09-01  6690
1995-10-01  6756
1995-11-01  6795
1995-12-01  6553
1996-01-01  6592
1996-02-01  6610
1996-03-01  6581
1996-04-01  6521
1996-05-01  6758
1996-06-01  6604
1996-07-01  6865
1996-08-01  6919
1996-09-01  6684
1996-10-01  6806
1996-11-01  6843
1996-12-01  6668
1997-01-01  6570
1997-02-01  6569
1997-03-01  6581
1997-04-01  6567
1997-05-01  6675
1997-06-01  6688
1997-07-01  6840
1997-08-01  6760
1997-09-01  6543
1997-10-01  6790
1997-11-01  6795
1997-12-01  6684
1998-01-01  6623
1998-02-01  6525
1998-03-01  6555
1998-04-01  6553
1998-05-01  6587
1998-06-01  6594
1998-07-01  6651
1998-08-01  6629
1998-09-01  6551
1998-10-01  6751
1998-11-01  6718
1998-12-01  6663
1999-01-01  6668
1999-02-01  6668
1999-03-01  6733
1999-04-01  6709
1999-05-01  6611
1999-06-01  6721
1999-07-01  7009
1999-08-01  6752
1999-09-01  6718
1999-10-01  6863
1999-11-01  6783
1999-12-01  6711
2000-01-01  6374
2000-02-01  6424
2000-03-01  6498
2000-04-01  6461
2000-05-01  6503
2000-06-01  6613
2000-07-01  6780
2000-08-01  6542
2000-09-01  6419
2000-10-01  6496
2000-11-01  6451
2000-12-01  6508
2001-01-01  6455
2001-02-01  6406
2001-03-01  6441
2001-04-01  6352
2001-05-01  6379
2001-06-01  6397
2001-07-01  6582
2001-08-01  6482
2001-09-01  6427
2001-10-01  6466
2001-11-01  6454
2001-12-01  6405
2002-01-01  6276
2002-02-01  6303
2002-03-01  6244
2002-04-01  6295
2002-05-01  6345
2002-06-01  6319
2002-07-01  6376
2002-08-01  6374
2002-09-01  6330
2002-10-01  6410
2002-11-01  6427
2002-12-01  6387
2003-01-01  6650
2003-02-01  6633
