Title:               Civilian Labor Force in Clay County, NC
Series ID:           NCCLAY3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE       VALUE
1990-01-01  3208
1990-02-01  3157
1990-03-01  3129
1990-04-01  3147
1990-05-01  3201
1990-06-01  3309
1990-07-01  3548
1990-08-01  3304
1990-09-01  3237
1990-10-01  3206
1990-11-01  3214
1990-12-01  3239
1991-01-01  3180
1991-02-01  3231
1991-03-01  3132
1991-04-01  3099
1991-05-01  3155
1991-06-01  3375
1991-07-01  3395
1991-08-01  3247
1991-09-01  3126
1991-10-01  3170
1991-11-01  3185
1991-12-01  3259
1992-01-01  3132
1992-02-01  3143
1992-03-01  3125
1992-04-01  3195
1992-05-01  3174
1992-06-01  3229
1992-07-01  3249
1992-08-01  3227
1992-09-01  3196
1992-10-01  3163
1992-11-01  3183
1992-12-01  3157
1993-01-01  3221
1993-02-01  3231
1993-03-01  3246
1993-04-01  3188
1993-05-01  3424
1993-06-01  3401
1993-07-01  3403
1993-08-01  3379
1993-09-01  3234
1993-10-01  3444
1993-11-01  3273
1993-12-01  3241
1994-01-01  3263
1994-02-01  3313
1994-03-01  3308
1994-04-01  3269
1994-05-01  3322
1994-06-01  3343
1994-07-01  3441
1994-08-01  3475
1994-09-01  3372
1994-10-01  3399
1994-11-01  3362
1994-12-01  3329
1995-01-01  3497
1995-02-01  3479
1995-03-01  3517
1995-04-01  3526
1995-05-01  3516
1995-06-01  3552
1995-07-01  3584
1995-08-01  3618
1995-09-01  3577
1995-10-01  3777
1995-11-01  3564
1995-12-01  3571
1996-01-01  3536
1996-02-01  3527
1996-03-01  3546
1996-04-01  3534
1996-05-01  3918
1996-06-01  3990
1996-07-01  3811
1996-08-01  3796
1996-09-01  3728
1996-10-01  3697
1996-11-01  3667
1996-12-01  3682
1997-01-01  3917
1997-02-01  3892
1997-03-01  3874
1997-04-01  3853
1997-05-01  3938
1997-06-01  3969
1997-07-01  3987
1997-08-01  3867
1997-09-01  3781
1997-10-01  3730
1997-11-01  3753
1997-12-01  3710
1998-01-01  3835
1998-02-01  3837
1998-03-01  3837
1998-04-01  4170
1998-05-01  4176
1998-06-01  4212
1998-07-01  4286
1998-08-01  4296
1998-09-01  4301
1998-10-01  4507
1998-11-01  4537
1998-12-01  4489
1999-01-01  4307
1999-02-01  4313
1999-03-01  4295
1999-04-01  4348
1999-05-01  4394
1999-06-01  4375
1999-07-01  4466
1999-08-01  4410
1999-09-01  4365
1999-10-01  4221
1999-11-01  4235
1999-12-01  4243
2000-01-01  4036
2000-02-01  4052
2000-03-01  4104
2000-04-01  4065
2000-05-01  4093
2000-06-01  4097
2000-07-01  4067
2000-08-01  4084
2000-09-01  3996
2000-10-01  4021
2000-11-01  3964
2000-12-01  3972
2001-01-01  3904
2001-02-01  3936
2001-03-01  4005
2001-04-01  3984
2001-05-01  3953
2001-06-01  3979
2001-07-01  4011
2001-08-01  3918
2001-09-01  3963
2001-10-01  4017
2001-11-01  3988
2001-12-01  3972
2002-01-01  3975
2002-02-01  3990
2002-03-01  4062
2002-04-01  4075
2002-05-01  4065
2002-06-01  4091
2002-07-01  4127
2002-08-01  4136
2002-09-01  4137
2002-10-01  4078
2002-11-01  3972
2002-12-01  4006
2003-01-01  4044
2003-02-01  4066
