Title:               Civilian Labor Force in Cleveland County, NC
Series ID:           NCCLEV0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  44999
1990-02-01  45186
1990-03-01  45087
1990-04-01  45117
1990-05-01  45603
1990-06-01  46078
1990-07-01  46244
1990-08-01  46338
1990-09-01  45278
1990-10-01  46201
1990-11-01  46582
1990-12-01  46950
1991-01-01  46427
1991-02-01  46510
1991-03-01  46400
1991-04-01  46328
1991-05-01  46805
1991-06-01  47343
1991-07-01  46814
1991-08-01  45947
1991-09-01  46191
1991-10-01  46439
1991-11-01  46633
1991-12-01  46006
1992-01-01  45724
1992-02-01  46363
1992-03-01  46153
1992-04-01  45663
1992-05-01  45859
1992-06-01  46944
1992-07-01  47044
1992-08-01  46415
1992-09-01  45919
1992-10-01  46184
1992-11-01  46474
1992-12-01  46358
1993-01-01  45567
1993-02-01  45940
1993-03-01  45828
1993-04-01  45576
1993-05-01  46138
1993-06-01  46849
1993-07-01  46511
1993-08-01  45623
1993-09-01  44893
1993-10-01  45413
1993-11-01  45169
1993-12-01  45102
1994-01-01  45064
1994-02-01  44977
1994-03-01  44732
1994-04-01  45136
1994-05-01  45325
1994-06-01  46031
1994-07-01  45632
1994-08-01  45669
1994-09-01  45772
1994-10-01  46170
1994-11-01  46555
1994-12-01  45873
1995-01-01  46286
1995-02-01  46703
1995-03-01  46281
1995-04-01  46080
1995-05-01  46252
1995-06-01  46688
1995-07-01  48055
1995-08-01  46949
1995-09-01  46625
1995-10-01  47389
1995-11-01  47295
1995-12-01  47998
1996-01-01  47746
1996-02-01  48116
1996-03-01  48806
1996-04-01  48207
1996-05-01  48603
1996-06-01  48965
1996-07-01  49375
1996-08-01  48054
1996-09-01  47143
1996-10-01  47945
1996-11-01  48051
1996-12-01  47869
1997-01-01  48044
1997-02-01  48139
1997-03-01  49232
1997-04-01  47776
1997-05-01  47863
1997-06-01  47642
1997-07-01  47755
1997-08-01  48574
1997-09-01  46964
1997-10-01  46535
1997-11-01  46691
1997-12-01  47142
1998-01-01  46044
1998-02-01  46594
1998-03-01  46713
1998-04-01  46231
1998-05-01  47116
1998-06-01  46683
1998-07-01  47133
1998-08-01  46790
1998-09-01  45488
1998-10-01  46418
1998-11-01  45986
1998-12-01  46044
1999-01-01  44908
1999-02-01  45072
1999-03-01  44824
1999-04-01  44920
1999-05-01  45211
1999-06-01  44839
1999-07-01  46185
1999-08-01  45543
1999-09-01  44596
1999-10-01  45503
1999-11-01  45884
1999-12-01  45880
2000-01-01  48465
2000-02-01  48940
2000-03-01  48810
2000-04-01  48787
2000-05-01  48722
2000-06-01  48716
2000-07-01  49438
2000-08-01  49535
2000-09-01  48932
2000-10-01  49681
2000-11-01  50064
2000-12-01  49423
2001-01-01  50330
2001-02-01  50244
2001-03-01  50737
2001-04-01  49921
2001-05-01  50158
2001-06-01  49899
2001-07-01  50430
2001-08-01  49564
2001-09-01  49590
2001-10-01  49833
2001-11-01  49590
2001-12-01  49315
2002-01-01  49417
2002-02-01  49822
2002-03-01  49320
2002-04-01  49043
2002-05-01  48883
2002-06-01  48826
2002-07-01  48832
2002-08-01  48434
2002-09-01  47958
2002-10-01  48174
2002-11-01  47950
2002-12-01  47839
2003-01-01  48291
2003-02-01  48666
2003-03-01  48415
2003-04-01  48720
2003-05-01  48450
2003-06-01  48554
2003-07-01  48076
2003-08-01  47505
2003-09-01  47262
2003-10-01  47945
2003-11-01  48029
2003-12-01  47687
2004-01-01  47827
2004-02-01  47714
2004-03-01  47658
2004-04-01  47055
2004-05-01  47106
2004-06-01  47718
2004-07-01  47668
2004-08-01  46866
2004-09-01  46304
2004-10-01  46702
2004-11-01  46803
2004-12-01  46791
2005-01-01  46575
2005-02-01  47035
2005-03-01  47028
2005-04-01  47223
2005-05-01  47339
2005-06-01  47753
2005-07-01  48362
2005-08-01  47569
2005-09-01  47031
2005-10-01  47694
2005-11-01  47870
2005-12-01  47634
2006-01-01  47383
2006-02-01  47723
2006-03-01  47798
2006-04-01  47295
2006-05-01  47424
2006-06-01  48152
2006-07-01  48594
2006-08-01  47929
2006-09-01  47615
2006-10-01  48012
2006-11-01  48339
2006-12-01  48350
2007-01-01  49097
2007-02-01  49027
2007-03-01  49113
2007-04-01  48975
2007-05-01  49231
2007-06-01  49579
2007-07-01  50266
2007-08-01  49195
2007-09-01  49108
2007-10-01  49573
2007-11-01  49741
2007-12-01  49415
2008-01-01  48208
2008-02-01  48284
2008-03-01  48304
2008-04-01  48613
2008-05-01  48800
2008-06-01  49102
2008-07-01  48709
2008-08-01  48495
2008-09-01  48740
2008-10-01  48994
2008-11-01  49683
2008-12-01  50133
2009-01-01  49130
2009-02-01  49533
2009-03-01  49380
2009-04-01  49322
2009-05-01  49070
2009-06-01  48824
2009-07-01  47840
2009-08-01  47987
2009-09-01  47942
2009-10-01  48388
2009-11-01  48070
2009-12-01  47560
2010-01-01  45674
2010-02-01  46196
2010-03-01  46326
2010-04-01  46442
2010-05-01  46333
2010-06-01  45528
2010-07-01  45256
2010-08-01  44985
2010-09-01  44998
2010-10-01  45292
2010-11-01  45455
2010-12-01  45103
2011-01-01  45019
2011-02-01  45934
2011-03-01  46354
2011-04-01  46109
2011-05-01  46073
2011-06-01  45870
2011-07-01  45395
2011-08-01  45546
2011-09-01  45952
2011-10-01  46252
2011-11-01  46176
2011-12-01  45796
2012-01-01  45260
2012-02-01  45719
2012-03-01  45897
2012-04-01  45516
2012-05-01  45831
2012-06-01  45672
2012-07-01  45557
2012-08-01  45468
2012-09-01  45852
2012-10-01  46468
2012-11-01  46243
2012-12-01  45505
2013-01-01  46491
2013-02-01  46654
2013-03-01  46743
2013-04-01  46533
2013-05-01  46908
2013-06-01  46704
2013-07-01  46578
2013-08-01  46025
2013-09-01  46512
2013-10-01  46506
2013-11-01  46623
2013-12-01  46097
2014-01-01  45828
