Title:               Charge-offs on Allowance for Loan and Lease Losses for Commercial Banks in North Carolina
Series ID:           NCCOALLL
Source:              Federal Financial Institutions Examination Council (US)
Release:             Reports of Condition and Income for All Insured U.S. Commercial Banks
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Thousands of Dollars
Date Range:          1984-01-01 to 2018-07-01
Last Updated:        2018-12-13 11:02 AM CST
Notes:               This series represents Charge-offs on Allowance for Loan and Lease
                     Losses call item RIAD4635.
                     
                     Geographic location is determined by Abbreviated State Name call item
                     RSSD9200 = 'NC' representing two character state abbreviation of North
                     Carolina.
                     
                     For more information and definition about the specific call item
                     codes, please see
                     http://www.federalreserve.gov/apps/mdrm/data-dictionary.
                     
                     This series is calculated by the Federal Reserve Bank of St. Louis
                     using raw data that are collected by the FFIEC. Raw data can be found
                     at https://cdr.ffiec.gov/public/.

DATE           VALUE
1984-01-01     10438
1984-04-01     26192
1984-07-01     43852
1984-10-01     69064
1985-01-01     14465
1985-04-01     30314
1985-07-01     45950
1985-10-01     80113
1986-01-01     24583
1986-04-01     46241
1986-07-01     73909
1986-10-01    106172
1987-01-01     27463
1987-04-01     65535
1987-07-01    103595
1987-10-01    225720
1988-01-01    118020
1988-04-01    154480
1988-07-01    190035
1988-10-01    224369
1989-01-01     25102
1989-04-01     54331
1989-07-01     87305
1989-10-01    139974
1990-01-01     38323
1990-04-01    103310
1990-07-01    174182
1990-10-01    262235
1991-01-01     66103
1991-04-01    171980
1991-07-01    330931
1991-10-01    527586
1992-01-01     68124
1992-04-01    117965
1992-07-01    187121
1992-10-01    324840
1993-01-01     39324
1993-04-01     77561
1993-07-01    116635
1993-10-01    170700
1994-01-01     40186
1994-04-01     64496
1994-07-01     88984
1994-10-01    119787
1995-01-01     38253
1995-04-01     75073
1995-07-01    177278
1995-10-01    266698
1996-01-01    141668
1996-04-01    245097
1996-07-01    331709
1996-10-01    411714
1997-01-01     78719
1997-04-01    616463
1997-07-01   1007280
1997-10-01   1416944
1998-01-01    297582
1998-04-01    740357
1998-07-01   1148392
1998-10-01   1856198
1999-01-01    595978
1999-04-01   1185178
1999-07-01   2133948
1999-10-01   3224984
2000-01-01    784790
2000-04-01   1669888
2000-07-01   2533381
2000-10-01   5027660
2001-01-01   1117052
2001-04-01   2341159
2001-07-01   4060191
2001-10-01   5750840
2002-01-01   1247100
2002-04-01   2554081
2002-07-01   3876414
2002-10-01   5325679
2003-01-01   1009265
2003-04-01   1872451
2003-07-01   2687644
2003-10-01   3517480
2004-01-01    597494
2004-04-01   1113666
2004-07-01   1527881
2004-10-01   1939164
2005-01-01    397174
2005-04-01    986770
2005-07-01   1735766
2005-10-01   2435414
2006-01-01    467367
2006-04-01   1004736
2006-07-01   1615339
2006-10-01   2299228
2007-01-01    681057
2007-04-01   1386194
2007-07-01   2350640
2007-10-01   3766257
2008-01-01   2032304
2008-04-01   5152966
2008-07-01   9129184
2008-10-01   9371587
2009-01-01   4898718
2009-04-01  11527024
2009-07-01  19405310
2009-10-01  26955856
2010-01-01   5533295
2010-04-01  10455389
2010-07-01  14688196
2010-10-01  18743876
2011-01-01   3619037
2011-04-01   7387802
2011-07-01  11056538
2011-10-01  14511629
2012-01-01   2888424
2012-04-01   5618399
2012-07-01   8833689
2012-10-01  11365938
2013-01-01   1862547
2013-04-01   3463536
2013-07-01   4741632
2013-10-01   6048254
2014-01-01    965409
2014-04-01   1949071
2014-07-01   2821471
2014-10-01   7509163
2015-01-01   1727090
2015-04-01   3349843
2015-07-01   4787390
2015-10-01   6399090
2016-01-01   1622087
2016-04-01   3076257
2016-07-01   4461966
2016-10-01   5872935
2017-01-01   1420591
2017-04-01   2877986
2017-07-01   4307060
2017-10-01   5995238
2018-01-01   1393955
2018-04-01   2846069
2018-07-01   4266855
