Title:               Civilian Labor Force in Columbus County, NC
Series ID:           NCCOLU0LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  21717
1990-02-01  21742
1990-03-01  21865
1990-04-01  21801
1990-05-01  22141
1990-06-01  22222
1990-07-01  23026
1990-08-01  22400
1990-09-01  22413
1990-10-01  22346
1990-11-01  22577
1990-12-01  22339
1991-01-01  22383
1991-02-01  22812
1991-03-01  23098
1991-04-01  23332
1991-05-01  23981
1991-06-01  24346
1991-07-01  24335
1991-08-01  24613
1991-09-01  25651
1991-10-01  24806
1991-11-01  24055
1991-12-01  23866
1992-01-01  23826
1992-02-01  24465
1992-03-01  24557
1992-04-01  25103
1992-05-01  25372
1992-06-01  25768
1992-07-01  25430
1992-08-01  25403
1992-09-01  25385
1992-10-01  25219
1992-11-01  25066
1992-12-01  24919
1993-01-01  24879
1993-02-01  24987
1993-03-01  24819
1993-04-01  24885
1993-05-01  25429
1993-06-01  25907
1993-07-01  25074
1993-08-01  25410
1993-09-01  25379
1993-10-01  25034
1993-11-01  24998
1993-12-01  25046
1994-01-01  26025
1994-02-01  26508
1994-03-01  26411
1994-04-01  25745
1994-05-01  26173
1994-06-01  26277
1994-07-01  27155
1994-08-01  27013
1994-09-01  26945
1994-10-01  26894
1994-11-01  27206
1994-12-01  25642
1995-01-01  25960
1995-02-01  26213
1995-03-01  27101
1995-04-01  26152
1995-05-01  25891
1995-06-01  26544
1995-07-01  25784
1995-08-01  25695
1995-09-01  25404
1995-10-01  25168
1995-11-01  25057
1995-12-01  24898
1996-01-01  23374
1996-02-01  24199
1996-03-01  24185
1996-04-01  24295
1996-05-01  24968
1996-06-01  25158
1996-07-01  25145
1996-08-01  25216
1996-09-01  25323
1996-10-01  24919
1996-11-01  24703
1996-12-01  24554
1997-01-01  24616
1997-02-01  24579
1997-03-01  24578
1997-04-01  24206
1997-05-01  24663
1997-06-01  25017
1997-07-01  25142
1997-08-01  24854
1997-09-01  24821
1997-10-01  24853
1997-11-01  24545
1997-12-01  24399
1998-01-01  23966
1998-02-01  23899
1998-03-01  23856
1998-04-01  23221
1998-05-01  23656
1998-06-01  23847
1998-07-01  23752
1998-08-01  23380
1998-09-01  23577
1998-10-01  23748
1998-11-01  23861
1998-12-01  23367
1999-01-01  23227
1999-02-01  23044
1999-03-01  23040
