Title:               Civilian Labor Force in Currituck County, NC
Series ID:           NCCURR3LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:18 AM CST
Notes:               

DATE        VALUE
1990-01-01   6847
1990-02-01   6882
1990-03-01   6900
1990-04-01   6837
1990-05-01   6803
1990-06-01   6889
1990-07-01   7231
1990-08-01   7176
1990-09-01   7055
1990-10-01   7049
1990-11-01   7154
1990-12-01   7214
1991-01-01   7253
1991-02-01   7163
1991-03-01   7163
1991-04-01   7083
1991-05-01   7063
1991-06-01   7193
1991-07-01   7595
1991-08-01   7335
1991-09-01   7264
1991-10-01   7216
1991-11-01   7288
1991-12-01   7241
1992-01-01   7161
1992-02-01   7157
1992-03-01   7159
1992-04-01   7054
1992-05-01   7038
1992-06-01   7152
1992-07-01   7453
1992-08-01   7317
1992-09-01   7231
1992-10-01   7215
1992-11-01   7304
1992-12-01   7377
1993-01-01   7518
1993-02-01   7514
1993-03-01   7450
1993-04-01   7377
1993-05-01   7528
1993-06-01   7534
1993-07-01   7604
1993-08-01   7522
1993-09-01   7328
1993-10-01   7328
1993-11-01   7366
1993-12-01   7367
1994-01-01   7541
1994-02-01   7599
1994-03-01   7530
1994-04-01   7537
1994-05-01   7545
1994-06-01   7667
1994-07-01   7834
1994-08-01   7780
1994-09-01   7635
1994-10-01   7647
1994-11-01   7672
1994-12-01   7793
1995-01-01   7989
1995-02-01   7984
1995-03-01   7905
1995-04-01   7865
1995-05-01   7888
1995-06-01   7974
1995-07-01   8108
1995-08-01   7936
1995-09-01   7841
1995-10-01   7943
1995-11-01   8024
1995-12-01   8136
1996-01-01   8214
1996-02-01   8385
1996-03-01   8294
1996-04-01   8180
1996-05-01   8193
1996-06-01   8370
1996-07-01   8630
1996-08-01   8439
1996-09-01   8388
1996-10-01   8448
1996-11-01   8550
1996-12-01   8592
1997-01-01   8954
1997-02-01   8926
1997-03-01   8947
1997-04-01   8829
1997-05-01   8872
1997-06-01   8954
1997-07-01   9079
1997-08-01   8926
1997-09-01   8819
1997-10-01   8886
1997-11-01   9007
1997-12-01   9090
1998-01-01   9168
1998-02-01   9143
1998-03-01   9139
1998-04-01   8945
1998-05-01   9055
1998-06-01   9088
1998-07-01   9330
1998-08-01   9217
1998-09-01   9099
1998-10-01   9023
1998-11-01   9185
1998-12-01   9286
1999-01-01   9278
1999-02-01   9317
1999-03-01   9271
1999-04-01   9238
1999-05-01   9339
1999-06-01   9398
1999-07-01   9512
1999-08-01   9311
1999-09-01   9190
1999-10-01   9271
1999-11-01   9438
1999-12-01   9518
2000-01-01   9125
2000-02-01   9243
2000-03-01   9245
2000-04-01   9151
2000-05-01   9155
2000-06-01   9326
2000-07-01   9357
2000-08-01   9239
2000-09-01   9156
2000-10-01   9186
2000-11-01   9327
2000-12-01   9460
2001-01-01   9570
2001-02-01   9686
2001-03-01   9669
2001-04-01   9612
2001-05-01   9660
2001-06-01   9775
2001-07-01   9852
2001-08-01   9645
2001-09-01   9620
2001-10-01   9642
2001-11-01   9754
2001-12-01   9820
2002-01-01   9865
2002-02-01  10053
2002-03-01   9928
2002-04-01   9887
2002-05-01   9930
2002-06-01  10096
2002-07-01  10066
2002-08-01  10005
2002-09-01   9895
2002-10-01   9927
2002-11-01  10007
2002-12-01  10020
2003-01-01  10591
2003-02-01  10785
2003-03-01  10709
2003-04-01  10668
2003-05-01  10666
2003-06-01  10857
2003-07-01  10858
2003-08-01  10720
2003-09-01  10628
2003-10-01  10702
2003-11-01  10845
2003-12-01  10813
2004-01-01  11353
2004-02-01  11388
2004-03-01  11346
2004-04-01  11274
2004-05-01  11277
2004-06-01  11485
2004-07-01  11578
2004-08-01  11411
2004-09-01  11284
2004-10-01  11299
2004-11-01  11407
2004-12-01  11468
2005-01-01  11865
2005-02-01  11908
2005-03-01  11886
2005-04-01  11989
2005-05-01  12106
2005-06-01  12300
2005-07-01  12350
2005-08-01  12204
2005-09-01  12073
2005-10-01  11985
2005-11-01  12052
2005-12-01  12063
2006-01-01  12370
2006-02-01  12367
2006-03-01  12434
2006-04-01  12483
2006-05-01  12531
2006-06-01  12794
2006-07-01  12883
2006-08-01  12749
2006-09-01  12775
2006-10-01  12838
2006-11-01  12746
2006-12-01  12768
2007-01-01  12604
2007-02-01  12430
2007-03-01  12468
2007-04-01  12437
2007-05-01  12428
2007-06-01  12662
2007-07-01  12924
2007-08-01  12579
2007-09-01  12480
2007-10-01  12364
2007-11-01  12481
2007-12-01  12505
2008-01-01  12705
2008-02-01  12606
2008-03-01  12648
2008-04-01  12698
2008-05-01  12707
2008-06-01  12883
2008-07-01  13137
2008-08-01  12845
2008-09-01  12626
2008-10-01  12795
2008-11-01  12915
2008-12-01  12953
2009-01-01  12808
2009-02-01  12739
2009-03-01  12759
2009-04-01  12755
2009-05-01  12654
2009-06-01  12822
2009-07-01  12900
2009-08-01  12574
2009-09-01  12431
2009-10-01  12564
2009-11-01  12662
2009-12-01  12783
2010-01-01  12112
2010-02-01  12165
2010-03-01  12174
2010-04-01  12321
2010-05-01  12274
2010-06-01  12270
2010-07-01  12419
2010-08-01  12181
2010-09-01  12073
2010-10-01  12022
2010-11-01  12104
2010-12-01  12158
2011-01-01  12257
2011-02-01  12252
2011-03-01  12297
2011-04-01  12298
2011-05-01  12331
2011-06-01  12420
2011-07-01  12598
2011-08-01  12362
2011-09-01  12317
2011-10-01  12296
2011-11-01  12357
2011-12-01  12410
2012-01-01  12393
2012-02-01  12450
2012-03-01  12422
2012-04-01  12316
2012-05-01  12397
2012-06-01  12512
2012-07-01  12672
2012-08-01  12366
2012-09-01  12374
2012-10-01  12487
2012-11-01  12534
2012-12-01  12600
2013-01-01  12756
2013-02-01  12702
2013-03-01  12622
2013-04-01  12558
2013-05-01  12610
2013-06-01  12733
2013-07-01  12923
2013-08-01  12599
2013-09-01  12489
2013-10-01  12385
2013-11-01  12470
2013-12-01  12364
2014-01-01  12746
2014-02-01  12798
2014-03-01  12809
2014-04-01  12639
2014-05-01  12686
2014-06-01  12765
2014-07-01  12993
2014-08-01  12699
2014-09-01  12624
2014-10-01  12620
2014-11-01  12646
2014-12-01  12575
2015-01-01  12795
2015-02-01  12799
2015-03-01  12755
2015-04-01  12777
2015-05-01  12880
2015-06-01  12923
2015-07-01  13153
2015-08-01  12881
2015-09-01  12774
2015-10-01  12806
2015-11-01  12831
2015-12-01  12803
2016-01-01  13090
2016-02-01  13164
2016-03-01  13150
2016-04-01  13078
2016-05-01  13051
2016-06-01  13172
2016-07-01  13378
2016-08-01  13135
2016-09-01  13127
2016-10-01  13134
2016-11-01  13145
2016-12-01  13049
2017-01-01  13123
2017-02-01  13258
2017-03-01  13240
2017-04-01  13275
2017-05-01  13247
2017-06-01  13422
2017-07-01  13613
2017-08-01  13330
2017-09-01  13395
2017-10-01  13211
2017-11-01  13216
2017-12-01  13100
2018-01-01  13146
2018-02-01  13324
2018-03-01  13268
2018-04-01  13249
2018-05-01  13323
2018-06-01  13507
2018-07-01  13651
2018-08-01  13260
2018-09-01  13212
2018-10-01  13276
2018-11-01  13254
