Title:               Resident Population in Currituck County, NC
Series ID:           NCCURR3POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01   6.976
1971-01-01   7.200
1972-01-01   8.000
1973-01-01   8.800
1974-01-01   9.600
1975-01-01  10.000
1976-01-01  10.200
1977-01-01  10.200
1978-01-01  10.700
1979-01-01  11.300
1980-01-01  11.089
1981-01-01  11.190
1982-01-01  11.537
1983-01-01  12.300
1984-01-01  12.631
1985-01-01  12.545
1986-01-01  12.922
1987-01-01  13.122
1988-01-01  13.326
1989-01-01  13.619
1990-01-01  13.799
1991-01-01  14.176
1992-01-01  14.583
1993-01-01  15.086
1994-01-01  15.654
1995-01-01  16.047
1996-01-01  16.487
1997-01-01  16.942
1998-01-01  17.471
1999-01-01  17.856
2000-01-01  18.295
2001-01-01  18.750
2002-01-01  19.450
2003-01-01  20.502
2004-01-01  21.763
2005-01-01  22.813
2006-01-01  23.419
2007-01-01  23.825
2008-01-01  24.100
2009-01-01  24.160
2010-01-01  23.674
2011-01-01  23.904
2012-01-01  24.034
2013-01-01  24.268
2014-01-01  24.839
2015-01-01  25.135
2016-01-01  25.664
2017-01-01  26.331
