Title:               Civilian Labor Force in Davie County, NC
Series ID:           NCDAVI9LFN
Source:              U.S. Bureau of Labor Statistics
Release:             Unemployment in States and Local Areas (all other areas) (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Monthly
Units:               Persons
Date Range:          1990-01-01 to 2018-11-01
Last Updated:        2019-01-03 10:14 AM CST
Notes:               

DATE        VALUE
1990-01-01  15552
1990-02-01  15398
1990-03-01  15389
1990-04-01  15471
1990-05-01  15597
1990-06-01  15802
1990-07-01  16732
1990-08-01  15900
1990-09-01  15621
1990-10-01  16071
1990-11-01  15718
1990-12-01  15649
1991-01-01  15410
1991-02-01  15502
1991-03-01  15434
1991-04-01  15513
1991-05-01  15488
1991-06-01  15661
1991-07-01  16454
1991-08-01  15915
1991-09-01  15542
1991-10-01  15705
1991-11-01  15704
1991-12-01  15674
1992-01-01  15357
1992-02-01  15378
1992-03-01  15320
1992-04-01  15439
1992-05-01  15508
1992-06-01  15691
1992-07-01  15997
1992-08-01  15830
1992-09-01  15734
1992-10-01  15726
1992-11-01  15750
1992-12-01  15626
1993-01-01  15567
1993-02-01  15611
1993-03-01  15687
1993-04-01  15873
1993-05-01  15829
1993-06-01  15952
1993-07-01  16286
1993-08-01  16080
1993-09-01  15727
1993-10-01  16310
1993-11-01  16070
1993-12-01  16006
1994-01-01  15883
1994-02-01  15861
1994-03-01  15798
1994-04-01  15860
1994-05-01  16072
1994-06-01  16204
1994-07-01  16247
1994-08-01  16249
1994-09-01  16103
1994-10-01  16258
1994-11-01  16342
1994-12-01  16342
1995-01-01  15999
1995-02-01  16190
1995-03-01  16104
1995-04-01  16198
1995-05-01  16175
1995-06-01  16256
1995-07-01  17672
1995-08-01  16336
1995-09-01  16372
1995-10-01  16560
1995-11-01  16629
1995-12-01  16627
1996-01-01  16819
1996-02-01  16764
1996-03-01  16786
1996-04-01  18005
1996-05-01  16874
1996-06-01  17172
1996-07-01  17256
1996-08-01  17102
1996-09-01  17071
1996-10-01  17199
1996-11-01  17239
1996-12-01  17238
1997-01-01  17548
1997-02-01  17465
1997-03-01  17655
1997-04-01  17535
1997-05-01  17674
1997-06-01  17620
1997-07-01  17712
1997-08-01  17497
1997-09-01  17474
1997-10-01  17305
1997-11-01  17487
1997-12-01  17721
1998-01-01  17673
1998-02-01  17696
1998-03-01  17720
1998-04-01  18353
1998-05-01  17756
1998-06-01  17787
1998-07-01  17975
1998-08-01  17831
1998-09-01  17724
1998-10-01  17845
1998-11-01  17887
1998-12-01  17941
1999-01-01  17908
1999-02-01  18091
1999-03-01  18150
1999-04-01  18104
1999-05-01  18137
1999-06-01  18246
1999-07-01  18210
1999-08-01  18335
1999-09-01  18056
1999-10-01  18494
1999-11-01  18574
1999-12-01  18655
2000-01-01  18317
2000-02-01  18371
2000-03-01  18354
2000-04-01  18335
2000-05-01  18252
2000-06-01  18229
2000-07-01  18562
2000-08-01  18974
2000-09-01  18310
2000-10-01  18767
2000-11-01  18620
2000-12-01  18749
2001-01-01  18949
2001-02-01  18943
2001-03-01  19131
2001-04-01  18866
2001-05-01  18921
2001-06-01  18783
2001-07-01  19569
2001-08-01  18975
2001-09-01  18835
2001-10-01  18932
2001-11-01  18883
2001-12-01  18829
2002-01-01  19096
2002-02-01  19009
2002-03-01  18973
2002-04-01  19049
2002-05-01  19079
2002-06-01  19002
2002-07-01  19147
2002-08-01  19154
2002-09-01  18956
2002-10-01  18935
2002-11-01  19048
2002-12-01  19046
2003-01-01  19319
2003-02-01  19479
2003-03-01  19552
2003-04-01  19569
2003-05-01  19604
2003-06-01  19525
2003-07-01  19356
2003-08-01  19159
2003-09-01  19056
2003-10-01  19193
2003-11-01  19311
2003-12-01  19283
2004-01-01  19645
2004-02-01  19579
2004-03-01  19531
2004-04-01  19440
2004-05-01  19302
2004-06-01  19304
2004-07-01  19231
2004-08-01  19147
2004-09-01  19029
2004-10-01  19356
2004-11-01  19431
2004-12-01  19384
2005-01-01  19704
2005-02-01  19774
2005-03-01  19738
2005-04-01  19769
2005-05-01  19834
2005-06-01  19792
2005-07-01  19833
2005-08-01  19695
2005-09-01  19608
2005-10-01  20099
2005-11-01  20044
2005-12-01  20016
2006-01-01  20093
2006-02-01  20218
2006-03-01  20268
2006-04-01  20366
2006-05-01  20574
2006-06-01  20668
2006-07-01  20796
2006-08-01  20592
2006-09-01  20638
2006-10-01  20829
2006-11-01  20813
2006-12-01  20725
2007-01-01  20412
2007-02-01  20508
2007-03-01  20479
2007-04-01  20643
2007-05-01  20764
2007-06-01  20615
2007-07-01  20816
2007-08-01  20398
2007-09-01  20513
2007-10-01  20605
2007-11-01  20710
2007-12-01  20498
2008-01-01  20746
2008-02-01  20672
2008-03-01  20687
2008-04-01  20772
2008-05-01  20803
2008-06-01  20934
2008-07-01  21180
2008-08-01  21016
2008-09-01  20964
2008-10-01  21160
2008-11-01  21290
2008-12-01  21210
2009-01-01  20881
2009-02-01  20820
2009-03-01  20920
2009-04-01  20861
2009-05-01  20903
2009-06-01  20932
2009-07-01  21048
2009-08-01  20783
2009-09-01  20888
2009-10-01  20704
2009-11-01  20582
2009-12-01  20346
2010-01-01  20254
2010-02-01  20316
2010-03-01  20360
2010-04-01  20528
2010-05-01  20459
2010-06-01  20354
2010-07-01  20284
2010-08-01  20110
2010-09-01  20061
2010-10-01  20178
2010-11-01  20153
2010-12-01  20044
2011-01-01  19876
2011-02-01  19905
2011-03-01  19939
2011-04-01  19941
2011-05-01  19992
2011-06-01  19970
2011-07-01  19967
2011-08-01  19915
2011-09-01  20054
2011-10-01  20183
2011-11-01  20096
2011-12-01  20051
2012-01-01  19907
2012-02-01  20035
2012-03-01  19997
2012-04-01  19863
2012-05-01  20067
2012-06-01  20009
2012-07-01  19972
2012-08-01  19775
2012-09-01  19998
2012-10-01  20281
2012-11-01  20047
2012-12-01  19991
2013-01-01  20030
2013-02-01  20061
2013-03-01  19961
2013-04-01  19906
2013-05-01  20020
2013-06-01  20065
2013-07-01  20061
2013-08-01  19836
2013-09-01  20025
2013-10-01  19985
2013-11-01  19869
2013-12-01  19711
2014-01-01  19535
2014-02-01  19631
2014-03-01  19742
2014-04-01  19552
2014-05-01  19764
2014-06-01  19772
2014-07-01  19797
2014-08-01  19548
2014-09-01  19701
2014-10-01  19834
2014-11-01  19729
2014-12-01  19606
2015-01-01  19751
2015-02-01  19783
2015-03-01  19816
2015-04-01  19806
2015-05-01  19994
2015-06-01  19893
2015-07-01  19944
2015-08-01  19695
2015-09-01  19843
2015-10-01  19939
2015-11-01  19885
2015-12-01  19826
2016-01-01  19941
2016-02-01  20086
2016-03-01  20256
2016-04-01  20093
2016-05-01  20140
2016-06-01  20131
2016-07-01  20173
2016-08-01  19984
2016-09-01  20259
2016-10-01  20342
2016-11-01  20258
2016-12-01  20125
2017-01-01  20113
2017-02-01  20304
2017-03-01  20423
2017-04-01  20300
2017-05-01  20286
2017-06-01  20264
2017-07-01  20435
2017-08-01  20185
2017-09-01  20518
2017-10-01  20449
2017-11-01  20391
2017-12-01  20291
2018-01-01  20362
2018-02-01  20528
2018-03-01  20554
2018-04-01  20535
2018-05-01  20650
2018-06-01  20677
2018-07-01  20663
2018-08-01  20174
2018-09-01  20350
2018-10-01  20643
2018-11-01  20580
