Title:               Resident Population in Davie County, NC
Series ID:           NCDAVI9POP
Source:              U.S. Bureau of the Census
Release:             Annual Estimates of the Population for Counties (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Persons
Date Range:          1970-01-01 to 2017-01-01
Last Updated:        2018-03-27 3:22 PM CDT
Notes:               Data for "Resident Population" are from estimates as of July 1. Data
                     for 1970 and 1980 are annual census.

DATE         VALUE
1970-01-01  18.855
1971-01-01  19.400
1972-01-01  19.800
1973-01-01  20.500
1974-01-01  21.200
1975-01-01  21.800
1976-01-01  22.300
1977-01-01  23.100
1978-01-01  23.800
1979-01-01  24.300
1980-01-01  24.599
1981-01-01  25.091
1982-01-01  25.316
1983-01-01  25.640
1984-01-01  25.733
1985-01-01  26.345
1986-01-01  26.776
1987-01-01  27.131
1988-01-01  27.446
1989-01-01  27.545
1990-01-01  28.032
1991-01-01  28.399
1992-01-01  28.671
1993-01-01  29.230
1994-01-01  30.054
1995-01-01  30.366
1996-01-01  31.174
1997-01-01  32.235
1998-01-01  33.274
1999-01-01  34.132
2000-01-01  35.054
2001-01-01  35.959
2002-01-01  36.539
2003-01-01  36.997
2004-01-01  37.714
2005-01-01  38.753
2006-01-01  39.786
2007-01-01  40.581
2008-01-01  41.132
2009-01-01  41.479
2010-01-01  41.256
2011-01-01  41.352
2012-01-01  41.300
2013-01-01  41.446
2014-01-01  41.280
2015-01-01  41.677
2016-01-01  41.973
2017-01-01  42.456
