Title:               State Government Tax Collections, Documentary and Stock Transfer Taxes in North Carolina
Series ID:           NCDOCUTAX
Source:              U.S. Bureau of the Census
Release:             State Government Tax Collections (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Annual
Units:               Thousands of Dollars
Date Range:          1951-01-01 to 2017-01-01
Last Updated:        2019-01-07 1:31 PM CST
Notes:               For more information, see
                     http://www.census.gov/govs/www/statetax.html.

DATE        VALUE
1951-01-01      0
1952-01-01      0
1953-01-01      0
1954-01-01      0
1955-01-01      0
1956-01-01      0
1957-01-01      0
1958-01-01      0
1959-01-01      0
1960-01-01      0
1961-01-01      0
1962-01-01      0
1963-01-01      0
1964-01-01      0
1965-01-01      0
1966-01-01      0
1967-01-01      0
1968-01-01      0
1969-01-01      0
1970-01-01      0
1971-01-01      0
1972-01-01      0
1973-01-01      0
1974-01-01      0
1975-01-01      0
1976-01-01      0
1977-01-01      0
1978-01-01      0
1979-01-01      0
1980-01-01      0
1981-01-01      0
1982-01-01      0
1983-01-01      0
1984-01-01      0
1985-01-01      0
1986-01-01      0
1987-01-01      0
1988-01-01      0
1989-01-01      0
1990-01-01      0
1991-01-01      0
1992-01-01      0
1993-01-01      0
1994-01-01      0
1995-01-01      0
1996-01-01      0
1997-01-01      0
1998-01-01    894
1999-01-01   1215
2000-01-01  34397
2001-01-01  33652
2002-01-01  35300
2003-01-01  37979
2004-01-01  54939
2005-01-01  59657
2006-01-01  75118
2007-01-01  74444
2008-01-01  60783
2009-01-01  36038
2010-01-01  34204
2011-01-01  31733
2012-01-01  34345
2013-01-01  43067
2014-01-01  52251
2015-01-01  62070
2016-01-01  67888
2017-01-01  74386
